Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI Dividend Yield Fund - Direct Plan - GrowthDividend Yield Fund,1,2624.2,4.30%,3.16%,8.98%,29.94%,14.45%,65.49%,19.25%,12.67%,15.03%,-,4.28%,2.97%,0.41%,3.75%,-4.04%,5.86%,9.94%,-0.32%,-0.22%,4.34%,6.09%,5.96%,7.38%,2.05%,17.23%,10.31%,24.13%,-26.56%,6.70%,-1.66%,-2.72%,1.70%,-0.45%,-3.68%,11.20%,15.54%,2.97%,-14.35%,33.19%,2.08%,-5.62%,55.81%,-3.89%,29.39%,-18.81%,29.85%,7/7,4/7,4/7,2/6,1/7,1/6,1/6,3/5,2/5,2/4,17.09,0.69,0.45,1.3,0.11,-,99.75%,48,-,-,-,0.25%,-,225.84,1.71%,10-May-21,225.84,10-May-21,133.42,18-May-20,36.50%,44.61%,45.78%,54.93%,-
UTI Dividend Yield Fund - GrowthDividend Yield Fund,1,2624.2,4.29%,3.11%,8.82%,29.57%,14.22%,64.56%,18.59%,12.01%,14.33%,10.70%,4.30%,3.02%,0.45%,3.79%,-4.00%,5.92%,10.01%,-0.26%,-0.16%,4.40%,6.16%,6.02%,7.46%,2.20%,17.44%,10.52%,24.37%,-26.42%,6.82%,-1.84%,-2.56%,1.87%,-0.29%,-3.52%,11.44%,16.42%,3.82%,-13.72%,34.25%,2.93%,-4.83%,57.03%,-3.71%,-,-,-,7/7,4/7,4/7,2/6,1/7,1/6,2/6,2/5,2/5,0/0,18.36,0.89,0.09,-0.29,0.02,-,99.75%,48,-,-,-,0.25%,-,212.26,1.71%,10-May-21,212.26,10-May-21,126.25,18-May-20,35.80%,43.13%,43.74%,51.54%,112.51%
ICICI Prudential Dividend Yield Equity Fund - Direct Plan - GrowthDividend Yield Fund,-,237.68,4.17%,3.35%,9.40%,38.07%,16.45%,79.86%,14.50%,6.71%,13.53%,-,3.60%,-1.28%,-0.07%,5.34%,-1.19%,0.42%,-,-,-,-,-,-,2.28%,8.34%,-,-,-,-,-,-,-,-,-,-,10.13%,0.74%,-,-,-,-,-,-,-,-,-,-,2/7,2/7,2/7,1/6,2/7,2/6,6/6,5/5,4/5,0/0,18.55,0.92,0.42,5.92,0.09,-,98.91%,34,-,-,-,1.09%,-,93.8391,1.12%,10-May-21,93.8391,10-May-21,55.4093,18-May-20,34.39%,37.75%,35.03%,38.33%,-
ICICI Prudential Dividend Yield Equity Fund - GrowthDividend Yield Fund,-,237.68,4.15%,3.28%,9.11%,37.39%,16.07%,78.31%,13.55%,5.83%,12.65%,-,3.65%,-1.16%,0.07%,5.46%,-1.06%,0.27%,-,-,-,-,-,-,2.46%,8.80%,-,-,-,-,-,-,-,-,-,-,10.79%,0.80%,-,-,-,-,-,-,-,-,-,-,2/7,2/7,2/7,1/6,2/7,2/6,6/6,5/5,4/5,0/0,17.08,0.75,0.17,-2.73,0.04,-,98.91%,34,-,-,-,1.09%,-,89.1734,1.12%,10-May-21,89.1734,10-May-21,52.9472,18-May-20,33.66%,36.49%,33.32%,35.43%,-
Aditya Birla Sun Life Dividend Yield Fund - Direct Plan - GrowthDividend Yield Fund,1,741.9,3.52%,4.21%,10.67%,26.65%,12.22%,64.24%,18.22%,7.74%,11.36%,-,2.05%,-0.21%,1.30%,1.11%,-2.44%,5.42%,8.54%,0.70%,0.35%,2.63%,7.93%,4.08%,1.84%,3.77%,16.68%,11.85%,21.14%,-19.96%,4.45%,2.96%,-0.30%,1.50%,-,-,6.58%,24.12%,8.08%,0.20%,-,-,-,-,-,-,-,-,1/7,3/7,3/7,3/6,3/7,3/6,4/6,1/5,3/5,3/4,17.77,0.76,0.41,0.94,0.1,-,98.86%,46,0.02%,1,-,1.12%,-,70.2004,1.12%,10-May-21,70.2004,10-May-21,37.1376,18-May-20,28.43%,36.23%,38.27%,49.52%,-
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan - GrowthDividend Yield Fund,1,741.9,3.51%,4.15%,10.51%,26.24%,11.98%,63.10%,17.44%,7.02%,10.55%,9.62%,1.99%,-0.07%,1.40%,1.07%,-2.37%,5.56%,8.63%,0.76%,0.51%,2.65%,8.02%,4.18%,1.91%,4.02%,16.98%,12.12%,21.49%,-19.69%,4.86%,3.42%,0.10%,2.00%,-,-,6.89%,25.59%,10.08%,0.20%,-,-,-,-,-,-,-,-,1/7,3/7,3/7,3/6,3/7,3/6,3/6,1/5,3/5,0/0,,,,,,-,98.86%,46,0.02%,1,-,1.12%,-,66.2895,1.12%,10-May-21,66.2895,10-May-21,35.3988,18-May-20,28.01%,35.40%,37.03%,47.15%,95.68%
HDFC Dividend Yield Fund - Direct Plan - GrowthDividend Yield Fund,-,1888.0,3.06%,1.82%,5.14%,-,12.55%,-,-,-,-,-,2.19%,-0.06%,1.41%,2.59%,-1.11%,5.41%,9.91%,1.53%,-0.53%,2.43%,5.50%,3.99%,2.14%,7.97%,18.81%,7.86%,21.73%,-21.73%,5.46%,-2.18%,-0.13%,2.00%,-0.97%,1.12%,11.65%,20.14%,4.76%,-4.69%,46.60%,6.51%,-3.84%,44.52%,-6.12%,41.94%,-26.84%,24.68%,3/7,1/7,1/7,4/6,5/7,4/6,5/6,4/5,5/5,4/4,,,,,,-,97.43%,65,-,-,-,2.57%,-,76.36,0.39%,10-May-21,76.36,10-May-21,45.95,18-May-20,27.57%,34.45%,34.16%,35.76%,-
HDFC Dividend Yield Fund - Regular Plan - GrowthDividend Yield Fund,-,1888.0,3.04%,1.68%,4.70%,-,11.86%,-,-,-,-,-,2.20%,-0.01%,1.44%,2.61%,-1.07%,5.45%,9.96%,1.58%,-0.49%,2.46%,5.55%,4.02%,2.18%,8.08%,18.97%,7.99%,21.90%,-21.65%,5.61%,-2.27%,0.02%,2.21%,-0.74%,1.34%,11.82%,20.75%,5.46%,-4.01%,46.89%,6.93%,-3.25%,45.21%,-6.37%,-,-,-,3/7,1/7,1/7,4/6,6/7,4/6,5/6,4/5,5/5,0/0,,,,,,-,97.43%,65,-,-,-,2.57%,-,73.12,0.4%,10-May-21,73.12,10-May-21,44.21,18-May-20,27.08%,33.47%,32.76%,33.33%,73.55%
IDBI Dividend Yield Fund - Direct Plan - GrowthDividend Yield Fund,-,88.56,1.92%,0.61%,1.92%,20.84%,7.58%,57.61%,21.73%,-,-,-,5.56%,-1.58%,0.15%,8.58%,-2.68%,7.96%,12.83%,-0.94%,-1.66%,3.52%,6.39%,6.20%,3.89%,9.37%,22.19%,8.67%,21.78%,-27.92%,2.05%,-4.89%,-2.18%,2.86%,-1.38%,-0.84%,14.13%,14.12%,-3.53%,-11.88%,40.74%,8.89%,-5.56%,27.20%,-,-,-,-,6/7,6/7,6/7,5/6,4/7,5/6,3/6,2/5,1/5,1/4,,,,,,-,92.58%,38,-,-,-,7.42%,-,22.23,1.21%,10-May-21,22.23,10-May-21,12.09,18-May-20,26.05%,34.78%,37.27%,51.40%,-
IDBI Dividend Yield Fund - Regular Plan - GrowthDividend Yield Fund,-,88.56,1.91%,0.56%,1.77%,20.38%,7.30%,56.08%,20.13%,-,-,-,5.61%,-1.54%,0.24%,8.68%,-2.61%,8.10%,12.95%,-0.90%,-1.59%,3.56%,6.46%,6.23%,3.98%,9.65%,22.53%,8.85%,21.98%,-27.81%,2.28%,-4.71%,-1.99%,3.00%,-1.17%,-0.58%,15.90%,15.05%,-2.53%,-11.02%,41.65%,9.51%,-4.91%,27.90%,-,-,-,-,6/7,6/7,6/7,5/6,5/7,5/6,4/6,3/5,1/5,0/0,,,,,,-,92.58%,38,-,-,-,7.42%,-,21.09,1.19%,10-May-21,21.09,10-May-21,11.57,18-May-20,25.73%,34.07%,36.09%,49.18%,113.50%
