Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Flexi Cap Fund - Direct Plan - GrowthFlexi Cap Fund,2,23128.13,2.46%,1.56%,1.11%,35.30%,14.19%,69.40%,11.92%,10.28%,15.00%,-,1.90%,1.09%,-0.41%,2.73%,-2.16%,5.66%,12.93%,1.74%,-1.44%,4.56%,5.92%,4.22%,1.34%,4.17%,16.72%,7.98%,20.29%,-28.78%,4.92%,-4.71%,0.07%,4.43%,-1.14%,-0.92%,10.04%,14.14%,8.81%,-3.42%,33.51%,14.94%,2.75%,55.89%,6.07%,35.74%,-29.38%,14.16%,13/25,3/25,3/25,2/25,3/25,1/24,1/24,2/21,2/20,0/0,19.94,0.93,0.08,-6.22,0.02,57.00%,99.35%,65,-,-,-,0.65%,-,867.775,0.83%,07-May-21,898.328,03-Mar-21,489.046,19-May-20,34.62%,52.19%,59.88%,75.36%,-
Motilal Oswal Flexi Cap Fund - Direct Plan - GrowthFlexi Cap Fund,1,11872.55,2.45%,-0.37%,1.82%,19.58%,6.00%,56.93%,12.52%,6.69%,13.78%,-,1.09%,-1.14%,1.44%,1.29%,-1.18%,5.82%,10.80%,1.46%,-0.78%,4.23%,4.62%,2.57%,1.34%,4.17%,16.74%,8.00%,20.38%,-28.76%,4.94%,-5.16%,0.09%,4.46%,-1.10%,-0.88%,6.68%,9.43%,8.00%,-8.78%,38.04%,-3.00%,7.36%,59.19%,4.96%,40.84%,-18.00%,32.07%,13/25,4/25,3/25,3/25,5/25,1/24,1/24,2/21,2/20,0/0,20.79,0.91,0.34,-1.26,0.08,57.00%,99.35%,65,-,-,-,0.65%,-,815.821,0.82%,07-May-21,845.499,03-Mar-21,462.373,19-May-20,33.00%,48.86%,54.86%,66.50%,-
HDFC Flexi Cap Fund - GrowthFlexi Cap Fund,2,23128.13,2.44%,1.51%,0.95%,34.91%,13.95%,68.41%,11.29%,9.56%,14.15%,11.34%,1.11%,-1.08%,1.51%,1.34%,-1.11%,5.88%,10.85%,1.52%,-0.73%,4.29%,4.68%,2.63%,0.46%,11.59%,25.37%,5.21%,27.26%,-29.78%,5.81%,-4.18%,-2.93%,5.23%,-0.19%,-0.80%,6.95%,10.19%,8.91%,-8.09%,39.09%,-2.28%,8.02%,60.38%,5.23%,-,-,-,3/25,10/25,16/25,2/25,3/25,2/24,13/24,12/21,15/20,5/14,20.38,0.95,0.42,0.09,0.09,35.40%,99.10%,51,-,-,-,0.90%,-,842.0025,0.41%,07-May-21,865.8389,03-Mar-21,459.8922,18-May-20,30.32%,36.55%,37.06%,44.76%,-
Motilal Oswal Flexi Cap Fund - GrowthFlexi Cap Fund,1,11872.55,2.44%,-0.45%,1.59%,19.07%,5.67%,55.47%,11.50%,5.71%,12.75%,-,1.03%,-0.96%,-0.39%,2.13%,-5.57%,7.11%,11.76%,2.11%,-1.46%,1.93%,4.10%,3.82%,0.53%,11.80%,25.60%,5.41%,27.50%,-29.64%,6.02%,-3.99%,-2.74%,5.48%,0.04%,-0.56%,2.75%,19.15%,17.71%,7.72%,1.50%,-,-,-,-,-,-,-,3/25,11/25,16/25,3/25,4/25,2/24,14/24,13/21,14/20,0/0,22.59,0.97,0.32,-1.64,0.08,35.40%,99.10%,51,-,-,-,0.90%,-,780.7433,0.41%,07-May-21,803.9318,03-Mar-21,429.5256,18-May-20,30.02%,30.96%,31.53%,40.92%,-
Franklin India Flexi Cap Fund - Direct - GrowthFlexi Cap Fund,3,9459.36,2.33%,1.17%,1.17%,31.86%,14.26%,76.63%,16.18%,10.96%,13.46%,-,1.04%,-0.85%,-0.31%,2.22%,-5.49%,7.25%,11.83%,2.25%,-1.32%,2.17%,4.19%,3.93%,-0.77%,7.16%,18.79%,7.14%,23.52%,-27.76%,6.16%,-1.75%,2.13%,6.18%,1.40%,-0.18%,3.18%,20.86%,19.64%,9.38%,1.70%,-,-,-,-,-,-,-,24/25,25/25,19/25,9/25,19/25,3/24,3/24,3/21,3/20,2/14,20.97,0.95,0.44,1.86,0.1,17.41%,99.04%,51,0.01%,1,0.15%,0.80%,-,1055.32,0.23%,07-May-21,1055.32,07-May-21,597.87,18-May-20,29.74%,35.44%,35.39%,41.50%,110.75%
Franklin India Flexi Cap Fund - GrowthFlexi Cap Fund,3,9459.36,2.32%,1.11%,0.98%,31.37%,13.96%,75.32%,15.29%,10.05%,12.39%,13.61%,1.94%,3.34%,0.88%,5.53%,-2.60%,6.00%,11.39%,0.26%,3.15%,4.75%,4.78%,-,-0.67%,7.42%,19.06%,7.40%,23.81%,-27.57%,6.38%,-1.54%,2.37%,6.46%,1.67%,0.05%,13.95%,37.90%,-,-,-,-,-,-,-,-,-,-,24/25,25/25,19/25,11/25,19/25,3/24,3/24,3/21,5/20,0/0,18.98,0.88,0.18,-3.31,0.04,17.41%,99.04%,51,0.01%,1,0.15%,0.80%,-,977.89,0.23%,07-May-21,977.89,07-May-21,558.66,18-May-20,29.57%,30.17%,30.33%,38.41%,97.11%
L&T Flexi Cap Fund - Direct Plan - GrowthFlexi Cap Fund,3,2610.56,2.27%,1.93%,3.77%,22.83%,9.69%,60.47%,14.31%,7.74%,13.25%,-,1.97%,3.49%,1.01%,5.68%,-2.50%,6.10%,11.48%,0.43%,3.31%,4.93%,4.98%,-,0.72%,10.72%,26.50%,3.24%,20.95%,-32.22%,6.15%,-7.65%,2.38%,7.44%,1.41%,3.70%,14.66%,39.30%,-,-,-,-,-,-,-,-,-,-,14/25,2/25,2/25,10/25,2/25,4/24,2/24,1/21,1/20,0/0,19.38,0.9,0.38,-0.3,0.08,74.00%,98.97%,43,-,-,-,1.03%,-,133.33,0.67%,07-May-21,134.15,15-Feb-21,85.63,18-May-20,28.63%,45.65%,54.29%,76.07%,-
L&T Flexi Cap Fund - GrowthFlexi Cap Fund,3,2610.56,2.26%,1.86%,3.58%,22.41%,9.43%,59.33%,13.53%,6.98%,12.45%,11.46%,1.91%,1.15%,-0.36%,2.78%,-2.10%,5.74%,13.01%,1.82%,-1.37%,4.64%,6.00%,4.30%,0.78%,10.88%,26.67%,3.40%,21.12%,-32.13%,6.30%,-7.54%,2.51%,7.61%,1.63%,3.94%,10.32%,16.82%,9.79%,-2.36%,35.07%,15.96%,3.68%,57.30%,5.95%,-,-,-,14/25,2/25,2/25,12/25,2/25,4/24,2/24,1/21,1/20,0/0,21.27,1.0,0.37,0.24,0.08,74.00%,98.97%,43,-,-,-,1.03%,-,128.44,0.67%,07-May-21,129.24,15-Feb-21,82.56,18-May-20,28.32%,34.79%,37.35%,48.34%,-
IDBI Flexi Cap Fund - Regular Plan - GrowthFlexi Cap Fund,3,315.35,1.99%,1.50%,2.98%,21.88%,7.37%,56.83%,16.57%,8.00%,11.34%,-,1.04%,-0.65%,0.30%,2.34%,-2.15%,5.39%,10.12%,1.23%,0.24%,3.12%,5.84%,3.56%,-0.67%,8.62%,25.41%,1.66%,17.89%,-25.77%,3.40%,8.09%,1.06%,3.45%,1.77%,-3.44%,7.43%,22.03%,12.43%,1.42%,37.76%,-2.63%,-0.28%,39.86%,3.44%,31.32%,-15.86%,20.67%,1/25,7/25,17/25,1/25,4/25,5/24,22/24,13/21,10/20,12/14,21.13,0.93,0.13,-5.9,0.03,-,98.87%,33,0.03%,1,-,1.10%,-,109.655,0.74%,07-May-21,109.655,07-May-21,66.665,18-May-20,27.90%,44.12%,52.04%,72.18%,-
IDBI Flexi Cap Fund - Direct Plan - GrowthFlexi Cap Fund,3,315.35,1.98%,1.61%,3.27%,22.63%,7.82%,58.73%,18.15%,9.64%,13.14%,-,1.06%,-0.55%,0.40%,2.43%,-2.05%,5.49%,10.22%,1.31%,0.33%,3.24%,5.97%,3.68%,-0.59%,8.83%,25.66%,1.86%,18.11%,-25.63%,3.60%,7.48%,1.25%,3.64%,1.97%,-3.26%,7.91%,23.66%,13.44%,2.08%,38.70%,-2.05%,0.30%,40.49%,3.23%,-,-,-,1/25,8/25,17/25,1/25,5/25,5/24,22/24,14/21,11/20,0/0,19.34,0.92,0.49,1.61,0.1,-,98.87%,33,0.03%,1,-,1.10%,-,103.528,0.74%,07-May-21,103.528,07-May-21,63.375,18-May-20,27.88%,40.19%,45.71%,63.10%,-
