Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Focused Fund - Direct Plan - GrowthFocused Fund,-,12.12,5.35%,6.08%,18.97%,46.37%,26.48%,84.77%,29.83%,16.59%,16.82%,-,3.23%,-0.92%,-2.67%,6.33%,1.14%,6.92%,14.93%,4.23%,-7.81%,4.97%,0.05%,6.64%,2.28%,11.62%,30.57%,-2.42%,25.47%,-31.03%,7.93%,-6.93%,2.78%,7.91%,1.79%,0.03%,4.42%,15.36%,13.14%,-11.69%,3.47%,-,-,-,-,-,-,-,1/25,1/25,1/25,1/24,1/25,1/22,1/18,2/17,3/15,2/12,22.37,0.93,0.44,1.2,0.11,841.00%,100.29%,20,-,-,-,-0.29%,-,209.4941,1.06%,10-May-21,209.4941,10-May-21,129.2597,18-May-20,43.55%,55.42%,58.62%,69.30%,-
Quant Focused Fund - GrowthFocused Fund,-,12.12,5.24%,5.84%,18.30%,44.85%,25.52%,81.23%,27.71%,15.09%,15.87%,16.65%,3.26%,-0.86%,-2.60%,6.40%,1.21%,7.00%,15.00%,4.29%,-7.75%,5.04%,0.12%,6.71%,2.37%,11.87%,30.84%,-2.22%,25.73%,-30.88%,8.17%,-6.73%,3.02%,8.20%,2.06%,0.30%,5.02%,17.01%,14.59%,-10.46%,3.86%,-,-,-,-,-,-,-,1/25,1/25,1/25,1/24,1/25,1/22,1/18,2/17,4/15,0/0,18.58,0.8,0.45,1.58,0.11,841.00%,100.29%,20,-,-,-,-0.29%,-,193.9594,1.05%,10-May-21,193.9594,10-May-21,120.9285,18-May-20,41.86%,52.41%,54.66%,63.95%,170.41%
ICICI Prudential Focused Equity Fund - Direct Plan - GrowthFocused Fund,4,1316.11,3.55%,3.29%,2.77%,31.28%,14.42%,66.79%,19.13%,13.84%,14.73%,-,4.20%,-1.24%,-0.53%,4.35%,-0.66%,6.66%,10.53%,-0.03%,-3.33%,1.99%,6.96%,3.98%,2.91%,8.36%,19.77%,6.40%,29.45%,-22.02%,2.17%,-4.96%,-0.58%,5.06%,-6.37%,5.72%,3.83%,15.41%,9.28%,-12.39%,54.42%,1.30%,-4.90%,32.39%,2.16%,20.79%,-20.57%,16.47%,14/25,11/25,8/25,2/24,3/25,2/22,6/18,10/17,6/15,4/12,19.77,0.89,0.58,3.91,0.13,-,99.71%,23,0.02%,1,-,0.27%,-,245.7485,0.67%,10-May-21,254.4339,15-Feb-21,156.8961,18-May-20,34.35%,41.41%,42.88%,53.51%,-
ICICI Prudential Focused Equity Fund - Regular Plan - GrowthFocused Fund,4,1316.11,3.54%,3.18%,2.48%,30.49%,13.92%,64.79%,17.84%,12.62%,13.47%,11.52%,4.17%,-1.32%,-0.60%,4.27%,-0.77%,6.56%,10.43%,-0.13%,-3.43%,1.88%,6.86%,3.88%,2.79%,8.05%,19.42%,6.05%,29.15%,-22.23%,1.93%,-5.22%,-0.85%,4.79%,-6.64%,5.45%,4.32%,16.96%,10.85%,-10.97%,56.85%,3.10%,-3.44%,33.06%,2.34%,-,-,-,14/25,11/25,9/25,2/24,3/25,2/22,8/18,10/17,3/15,0/0,21.58,0.96,0.09,-6.09,0.02,-,99.71%,23,0.02%,1,-,0.27%,-,231.0842,0.66%,10-May-21,239.7848,15-Feb-21,148.9459,18-May-20,33.82%,40.40%,41.38%,47.45%,143.79%
Franklin India Focused Equity Fund - Direct - GrowthFocused Fund,3,7359.87,2.94%,2.96%,1.83%,31.90%,16.62%,77.02%,17.74%,13.28%,15.25%,-,1.51%,0.79%,-1.41%,4.90%,-2.55%,6.30%,12.83%,0.27%,-0.80%,2.48%,3.90%,4.23%,2.31%,7.42%,21.46%,6.46%,18.56%,-20.53%,8.18%,-1.43%,2.35%,2.30%,1.41%,0.28%,4.28%,20.88%,15.37%,1.32%,45.15%,4.20%,4.03%,38.98%,4.46%,15.10%,-,-,13/25,18/25,10/25,7/24,9/25,3/22,0/0,0/0,0/0,0/0,22.76,0.93,0.15,-5.88,0.04,-,99.39%,26,-,-,-,0.61%,-,97.684,0.9%,10-May-21,99.95,03-Mar-21,57.477,19-May-20,33.51%,36.76%,39.73%,49.43%,-
Franklin India Focused Equity Fund - GrowthFocused Fund,3,7359.87,2.92%,2.89%,1.62%,31.34%,16.26%,75.57%,16.75%,12.22%,14.08%,15.70%,1.52%,0.86%,-1.33%,4.96%,-2.49%,6.38%,12.91%,0.34%,-0.74%,2.54%,3.98%,4.29%,2.40%,7.65%,21.73%,6.68%,18.78%,-20.38%,8.37%,-1.30%,2.49%,2.40%,1.69%,0.54%,4.61%,22.34%,16.90%,2.53%,46.86%,5.47%,5.50%,40.60%,4.94%,-,-,-,3/25,3/25,6/25,3/24,4/25,3/22,9/18,6/17,9/15,3/12,21.01,0.9,0.13,-5.72,0.03,-,99.39%,26,-,-,-,0.61%,-,90.745,0.89%,10-May-21,93.062,03-Mar-21,53.942,19-May-20,32.85%,35.54%,37.82%,45.68%,138.56%
HDFC Focused 30 Fund - Direct Plan - GrowthFocused Fund,1,656.96,2.61%,2.33%,1.56%,27.81%,12.74%,63.10%,11.41%,5.38%,10.85%,-,1.16%,-2.66%,-0.35%,4.62%,-0.22%,4.25%,9.95%,1.04%,0.75%,0.91%,6.12%,6.13%,-1.53%,9.79%,17.56%,8.78%,22.82%,-26.92%,5.23%,-,-,-,-,-,6.16%,15.42%,11.51%,-3.49%,30.94%,6.27%,-0.27%,48.77%,8.03%,36.36%,-21.60%,18.04%,3/25,3/25,6/25,3/24,4/25,4/22,9/18,7/17,9/15,0/0,17.52,0.78,0.51,2.18,0.11,39.35%,99.28%,23,-,-,-,0.71%,-,51.2321,1.47%,10-May-21,51.2321,10-May-21,27.0564,18-May-20,28.12%,-,-,-,-
HDFC Focused 30 Fund - GrowthFocused Fund,1,656.96,2.59%,2.24%,1.26%,27.08%,12.26%,61.40%,10.32%,4.38%,9.69%,8.61%,1.21%,-2.53%,-0.20%,4.74%,-0.09%,4.41%,10.10%,1.19%,0.89%,1.06%,6.26%,6.28%,-1.35%,10.26%,18.07%,9.25%,23.35%,-26.59%,5.69%,-,-,-,-,-,6.47%,16.48%,12.47%,-2.42%,32.56%,7.49%,0.61%,50.06%,8.02%,-,-,-,13/25,18/25,10/25,8/24,9/25,4/22,0/0,0/0,0/0,0/0,21.44,0.95,0.39,4.36,0.09,39.35%,99.28%,23,-,-,-,0.71%,-,59.2253,1.21%,10-May-21,60.2726,03-Mar-21,32.2563,18-May-20,27.80%,37.92%,40.21%,49.88%,-
Mahindra Manulife Focused Equity Yojana - Direct Plan - GrowthFocused Fund,-,296.73,2.54%,2.69%,5.67%,-,18.05%,-,-,-,-,-,3.30%,0.20%,0.60%,4.93%,-0.17%,6.17%,-,-,-,-,-,-,3.51%,11.40%,-,-,-,-,-,-,-,-,-,-,7.71%,13.29%,13.30%,2.11%,-,-,-,-,-,-,-,-,18/25,10/25,14/25,12/24,15/25,5/22,2/18,1/17,1/15,0/0,20.45,0.92,0.38,-0.74,0.08,-,98.99%,31,-,-,-,1.01%,-,49.6963,1.38%,10-May-21,49.6963,10-May-21,26.7483,18-May-20,26.95%,-,-,-,-
Mahindra Manulife Focused Equity Yojana - Regular Plan - GrowthFocused Fund,-,296.73,2.50%,2.51%,5.12%,-,17.15%,-,-,-,-,-,3.36%,0.36%,0.78%,5.09%,0.01%,6.35%,-,-,-,-,-,-,3.74%,12.00%,-,-,-,-,-,-,-,-,-,-,8.16%,14.60%,14.36%,2.28%,-,-,-,-,-,-,-,-,18/25,10/25,14/25,12/24,15/25,5/22,2/18,1/17,1/15,0/0,20.13,0.88,0.42,0.37,0.1,-,98.99%,31,-,-,-,1.01%,-,54.3868,1.2%,10-May-21,55.4329,03-Mar-21,29.8613,18-May-20,26.91%,36.21%,37.77%,45.57%,98.46%
