Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan
Quant Active Fund - Direct Plan,5,259.96,5.84,9.86,24.75,56.7,32.67,121.6,42.74,26.25,22.81,0.0,3.09,-0.15,-1.39,5.48,1.12,4.82,10.76,1.9,-1.07,-0.89,5.21,1.71,2.53,8.05,20.04,4.39,20.26,-26.45,6.53,-0.29,2.55,3.8,0.36,-2.12,11.93,9.79,12.93,-11.65,42.58,1.43,6.15,49.35,5.14,32.9,-17.0,21.78,1/28,1/28,1/28,1/28,1/28,1/28,1/26,1/19,1/9,1/8,Multi Cap Fund,18.95,0.87,0.33,-0.53,0.07,0.0,99.58,73.0,0.02,1,0.0,0.4,0.0,362.37,1.75,10-May-21,362.37,10-May-21,160.0,18-May-20,57.15,79.92,87.54,108.37,0.0,Direct
Quant Active Fund,5,259.96,5.82,9.71,24.15,55.12,31.74,117.92,41.47,25.26,22.17,17.36,3.15,0.02,-1.22,5.63,1.28,5.01,10.94,2.07,-0.9,-0.71,5.39,1.88,2.69,8.44,20.47,4.75,20.65,-26.23,6.88,0.06,2.9,4.15,0.74,-1.7,12.5,11.26,14.66,-10.16,44.9,3.08,7.89,51.28,5.53,0.0,0.0,0.0,1/27,1/27,1/27,1/27,1/27,1/27,1/25,1/18,1/8,0/0,Multi Cap Fund,18.41,0.86,0.65,5.24,0.14,0.0,99.58,73.0,0.02,1,0.0,0.4,0.0,351.43,1.74,10-May-21,351.43,10-May-21,157.8,18-May-20,55.37,77.33,84.4,104.02,222.81,Regular
Mahindra Manulife Multi Cap Badhat Yojana - Regular Plan,4,472.11,2.86,3.29,7.81,32.47,19.37,72.37,25.02,15.13,0.0,0.0,2.24,0.39,0.03,5.97,0.32,6.72,13.74,-0.66,-1.37,8.96,8.05,5.89,4.68,9.03,17.12,6.19,22.52,-32.54,1.83,-5.57,-5.5,-0.65,1.53,-6.87,14.7,1.91,-10.23,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16/28,20/28,7/28,7/28,5/28,6/28,23/26,14/19,9/9,7/8,Multi Cap Fund,18.36,0.61,0.08,-4.28,0.02,420.0,99.41,51.0,0.0,-,0.0,0.59,0.0,183.35,0.41,10-May-21,184.06,15-Feb-21,107.7,18-May-20,33.34,42.39,47.31,0.0,0.0,Regular
Mahindra Manulife Multi Cap Badhat Yojana - Direct Plan,4,472.11,2.89,3.44,8.26,33.6,20.1,75.39,27.15,17.23,0.0,0.0,2.21,0.31,-0.05,5.26,0.25,6.65,13.66,-0.74,-1.44,8.88,7.97,5.81,4.72,8.94,16.9,6.05,22.55,-32.56,1.62,-5.79,-5.71,-1.2,1.21,-7.31,14.54,1.22,-11.45,-8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/28,4/28,14/28,3/28,6/28,5/28,21/26,0/0,0/0,0/0,Multi Cap Fund,20.8,0.78,0.88,10.98,0.23,420.0,99.41,51.0,0.0,-,0.0,0.59,0.0,195.21,0.41,10-May-21,195.66,10-Mar-21,113.8,18-May-20,34.05,52.62,57.67,0.0,0.0,Direct
Baroda Multi Cap Fund - Plan B (Direct),4,980.13,1.97,2.11,5.45,26.88,13.14,68.02,20.46,11.71,14.18,0.0,2.2,-1.55,-2.02,12.02,-1.73,6.34,13.83,-0.67,-5.07,10.45,2.06,5.34,1.07,5.71,19.05,2.95,3.47,-18.73,3.08,-4.5,1.13,5.83,0.25,4.29,-0.37,3.11,3.02,-1.42,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21/27,21/27,18/27,17/27,15/27,13/27,0/0,0/0,0/0,0/0,Multi Cap Fund,20.2,0.95,0.53,3.25,0.11,95.0,97.33,42.0,0.0,-,0.0,2.67,0.0,13.94,0.94,10-May-21,13.94,10-May-21,8.35,18-May-20,28.82,36.34,38.06,47.15,0.0,Direct
Baroda Multi Cap Fund - Plan A,4,980.13,1.96,2.05,5.24,26.35,12.81,66.71,19.52,10.76,13.17,10.33,5.3,-1.15,-3.62,7.19,-0.89,8.96,15.94,-2.26,-6.06,10.34,0.38,7.92,0.96,8.52,20.3,9.1,21.8,-26.27,7.44,-4.92,-0.65,3.37,0.69,-0.87,8.06,0.41,4.38,-1.36,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23/28,22/28,21/28,20/28,20/28,15/28,18/26,13/19,4/9,3/8,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,96.55,25.0,0.0,-,0.0,3.45,0.0,14.87,0.81,10-May-21,14.91,15-Feb-21,8.99,18-May-20,27.83,29.99,30.24,38.09,106.71,Regular
Principal Multi Cap Growth Fund - Direct Plan,3,715.53,1.31,0.75,1.78,23.11,11.05,63.19,16.55,8.76,15.6,0.0,1.47,0.14,0.5,4.26,-3.41,4.59,10.53,0.26,1.52,4.41,6.39,4.85,2.25,8.21,19.66,10.17,21.26,-33.76,9.17,-6.1,-0.49,-0.69,2.58,-0.53,16.52,0.08,2.23,-1.87,40.87,-7.24,0.56,59.72,3.76,47.35,-21.63,30.45,6/28,18/28,11/28,10/28,8/28,23/28,0/0,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,93.15,36.0,0.0,-,0.0,6.85,0.0,15.2,0.52,10-May-21,15.49,08-Apr-21,8.75,18-May-20,23.01,28.71,0.0,0.0,0.0,Direct
Principal Multi Cap Growth Fund,3,715.53,1.3,0.69,1.6,22.67,10.77,61.93,15.59,7.8,14.64,13.91,1.37,0.07,0.44,4.16,-3.51,4.56,10.47,0.18,1.47,4.33,6.35,4.65,2.34,8.41,19.72,10.22,21.5,-33.68,9.22,-7.0,-0.31,-0.33,2.95,-0.16,16.78,0.81,2.98,-1.14,41.96,-6.47,1.25,60.96,3.84,0.0,0.0,0.0,10/27,24/27,26/27,25/27,25/27,24/27,24/25,15/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,93.15,36.0,0.0,-,0.0,6.85,0.0,11.65,0.67,10-May-21,11.87,15-Feb-21,7.93,26-May-20,22.56,30.0,34.05,0.0,0.0,Regular
Invesco India Multicap Fund - Direct Plan,3,1171.1,1.82,2.59,3.05,28.33,12.33,63.57,21.13,10.23,15.0,0.0,4.35,0.31,-0.42,5.1,-1.27,4.78,13.5,-2.6,-2.17,4.85,3.24,3.19,-0.05,10.55,18.82,20.75,29.69,-31.94,10.57,-1.01,-2.18,3.78,-0.16,-3.27,14.34,44.72,5.74,-8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/27,3/27,4/27,4/27,5/27,18/27,23/25,18/18,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.89,40.0,0.0,-,0.0,5.11,0.0,9.37,0.92,10-May-21,9.37,10-May-21,5.25,19-May-20,26.09,31.82,32.66,42.87,0.0,Direct
Invesco India Multicap Fund,3,1171.1,1.8,2.48,2.71,27.47,11.8,61.39,19.54,8.7,13.27,16.48,6.0,2.38,2.59,5.33,-1.14,4.05,17.96,-3.02,-0.28,5.28,1.64,1.52,-1.46,6.86,12.54,4.96,11.99,-14.45,5.2,-0.77,2.06,5.44,0.05,0.0,11.46,25.5,11.85,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14/28,11/28,24/28,22/28,22/28,19/28,8/26,0/0,0/0,0/0,Multi Cap Fund,0.0,0.0,0.0,0.0,0.0,0.0,94.81,33.0,0.0,-,0.0,5.19,0.0,14.49,0.58,10-May-21,14.77,03-Mar-21,8.7,18-May-20,25.53,30.71,30.95,39.64,117.82,Regular
