Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Active Fund - Direct Plan - GrowthMulti Cap Fund,5,259.96,5.84%,9.86%,24.75%,56.70%,32.67%,121.60%,42.74%,26.25%,22.81%,-,3.09%,-0.15%,-1.39%,5.48%,1.12%,4.82%,10.76%,1.90%,-1.07%,-0.89%,5.21%,1.71%,2.53%,8.05%,20.04%,4.39%,20.26%,-26.45%,6.53%,-0.29%,2.55%,3.80%,0.36%,-2.12%,11.93%,9.79%,12.93%,-11.65%,42.58%,1.43%,6.15%,49.35%,5.14%,32.90%,-17.00%,21.78%,1/28,1/28,1/28,1/28,1/28,1/28,1/26,1/19,1/9,1/8,Multi Cap Fund,18.95,0.87,0.33,-0.53,0.07,-,99.58%,73.0,0.02%,1,-,0.40%,-,362.3701,1.75%,10-May-21,362.3701,10-May-21,160.0033,18-May-20,57.15%,79.92%,87.54%,108.37%,-
Quant Active Fund - GrowthMulti Cap Fund,5,259.96,5.82%,9.71%,24.15%,55.12%,31.74%,117.92%,41.47%,25.26%,22.17%,17.36%,3.15%,0.02%,-1.22%,5.63%,1.28%,5.01%,10.94%,2.07%,-0.90%,-0.71%,5.39%,1.88%,2.69%,8.44%,20.47%,4.75%,20.65%,-26.23%,6.88%,0.06%,2.90%,4.15%,0.74%,-1.70%,12.50%,11.26%,14.66%,-10.16%,44.90%,3.08%,7.89%,51.28%,5.53%,-,-,-,1/27,1/27,1/27,1/27,1/27,1/27,1/25,1/18,1/8,0/0,Multi Cap Fund,18.41,0.86,0.65,5.24,0.14,-,99.58%,73.0,0.02%,1,-,0.40%,-,351.4281,1.74%,10-May-21,351.4281,10-May-21,157.7978,18-May-20,55.37%,77.33%,84.40%,104.02%,222.81%
Aditya Birla Sun Life Resurgent India Fund - Series 7 - GrowthMulti Cap Fund,-,124.25,4.93%,7.68%,16.39%,43.34%,25.15%,75.20%,15.79%,2.15%,-,-,2.34%,-0.71%,-2.28%,6.54%,-0.70%,6.16%,13.34%,1.20%,-4.30%,5.13%,4.48%,3.76%,2.41%,4.98%,16.88%,13.72%,21.62%,-21.33%,6.08%,3.00%,-,2.69%,-1.22%,-,8.86%,25.21%,12.42%,-3.20%,-,-,-,-,-,-,-,-,17/28,10/28,18/28,5/28,11/28,2/28,3/26,2/19,0/0,0/0,Multi Cap Fund,16.25,0.73,0.47,2.11,0.1,36.00%,99.58%,48.0,-,-,-,0.42%,-,395.67,0.98%,10-May-21,403.85,03-Mar-21,227.54,18-May-20,41.19%,41.87%,35.73%,-,-
Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - GrowthMulti Cap Fund,-,124.25,4.89%,7.67%,16.37%,43.51%,25.29%,75.78%,16.46%,3.03%,-,-,2.32%,-0.79%,-2.35%,6.48%,-0.77%,6.08%,13.26%,1.12%,-4.37%,5.04%,4.39%,3.68%,2.48%,5.20%,17.14%,14.00%,22.04%,-21.21%,6.38%,3.26%,0.20%,3.09%,-0.82%,-,9.12%,26.29%,13.68%,-2.60%,-,-,-,-,-,-,-,-,16/27,10/27,14/27,5/27,9/27,2/27,2/25,3/18,0/0,0/0,Multi Cap Fund,20.65,0.89,-0.3,-13.01,-0.07,36.00%,99.58%,48.0,-,-,-,0.42%,-,367.47,0.97%,10-May-21,375.69,03-Mar-21,213.3,18-May-20,40.97%,41.19%,34.51%,-,-
Nippon India India Opportunities Fund - Series A - Direct Plan - GrowthMulti Cap Fund,-,764.88,4.16%,3.61%,3.52%,39.30%,17.14%,83.63%,13.03%,-,-,-,1.62%,-0.73%,0.22%,4.85%,-1.15%,5.86%,10.95%,1.32%,-0.58%,2.96%,5.53%,4.92%,0.84%,4.33%,22.96%,6.91%,20.19%,-25.19%,5.63%,1.46%,2.83%,5.49%,-,-,6.39%,16.51%,16.77%,0.20%,-,-,-,-,-,-,-,-,27/28,26/28,15/28,14/28,17/28,3/28,4/26,0/0,0/0,0/0,Multi Cap Fund,20.69,0.88,-0.1,-9.02,-0.02,-,99.50%,95.0,-,-,-,0.50%,-,145.75,1%,10-May-21,145.75,10-May-21,83.26,18-May-20,35.52%,55.12%,61.09%,-,-
Nippon India India Opportunities Fund - Series A - GrowthMulti Cap Fund,-,764.88,4.15%,3.55%,3.34%,38.81%,16.85%,82.30%,12.12%,-,-,-,1.64%,-0.67%,0.28%,4.89%,-1.10%,5.92%,11.02%,1.38%,-0.52%,3.02%,5.59%,5.00%,0.89%,4.54%,23.30%,7.09%,20.40%,-25.09%,5.76%,1.72%,3.00%,5.88%,-,-,6.71%,17.43%,17.85%,0.30%,-,-,-,-,-,-,-,-,26/27,25/27,16/27,13/27,17/27,3/27,5/25,0/0,0/0,0/0,Multi Cap Fund,19.92,0.92,0.37,-0.39,0.08,-,99.50%,95.0,-,-,-,0.50%,-,135.46,1%,10-May-21,135.57,03-Mar-21,77.98,18-May-20,35.28%,33.86%,-,-,-
Aditya Birla Sun Life Resurgent India Fund - Series 6 - GrowthMulti Cap Fund,-,590.26,3.83%,4.27%,8.08%,34.94%,17.71%,60.28%,7.45%,-2.49%,-,-,0.47%,-0.53%,-0.83%,8.12%,-1.38%,6.50%,12.20%,-1.58%,2.72%,8.15%,7.99%,6.72%,1.45%,4.73%,17.13%,13.20%,17.91%,-23.31%,5.40%,0.77%,2.48%,1.11%,3.77%,-1.53%,7.02%,19.20%,10.36%,-0.80%,-,-,-,-,-,-,-,-,3/27,4/27,13/27,3/27,6/27,4/27,20/25,0/0,0/0,0/0,Multi Cap Fund,14.76,0.45,0.6,4.94,0.2,36.00%,99.48%,48.0,-,-,-,0.52%,-,122.3122,0.85%,10-May-21,126.8649,03-Mar-21,65.2875,18-May-20,34.72%,32.80%,-,-,-
Aditya Birla Sun Life Resurgent India Fund - Series 6 - Direct Plan - GrowthMulti Cap Fund,-,590.26,3.81%,4.24%,8.16%,35.17%,17.78%,60.96%,8.07%,-1.60%,-,-,0.47%,-0.51%,-0.81%,8.12%,-1.37%,6.51%,12.22%,-1.57%,2.72%,8.18%,8.00%,6.73%,1.61%,4.96%,17.36%,13.47%,18.19%,-23.23%,5.67%,1.04%,2.54%,1.59%,4.15%,-1.22%,7.41%,20.02%,11.43%,0.40%,-,-,-,-,-,-,-,-,15/27,19/27,6/27,7/27,4/27,5/27,22/25,13/18,8/8,0/0,Multi Cap Fund,21.09,0.55,0.52,6.28,0.2,36.00%,99.48%,48.0,-,-,-,0.52%,-,115.0285,0.84%,10-May-21,119.4629,03-Mar-21,61.798,18-May-20,34.69%,45.08%,51.47%,-,-
Mahindra Manulife Multi Cap Badhat Yojana - Direct Plan - GrowthMulti Cap Fund,4,472.11,2.89%,3.44%,8.26%,33.60%,20.10%,75.39%,27.15%,17.23%,-,-,2.21%,0.31%,-0.05%,5.26%,0.25%,6.65%,13.66%,-0.74%,-1.44%,8.88%,7.97%,5.81%,4.72%,8.94%,16.90%,6.05%,22.55%,-32.56%,1.62%,-5.79%,-5.71%,-1.20%,1.21%,-7.31%,14.54%,1.22%,-11.45%,-8.30%,-,-,-,-,-,-,-,-,3/28,4/28,14/28,3/28,6/28,5/28,21/26,0/0,0/0,0/0,Multi Cap Fund,20.8,0.78,0.88,10.98,0.23,420.00%,99.41%,51.0,-,-,-,0.59%,-,195.21,0.41%,10-May-21,195.66,10-Mar-21,113.8,18-May-20,34.05%,52.62%,57.67%,-,-
Mahindra Manulife Multi Cap Badhat Yojana - Regular Plan - GrowthMulti Cap Fund,4,472.11,2.86%,3.29%,7.81%,32.47%,19.37%,72.37%,25.02%,15.13%,-,-,2.24%,0.39%,0.03%,5.97%,0.32%,6.72%,13.74%,-0.66%,-1.37%,8.96%,8.05%,5.89%,4.68%,9.03%,17.12%,6.19%,22.52%,-32.54%,1.83%,-5.57%,-5.50%,-0.65%,1.53%,-6.87%,14.70%,1.91%,-10.23%,-7.10%,-,-,-,-,-,-,-,-,16/28,20/28,7/28,7/28,5/28,6/28,23/26,14/19,9/9,7/8,Multi Cap Fund,18.36,0.61,0.08,-4.28,0.02,420.00%,99.41%,51.0,-,-,-,0.59%,-,183.35,0.41%,10-May-21,184.06,15-Feb-21,107.7,18-May-20,33.34%,42.39%,47.31%,-,-
ITI Multi Cap Fund - Direct Plan - GrowthMulti Cap Fund,-,217.86,2.59%,1.56%,5.26%,30.14%,16.97%,59.99%,-,-,-,-,1.05%,-2.59%,-0.13%,2.83%,-1.56%,4.26%,7.02%,-0.49%,0.04%,-0.37%,4.69%,1.63%,8.56%,12.50%,19.86%,6.58%,16.67%,-27.52%,3.16%,-5.85%,-3.31%,-2.78%,1.17%,-6.93%,24.42%,7.90%,-9.14%,-13.43%,-,-,-,-,-,-,-,-,2/27,2/27,2/27,2/27,2/27,6/27,17/25,17/18,0/0,0/0,Multi Cap Fund,18.36,0.61,0.08,-4.28,0.02,108.00%,99.22%,65.0,-,-,-,0.78%,-,72.61,0.81%,10-May-21,72.61,10-May-21,42.41,18-May-20,33.23%,30.81%,29.34%,36.34%,-
