Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
ICICI Prudential Commodities Fund - Direct Plan - GrowthSectoral/Thematic,-,318.39,9.56%,21.15%,48.58%,95.83%,58.50%,196.16%,-,-,-,-,-0.93%,2.29%,-2.18%,2.86%,-1.59%,0.40%,-,-,-,-,-,-,-0.92%,6.65%,18.11%,3.38%,18.22%,-16.90%,6.07%,4.07%,3.63%,3.61%,9.25%,-,6.40%,17.40%,18.67%,8.94%,-,-,-,-,-,-,-,-,1/125,1/124,1/123,1/117,1/122,1/114,0/0,0/0,0/0,0/0,16.45,0.68,0.52,2.82,0.13,606.00%,101.10%,23,-,-,-,-1.10%,-,312.215,2.27%,10-May-21,312.215,10-May-21,187.4055,19-May-20,96.00%,-,-,-,-
ICICI Prudential Commodities Fund - Regular Plan - GrowthSectoral/Thematic,-,318.39,9.55%,20.99%,48.09%,94.30%,57.75%,191.76%,-,-,-,-,-0.93%,2.47%,-1.98%,2.96%,-1.49%,0.21%,-,-,-,-,-,-,-0.75%,7.04%,18.56%,3.78%,18.69%,-16.54%,6.49%,5.11%,3.96%,3.98%,9.68%,-,6.97%,19.29%,20.36%,9.50%,-,-,-,-,-,-,-,-,1/112,1/111,1/110,1/104,1/109,1/101,0/0,0/0,0/0,0/0,19.15,0.84,0.27,-1.79,0.06,606.00%,101.10%,23,-,-,-,-1.10%,-,291.0944,2.26%,10-May-21,291.0944,10-May-21,176.327,19-May-20,94.18%,-,-,-,-
Quant Consumption Fund - Direct Plan - GrowthSectoral/Thematic,-,7.28,7.63%,9.53%,21.58%,51.08%,27.77%,115.05%,38.36%,20.73%,22.62%,-,0.19%,-2.54%,0.96%,2.47%,-2.58%,4.75%,-,-,-,-,-,-,-2.09%,21.65%,18.71%,3.82%,23.89%,-31.29%,1.12%,-5.45%,4.98%,3.91%,5.69%,-6.87%,20.18%,3.06%,3.03%,-19.50%,45.27%,8.79%,-0.16%,80.84%,-7.42%,18.72%,-21.86%,9.77%,3/125,4/124,2/123,2/117,2/122,2/114,7/105,13/90,8/87,54/69,26.34,0.85,0.36,0.88,0.11,645.00%,100.40%,32,-,-,-,-0.40%,-,245.2056,2.45%,10-May-21,245.2056,10-May-21,147.237,19-May-20,72.78%,84.62%,87.19%,95.92%,145.95%
Quant Consumption Fund - GrowthSectoral/Thematic,-,7.28,7.61%,9.51%,21.44%,50.93%,27.70%,113.89%,36.86%,19.62%,21.50%,12.55%,0.29%,-2.43%,1.14%,2.67%,-2.48%,1.10%,-,-,-,-,-,-,-1.96%,22.03%,19.07%,4.12%,24.26%,-31.08%,1.41%,-5.18%,5.29%,4.23%,6.04%,-6.55%,20.72%,4.31%,4.28%,-18.33%,47.87%,10.64%,1.39%,82.45%,-7.56%,-,-,-,4/112,4/111,2/110,2/104,2/109,2/101,7/92,13/77,9/74,0/0,18.71,0.69,1.04,4.4,0.28,645.00%,100.40%,32,-,-,-,-0.40%,-,223.9205,2.44%,10-May-21,223.9205,10-May-21,135.9511,19-May-20,72.59%,85.88%,89.57%,99.96%,-
Quant Infrastructure Fund - GrowthSectoral/Thematic,-,10.25,7.40%,11.22%,30.19%,67.53%,40.70%,153.20%,38.11%,20.54%,20.23%,8.59%,2.27%,0.21%,2.31%,1.01%,-1.21%,5.56%,5.77%,0.39%,4.10%,1.90%,7.72%,3.07%,1.99%,11.14%,20.69%,32.57%,27.02%,-19.38%,1.88%,2.26%,-2.87%,6.79%,-8.05%,7.56%,14.88%,58.62%,9.64%,16.06%,22.35%,-3.42%,10.72%,21.24%,49.42%,3.67%,-21.80%,16.58%,84/112,109/111,39/110,33/104,47/109,3/101,5/92,1/77,3/74,0/0,20.4,0.92,0.4,0.28,0.09,220.00%,99.99%,29,-,-,-,0.01%,-,171.5666,1.86%,10-May-21,171.5666,10-May-21,104.6951,19-May-20,60.89%,68.22%,66.27%,73.50%,-
SBI PSU Fund - Direct Plan - GrowthSectoral/Thematic,-,288.91,7.13%,10.81%,14.78%,38.22%,25.55%,56.31%,9.05%,2.41%,7.87%,-,3.85%,1.67%,1.47%,9.12%,-1.98%,5.68%,9.84%,-0.13%,-1.38%,2.96%,2.82%,4.73%,1.70%,24.00%,24.87%,1.29%,28.67%,-34.52%,-0.64%,-9.73%,1.95%,4.02%,1.31%,-9.17%,28.28%,5.49%,-6.41%,-26.02%,58.67%,9.19%,-0.99%,42.83%,-11.31%,10.04%,-19.72%,-,11/125,3/124,4/123,3/117,3/122,4/114,19/105,24/90,4/87,25/69,17.34,-,0.61,-,0.22,220.00%,99.99%,29,-,-,-,0.01%,-,318.8524,0.93%,10-May-21,334.061,03-Mar-21,156.6,22-May-20,59.82%,66.34%,63.70%,69.33%,162.43%
SBI PSU Fund - Regular Plan - GrowthSectoral/Thematic,1,288.91,7.11%,10.71%,14.50%,37.60%,25.11%,55.12%,8.32%,1.63%,7.12%,1.83%,1.56%,-2.39%,-4.79%,3.38%,-3.81%,5.38%,21.25%,6.03%,-8.00%,6.17%,-0.18%,6.75%,1.82%,24.32%,25.17%,1.57%,29.11%,-34.42%,-0.39%,-9.30%,2.22%,4.35%,1.54%,-8.90%,28.81%,6.58%,-4.66%,-25.03%,61.51%,10.95%,0.28%,44.71%,-11.14%,-,-,-,9/112,3/111,4/110,3/104,3/109,4/101,18/92,18/77,4/74,0/0,22.97,9.94,0.28,-16.84,0.01,-,99.99%,48,-,-,-,0.01%,-,158.9503,1.86%,10-May-21,158.9503,10-May-21,97.9184,19-May-20,53.79%,69.16%,74.66%,84.14%,-
Quant Infrastructure Fund - Direct Plan - GrowthSectoral/Thematic,-,10.25,7.09%,10.97%,29.93%,67.17%,40.35%,153.74%,39.55%,21.60%,20.99%,-,3.89%,1.70%,1.49%,9.14%,-1.95%,5.70%,9.89%,-0.12%,-1.35%,3.02%,2.81%,4.73%,3.00%,1.04%,24.63%,5.32%,14.95%,-,-,-,-,-,-,-,4.84%,34.00%,-,-,-,-,-,-,-,-,-,-,2/112,6/111,6/110,7/104,7/109,5/101,13/92,14/77,6/74,0/0,17.13,0.85,0.2,0.39,0.04,-,99.99%,48,-,-,-,0.01%,-,301.7637,0.93%,10-May-21,316.6012,03-Mar-21,149.2596,22-May-20,53.27%,68.09%,73.03%,80.82%,142.61%
Aditya Birla Sun Life PSU Equity Fund - Regular Plan - GrowthSectoral/Thematic,-,614.03,6.69%,8.12%,11.71%,40.12%,23.55%,63.34%,-,-,-,-,2.29%,0.30%,2.36%,1.01%,-1.17%,5.62%,5.84%,0.44%,4.15%,1.99%,7.82%,3.26%,3.23%,1.47%,25.11%,5.78%,15.49%,-,-,-,-,-,-,-,5.50%,35.90%,-,-,-,-,-,-,-,-,-,-,2/125,6/124,7/123,7/117,8/122,5/114,11/105,15/90,5/87,32/69,22.41,0.86,0.99,3.61,0.26,-,99.89%,38,-,-,-,0.11%,-,132.0112,1.53%,10-May-21,134.0513,04-Mar-21,72.1135,18-May-20,52.61%,75.57%,79.59%,92.08%,-
Aditya Birla Sun Life PSU Equity Fund - Direct Plan - GrowthSectoral/Thematic,-,614.03,6.68%,8.26%,12.26%,41.64%,24.50%,66.42%,-,-,-,-,1.57%,-2.38%,-4.74%,3.46%,-3.78%,5.48%,21.35%,6.11%,-7.92%,6.25%,-0.13%,6.80%,1.34%,2.68%,-,-,-,-,-,-,-,-,-,-,5.37%,0.20%,-,-,-,-,-,-,-,-,-,-,80/112,107/111,30/110,34/104,35/109,6/101,6/92,3/77,1/74,0/0,22.51,0.96,0.17,-3.57,0.04,-,99.89%,38,-,-,-,0.11%,-,125.5857,1.53%,10-May-21,127.6583,04-Mar-21,68.9775,18-May-20,52.31%,73.96%,76.98%,87.35%,178.97%
