Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Small Cap - GrowthSmall Cap Fund,-,170.27,7.58%,15.42%,36.23%,71.98%,48.56%,205.24%,51.09%,27.34%,18.09%,13.38%,2.71%,3.29%,-0.18%,5.26%,-0.67%,7.42%,10.78%,-1.19%,4.61%,12.06%,6.10%,5.38%,5.43%,8.06%,19.07%,15.18%,28.73%,-,-,-,-,-,-,-,15.76%,13.29%,-,-,-,-,-,-,-,-,-,-,1/36,1/36,1/36,1/35,1/36,1/35,1/32,1/22,5/13,0/0,19.03,0.75,0.09,1.62,0.02,265.00%,99.85%,40.0,-,-,-,0.15%,-,104.5804,2.18%,10-May-21,104.5804,10-May-21,32.866,18-May-20,86.44%,124.40%,119.33%,118.74%,-
Sundaram Select Micro Cap - Series XVII - Direct Plan - GrowthSmall Cap Fund,-,78.55,3.14%,5.20%,16.60%,52.69%,25.08%,121.17%,19.87%,2.69%,-,-,2.77%,3.46%,-,5.43%,-0.46%,7.52%,10.96%,-1.02%,4.82%,12.24%,6.26%,5.57%,5.68%,8.62%,19.73%,15.82%,29.43%,-,-,-,-,-,-,-,16.65%,15.49%,-,-,-,-,-,-,-,-,-,-,28/36,29/36,17/36,5/35,2/36,2/35,3/32,3/22,3/13,0/0,19.3,0.73,0.34,0.43,0.09,265.00%,99.85%,40.0,-,-,-,0.15%,-,139.424,0.87%,10-May-21,139.424,10-May-21,58.815,18-May-20,84.75%,121.84%,116.46%,115.24%,152.68%
Sundaram Select Micro Cap - Series XVII - Regular Plan - GrowthSmall Cap Fund,-,78.55,3.13%,5.15%,16.45%,52.28%,24.84%,119.98%,19.23%,1.84%,-,-,2.66%,3.64%,2.94%,5.17%,-1.21%,4.52%,10.80%,1.05%,3.65%,8.82%,5.23%,4.50%,2.74%,13.02%,23.18%,20.23%,18.34%,-32.66%,1.94%,-6.62%,-4.19%,4.56%,1.03%,-8.01%,16.84%,17.32%,-5.55%,-17.22%,43.46%,9.60%,9.39%,88.83%,12.33%,51.70%,-25.91%,18.59%,33/41,34/41,22/41,7/40,2/41,3/40,3/37,3/27,3/17,3/14,18.18,0.72,0.63,10.62,0.16,-,99.55%,82.0,-,-,-,0.45%,-,89.91,1.31%,10-May-21,89.91,10-May-21,42.497,19-May-20,54.66%,70.73%,74.69%,82.65%,-
Sundaram Select Micro Cap - Series XVI - Direct Plan - GrowthSmall Cap Fund,-,93.86,3.06%,4.70%,15.77%,51.98%,24.28%,118.98%,20.23%,2.44%,-,-,2.71%,3.78%,3.08%,5.29%,-1.11%,4.69%,10.95%,1.19%,3.80%,8.96%,5.40%,4.66%,2.83%,13.25%,23.43%,20.48%,18.61%,-32.51%,2.18%,-6.40%,-3.94%,4.87%,1.31%,-7.75%,17.19%,18.33%,-4.58%,-16.25%,45.30%,10.91%,11.12%,90.70%,12.87%,-,-,-,2/36,6/36,6/36,2/35,9/36,3/35,19/32,19/22,0/0,0/0,18.79,0.75,0.15,1.97,0.04,-,99.55%,82.0,-,-,-,0.45%,-,84.917,1.3%,10-May-21,84.917,10-May-21,40.489,19-May-20,53.28%,68.02%,70.78%,76.02%,188.20%
Sundaram Select Micro Cap - Series XVI - Regular Plan - GrowthSmall Cap Fund,-,93.86,3.05%,4.65%,15.60%,51.54%,24.02%,117.69%,19.53%,1.87%,-,-,2.19%,5.88%,1.94%,9.47%,-1.30%,5.49%,10.48%,-0.36%,5.82%,11.47%,9.00%,4.48%,3.94%,14.09%,22.46%,23.16%,20.00%,-31.09%,6.78%,-3.17%,1.46%,5.87%,3.85%,-8.83%,19.25%,24.15%,10.62%,-21.81%,43.34%,6.58%,1.04%,51.50%,8.22%,-,-,-,3/36,8/36,8/36,3/35,12/36,4/35,17/32,21/22,0/0,0/0,20.36,0.82,0.4,7.98,0.1,-,98.96%,90.0,-,-,-,1.04%,-,125.37,0.86%,10-May-21,125.37,10-May-21,53.644,18-May-20,52.28%,55.77%,47.15%,-,-
Sundaram Emerging Small Cap - Series 7 - Direct Plan - GrowthSmall Cap Fund,-,98.13,2.76%,4.01%,10.19%,40.71%,16.74%,80.41%,24.34%,-,-,-,2.24%,6.05%,2.07%,9.63%,-1.19%,5.68%,10.62%,-0.21%,5.94%,11.64%,9.11%,4.55%,3.79%,13.69%,22.01%,22.67%,19.52%,-31.33%,6.41%,-3.41%,1.15%,5.60%,3.57%,-8.93%,18.67%,22.26%,8.74%,-22.35%,42.74%,5.99%,0.50%,50.64%,8.80%,26.01%,-15.05%,17.36%,2/41,5/41,5/41,2/40,11/41,4/40,21/37,26/27,0/0,0/0,20.71,0.89,0.8,14.96,0.19,-,98.96%,90.0,-,-,-,1.04%,-,121.0862,0.73%,10-May-21,121.0862,10-May-21,55.8434,19-May-20,51.79%,54.87%,45.80%,-,-
Sundaram Emerging Small Cap - Series 7 - GrowthSmall Cap Fund,-,98.13,2.75%,3.98%,10.08%,40.42%,16.57%,79.67%,23.83%,-,-,-,3.20%,1.59%,-0.39%,12.09%,-1.61%,4.74%,12.77%,0.99%,3.97%,12.04%,5.22%,7.77%,7.67%,12.53%,18.94%,20.91%,26.52%,-23.59%,6.77%,-4.70%,-,-,-,-,22.74%,37.77%,1.90%,-,-,-,-,-,-,-,-,-,29/36,10/36,7/36,4/35,3/36,5/35,8/32,4/22,1/13,1/1,21.29,0.86,-0.0,-0.15,-0.0,56.00%,98.72%,74.0,-,-,-,1.28%,-,114.6069,0.73%,10-May-21,114.6069,10-May-21,53.3722,19-May-20,51.38%,55.13%,46.91%,-,-
Sundaram Select Micro Cap - Series XIV - Direct Plan - GrowthSmall Cap Fund,-,148.51,2.74%,4.24%,14.23%,49.60%,22.65%,113.75%,19.67%,2.45%,-,-,3.24%,1.68%,-0.32%,12.15%,-1.55%,4.84%,12.87%,1.08%,4.07%,12.16%,5.34%,7.89%,7.83%,13.05%,19.36%,21.49%,26.97%,-23.23%,7.24%,-4.39%,-,-,-,-,23.52%,40.21%,3.60%,-,-,-,-,-,-,-,-,-,4/41,9/41,12/41,5/40,10/41,5/40,16/37,15/27,12/17,12/14,17.74,0.68,0.94,15.94,0.25,56.00%,98.72%,74.0,-,-,-,1.28%,-,62.426,1.19%,10-May-21,62.426,10-May-21,28.925,18-May-20,50.87%,63.15%,62.21%,74.00%,186.08%
Sundaram Select Micro Cap - Series XIV - Regular Plan - GrowthSmall Cap Fund,-,148.51,2.73%,4.19%,14.06%,49.15%,22.38%,112.43%,18.93%,1.85%,-,-,4.35%,4.34%,1.04%,9.28%,-1.24%,5.95%,10.88%,-1.46%,5.06%,9.65%,8.77%,5.77%,3.74%,20.80%,22.48%,23.88%,23.20%,-28.25%,5.43%,-2.26%,-1.21%,3.57%,2.38%,-7.57%,26.54%,33.73%,4.44%,-16.98%,44.02%,7.98%,7.19%,73.50%,-5.69%,50.23%,-26.90%,28.00%,3/41,8/41,9/41,3/40,14/41,6/40,20/37,24/27,0/0,0/0,20.83,0.89,-0.01,-4.41,-0.0,-,98.34%,41.0,-,-,-,1.66%,-,57.101,1.18%,10-May-21,57.101,10-May-21,26.711,18-May-20,50.85%,54.15%,45.62%,-,-
Canara Robeco Small Cap Fund - Regular Plan - GrowthSmall Cap Fund,-,950.39,2.65%,7.03%,17.59%,44.98%,26.02%,109.64%,31.38%,-,-,-,4.36%,4.49%,1.20%,9.39%,-1.06%,6.07%,11.07%,-1.33%,5.28%,9.80%,8.98%,5.86%,3.90%,21.24%,22.92%,24.33%,23.62%,-28.00%,5.78%,-1.92%,-0.86%,3.91%,2.65%,-7.32%,27.20%,35.64%,5.89%,-15.97%,46.20%,9.67%,8.76%,74.87%,-5.24%,-,-,-,5/36,11/36,11/36,6/35,16/36,6/35,20/32,20/22,0/0,0/0,18.71,0.82,0.2,1.48,0.05,-,98.34%,41.0,-,-,-,1.66%,-,69.1552,0.83%,10-May-21,69.1552,10-May-21,30.9759,19-May-20,50.08%,61.61%,59.98%,69.48%,237.36%
