Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Hybrid Equity Fund - Direct Plan - GrowthAggressive Hybrid Fund,3,17216.7,0.64%,4.32%,0.21%,18.82%,3.27%,56.63%,15.61%,10.80%,13.07%,-,2.31%,1.04%,-1.70%,2.83%,-0.31%,4.83%,8.39%,0.64%,-2.47%,1.44%,5.03%,2.42%,3.38%,4.87%,15.60%,4.60%,14.23%,-15.99%,5.32%,2.28%,2.94%,4.56%,2.38%,-0.23%,9.51%,14.47%,16.48%,0.73%,11.18%,-,-,-,-,-,-,-,36/37,1/37,1/36,1/35,1/37,1/35,1/33,1/28,1/23,2/20,14.85,1.05,0.47,-2.02,0.07,-,122.90%,86,16.46%,6,30.02%,21.98%,-,1009.06,1.33%,17-May-21,1012.87,10-May-21,642.84,22-May-20,43.93%,61.84%,69.81%,84.18%,-
HDFC Hybrid Equity Fund - Growth (Adjusted NAV)Aggressive Hybrid Fund,-,17216.7,0.63%,4.26%,0.06%,18.46%,3.19%,55.65%,14.90%,10.37%,12.88%,13.60%,2.39%,1.19%,-1.55%,2.96%,-0.18%,4.97%,8.50%,0.78%,-2.35%,1.58%,5.21%,2.55%,3.61%,5.32%,16.05%,5.06%,14.70%,-15.69%,5.73%,2.67%,3.29%,4.91%,2.74%,0.16%,10.23%,16.32%,18.19%,2.31%,12.50%,-,-,-,-,-,-,-,36/37,1/37,1/36,1/35,1/37,1/35,1/33,1/28,1/23,0/0,16.27,1.1,0.48,-1.54,0.07,-,122.90%,86,16.46%,6,30.02%,21.98%,-,931.01,1.32%,17-May-21,934.68,10-May-21,597.62,22-May-20,43.75%,60.56%,67.49%,80.41%,159.15%
HSBC Equity Hybrid Fund - Direct - GrowthAggressive Hybrid Fund,-,487.28,0.56%,2.46%,-1.27%,12.59%,1.86%,45.03%,16.72%,-,-,-,1.15%,-0.08%,0.19%,2.82%,-1.74%,4.80%,10.14%,1.61%,0.22%,3.07%,4.54%,4.52%,1.07%,5.70%,18.14%,8.70%,17.76%,-25.63%,4.38%,-2.35%,-0.38%,3.43%,1.19%,-2.26%,7.95%,10.93%,4.55%,-4.64%,25.91%,8.36%,2.97%,48.54%,5.24%,24.60%,-13.86%,19.66%,24/37,5/37,5/36,8/35,7/37,2/35,13/33,10/28,16/23,12/20,15.28,1.1,0.28,-5.06,0.04,132.00%,82.63%,52,7.27%,6,-,10.10%,-,282.3201,1.21%,17-May-21,288.1958,03-Mar-21,187.2278,20-May-20,32.70%,45.77%,45.17%,-,-
DSP Equity & Bond Fund - Direct Plan - GrowthAggressive Hybrid Fund,4,6444.84,0.56%,2.98%,1.26%,16.95%,2.65%,49.31%,19.48%,13.27%,14.79%,-,1.60%,0.77%,-0.56%,2.04%,-0.90%,4.56%,8.31%,0.52%,1.05%,4.05%,5.95%,3.54%,2.38%,5.60%,14.64%,12.28%,15.99%,-22.97%,3.82%,-2.57%,0.09%,3.40%,0.54%,-1.84%,9.12%,13.49%,4.74%,-3.64%,16.15%,-,-,-,-,-,-,-,24/37,5/37,6/36,8/35,7/37,2/35,14/33,11/28,17/23,0/0,20.66,1.12,0.38,-1.65,0.07,132.00%,82.63%,52,7.27%,6,-,10.10%,-,223.53,1.47%,17-May-21,223.53,17-May-21,147.98,26-May-20,32.03%,44.39%,43.18%,-,-
DSP Equity & Bond Fund - Regular Plan - GrowthAggressive Hybrid Fund,4,6444.84,0.54%,2.89%,1.01%,16.36%,2.51%,47.82%,18.30%,12.14%,13.60%,12.29%,1.69%,0.85%,-0.46%,2.19%,-0.77%,4.65%,8.38%,0.65%,1.07%,4.17%,6.08%,3.64%,2.56%,5.89%,15.00%,12.62%,16.33%,-22.67%,4.15%,-2.30%,0.33%,3.70%,0.96%,-1.49%,9.61%,15.03%,6.12%,-2.13%,18.54%,-,-,-,-,-,-,-,13/37,3/37,2/36,3/35,2/37,3/35,2/33,23/28,0/0,0/0,15.54,-,0.3,-,0.07,-,78.95%,59,14.16%,48,0.51%,4.66%,1.72%,261.611,1.2%,17-May-21,267.5926,03-Mar-21,175.2769,20-May-20,30.20%,35.02%,37.82%,48.73%,-
HSBC Equity Hybrid Fund - GrowthAggressive Hybrid Fund,-,487.28,0.53%,2.34%,-1.63%,11.76%,1.67%,42.91%,15.03%,-,-,-,1.07%,-0.30%,-0.61%,0.78%,-3.25%,4.62%,9.46%,2.38%,-1.46%,2.26%,4.62%,3.91%,0.76%,0.62%,18.01%,6.39%,15.17%,-20.05%,4.18%,3.15%,2.96%,2.34%,2.61%,-,2.16%,15.06%,14.52%,-1.70%,-,-,-,-,-,-,-,-,12/37,3/37,2/36,3/35,2/37,3/35,2/33,22/28,0/0,0/0,18.11,1.22,-0.04,-11.15,-0.01,-,78.95%,59,14.16%,48,0.51%,4.66%,1.72%,207.584,1.46%,17-May-21,207.584,17-May-21,138.78,26-May-20,29.84%,34.29%,36.61%,45.70%,118.61%
BNP Paribas Substantial Equity Hybrid Fund - Direct Plan - GrowthAggressive Hybrid Fund,4,559.34,0.46%,4.73%,1.19%,18.32%,4.66%,47.55%,21.38%,16.19%,-,-,1.10%,-0.15%,-0.44%,0.82%,-3.13%,4.70%,9.58%,2.48%,-1.41%,2.37%,4.78%,3.90%,0.95%,0.97%,18.41%,6.78%,15.57%,-19.79%,4.46%,3.57%,3.42%,2.72%,3.02%,-,2.68%,16.65%,16.23%,-1.00%,-,-,-,-,-,-,-,-,15/37,30/37,9/36,7/35,28/37,4/35,4/33,6/28,7/23,0/0,15.02,1.09,0.4,-3.34,0.05,59.00%,78.29%,34,17.81%,15,-,3.90%,-,230.9,1.28%,17-May-21,232.61,15-Feb-21,159.32,26-May-20,28.15%,40.87%,39.28%,44.18%,-
BNP Paribas Substantial Equity Hybrid Fund - GrowthAggressive Hybrid Fund,4,559.34,0.42%,4.57%,0.75%,17.34%,4.43%,45.07%,19.43%,14.39%,-,-,1.94%,3.68%,3.23%,4.71%,-1.64%,4.17%,8.82%,-0.43%,5.01%,7.93%,5.76%,1.70%,5.69%,8.90%,13.39%,20.87%,12.35%,-15.38%,3.98%,-2.43%,-8.53%,2.61%,0.64%,-7.06%,15.96%,30.67%,-5.07%,-14.40%,47.09%,-0.20%,-,-,-,-,-,-,15/37,30/37,9/36,7/35,27/37,4/35,4/33,5/28,7/23,0/0,15.33,1.1,0.26,-5.45,0.04,59.00%,78.29%,34,17.81%,15,-,3.90%,-,214.35,1.27%,17-May-21,216.57,15-Feb-21,149.57,26-May-20,27.56%,39.65%,37.32%,41.09%,81.90%
Franklin India Equity Hybrid Fund - Direct - GrowthAggressive Hybrid Fund,3,1349.74,0.40%,3.73%,0.61%,17.66%,2.93%,55.00%,16.42%,11.83%,12.49%,-,2.02%,3.75%,3.33%,4.78%,-1.58%,4.20%,8.84%,-0.28%,5.12%,7.97%,5.91%,1.82%,5.85%,9.17%,13.68%,21.18%,12.63%,-15.16%,4.21%,-1.79%,-8.26%,2.87%,0.86%,-6.88%,16.39%,31.77%,-4.19%,-13.68%,48.40%,0.20%,-,-,-,-,-,-,10/37,2/37,3/36,2/35,3/37,5/35,7/33,4/28,2/23,1/20,15.08,1.07,0.67,0.99,0.09,-,78.08%,28,17.52%,6,-,4.40%,-,225.0446,1.1%,17-May-21,225.1756,10-May-21,141.8387,20-May-20,25.60%,34.04%,39.44%,49.38%,-
Franklin India Equity Hybrid Fund - GrowthAggressive Hybrid Fund,3,1349.74,0.38%,3.64%,0.36%,17.08%,2.80%,53.46%,15.25%,10.65%,11.11%,12.52%,1.19%,-0.04%,0.24%,2.88%,-1.68%,4.87%,10.21%,1.67%,0.29%,3.14%,4.61%,4.59%,1.15%,5.88%,18.39%,8.92%,18.00%,-25.50%,4.61%,-1.56%,-0.19%,3.63%,1.42%,-1.98%,8.21%,12.18%,5.49%,-3.54%,27.55%,9.73%,4.00%,49.99%,5.23%,-,-,-,10/37,2/37,3/36,2/35,3/37,5/35,7/33,6/28,3/23,0/0,15.49,1.11,0.29,-5.01,0.04,-,78.08%,28,17.52%,6,-,4.40%,-,214.7901,1.09%,17-May-21,214.9422,10-May-21,136.4087,20-May-20,24.65%,32.17%,36.61%,44.24%,-
