Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Sundaram Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,-,56.76,0.16%,0.25%,1.28%,2.14%,0.76%,3.89%,-,-,-,-,0.08%,0.45%,0.44%,0.41%,0.21%,0.35%,0.12%,0.45%,0.44%,0.27%,0.12%,0.23%,0.53%,0.92%,0.95%,0.76%,1.04%,1.91%,1.35%,1.45%,1.82%,1.42%,1.41%,1.77%,1.39%,4.38%,6.24%,5.98%,6.43%,0.20%,-,-,-,-,-,-,14/27,2/27,5/27,3/27,7/27,1/25,1/23,0/0,0/0,0/0,1.14,-0.01,1.5,1.75,-1.41,-,136.92%,88,-,-,56.66%,143.92%,-,27.1252,0.05%,17-May-21,27.1252,17-May-21,26.5217,09-Jul-20,2.47%,5.50%,-,-,-
Sundaram Arbitrage Fund - GrowthArbitrage Fund,-,56.76,0.14%,0.18%,1.10%,1.77%,0.66%,3.16%,-,-,-,-,0.11%,0.50%,0.49%,0.45%,0.26%,0.41%,0.17%,0.50%,0.50%,0.33%,0.16%,0.28%,0.61%,1.07%,1.12%,0.91%,1.18%,2.07%,1.49%,1.58%,1.95%,1.55%,1.55%,1.93%,1.63%,5.02%,6.80%,6.65%,7.03%,0.21%,-,-,-,-,-,-,13/28,1/28,2/28,1/28,3/28,1/26,1/24,0/0,0/0,0/0,2.46,0.64,-0.8,-2.67,-0.03,-,136.92%,88,-,-,56.66%,143.92%,-,26.1094,0.05%,17-May-21,26.1094,17-May-21,25.6158,09-Jul-20,2.43%,-,-,-,-
DSP Arbitrage fund - Direct Plan - GrowthArbitrage Fund,2,1378.51,0.12%,0.32%,1.06%,1.89%,0.60%,3.74%,5.09%,5.76%,-,-,0.07%,0.42%,0.44%,0.34%,0.18%,0.31%,0.10%,0.45%,0.41%,0.27%,0.12%,0.28%,0.49%,0.85%,0.88%,0.70%,1.07%,1.28%,1.17%,1.51%,1.79%,1.54%,1.63%,1.54%,1.30%,3.64%,6.19%,6.22%,5.54%,6.36%,7.33%,8.56%,9.26%,9.32%,7.87%,5.56%,9/27,14/27,7/27,6/27,14/27,2/25,2/23,2/18,4/16,0/0,1.12,1.01,1.61,-0.56,0.02,-,73.85%,128,18.49%,8,-,7.65%,-,26.1613,0.02%,17-May-21,26.1632,12-May-21,25.1886,20-May-20,2.34%,5.15%,8.54%,15.97%,-
DSP Arbitrage fund - GrowthArbitrage Fund,2,1378.51,0.11%,0.26%,0.92%,1.61%,0.53%,3.15%,4.48%,5.12%,-,-,0.11%,0.47%,0.48%,0.38%,0.23%,0.38%,0.15%,0.51%,0.47%,0.33%,0.18%,0.34%,0.57%,1.00%,1.07%,0.89%,1.27%,1.47%,1.35%,1.68%,1.95%,1.69%,1.82%,1.73%,1.53%,4.44%,6.89%,7.01%,6.15%,6.99%,7.89%,9.14%,9.09%,-,-,-,12/28,15/28,5/28,6/28,15/28,2/26,3/24,4/19,4/17,0/0,1.17,0.72,0.5,-1.1,0.01,-,73.85%,128,18.49%,8,-,7.65%,-,24.862,0.02%,17-May-21,24.8662,12-May-21,24.1057,20-May-20,2.32%,4.94%,8.28%,15.66%,-
UTI Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,3,4103.39,0.11%,0.29%,1.18%,2.09%,0.64%,4.08%,5.24%,5.84%,6.13%,-,0.04%,0.42%,0.47%,0.32%,0.16%,0.32%,0.06%,0.40%,0.41%,0.23%,0.12%,0.34%,0.47%,0.86%,0.83%,0.66%,1.09%,1.66%,1.33%,1.44%,1.51%,1.47%,1.73%,1.35%,1.30%,3.92%,5.88%,6.07%,5.23%,6.97%,7.20%,2.89%,-,-,-,-,3/28,10/28,4/28,8/28,2/28,3/26,8/24,6/19,8/17,0/0,1.12,1.24,1.42,-1.32,0.01,-,70.04%,116,8.54%,8,-,21.42%,-,11.814,0.02%,17-May-21,11.815,12-May-21,11.463,20-May-20,2.31%,4.89%,8.26%,15.59%,-
HDFC Arbitrage Fund - Wholesale - Direct Plan - GrowthArbitrage Fund,-,6088.67,0.10%,0.30%,1.12%,2.05%,0.61%,3.75%,4.85%,5.45%,5.81%,-,0.08%,0.48%,0.53%,0.37%,0.22%,0.38%,0.12%,0.46%,0.47%,0.30%,0.18%,0.40%,0.56%,1.05%,1.02%,0.85%,1.27%,1.84%,1.51%,1.62%,1.68%,1.64%,1.91%,1.56%,1.59%,4.69%,6.63%,6.93%,6.09%,7.86%,8.13%,3.22%,-,-,-,-,3/27,10/27,3/27,5/27,2/27,3/25,5/23,5/18,5/16,5/10,1.2,1.17,1.14,-1.35,0.01,-,70.04%,116,8.54%,8,-,21.42%,-,12.051,0.02%,17-May-21,12.051,12-May-21,11.626,20-May-20,2.29%,5.04%,8.47%,-,-
HDFC Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,2,6088.67,0.10%,0.30%,1.12%,2.04%,0.61%,3.74%,4.85%,5.44%,5.81%,-,0.07%,0.36%,0.27%,0.23%,0.09%,0.21%,-0.04%,0.36%,0.38%,0.32%,0.20%,0.25%,0.43%,0.48%,0.51%,0.80%,0.86%,1.09%,0.98%,1.28%,1.64%,1.37%,1.31%,1.43%,0.85%,2.97%,5.30%,2.94%,-,-,-,-,-,-,-,-,10/27,12/27,9/27,2/27,9/27,4/25,6/23,6/18,2/16,2/10,1.17,1.43,1.55,-1.53,0.01,-,70.00%,14,0.11%,1,-,29.89%,-,11.1773,0.01%,17-May-21,11.1788,12-May-21,10.8408,20-May-20,2.28%,4.91%,8.28%,15.59%,-
Aditya Birla Sun Life Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,3,6031.76,0.10%,0.32%,1.20%,2.20%,0.61%,3.95%,5.25%,5.85%,6.16%,-,0.09%,0.42%,0.34%,0.28%,0.15%,0.28%,0.02%,0.42%,0.44%,0.39%,0.26%,0.31%,0.51%,0.68%,0.71%,1.00%,1.05%,1.28%,1.17%,1.46%,1.82%,1.54%,1.43%,1.57%,1.14%,3.76%,6.03%,3.22%,-,-,-,-,-,-,-,-,11/28,14/28,6/28,4/28,12/28,4/26,9/24,7/19,5/17,0/0,1.1,1.18,1.39,-1.22,0.01,-,70.00%,14,0.11%,1,-,29.89%,-,14.8404,0.01%,17-May-21,14.8404,17-May-21,14.4778,20-May-20,2.26%,4.95%,8.42%,16.13%,-
Invesco India Arbitrage Fund - Direct Plan - GrowthArbitrage Fund,3,686.04,0.10%,0.31%,1.06%,2.01%,0.59%,3.97%,5.26%,5.71%,6.07%,-,0.10%,0.50%,0.51%,0.37%,0.20%,0.36%,0.03%,0.39%,0.43%,0.33%,0.09%,0.27%,0.60%,0.98%,0.84%,0.73%,1.17%,1.47%,1.33%,1.45%,1.84%,1.38%,1.58%,1.48%,1.51%,3.94%,6.14%,6.02%,5.61%,6.58%,7.54%,8.38%,9.44%,7.06%,7.12%,5.41%,21/27,11/27,11/27,11/27,11/27,5/25,8/23,4/18,1/16,1/10,1.13,1.1,1.51,-0.87,0.02,1674.17%,68.56%,128,11.81%,16,13.76%,5.87%,-,10.8803,0.01%,17-May-21,10.9139,29-May-20,10.7682,10-Aug-20,2.25%,5.06%,8.57%,16.17%,-
JM Arbitrage Fund - (Direct) - GrowthArbitrage Fund,1,53.82,0.10%,0.23%,0.74%,1.29%,0.46%,2.27%,3.64%,4.46%,5.16%,-,0.13%,0.55%,0.56%,0.41%,0.25%,0.41%,0.08%,0.44%,0.48%,0.38%,0.14%,0.32%,0.68%,1.13%,1.00%,0.88%,1.32%,1.62%,1.48%,1.66%,1.99%,1.53%,1.73%,1.63%,1.75%,4.56%,6.80%,6.65%,6.29%,7.24%,8.13%,8.67%,9.86%,-,-,-,22/28,8/28,10/28,9/28,11/28,5/26,5/24,2/19,2/17,0/0,1.24,-,1.09,-,0.01,1674.17%,68.56%,128,11.81%,16,13.76%,5.87%,-,11.9576,0.01%,17-May-21,11.9583,12-May-21,11.6921,17-Jul-20,2.21%,4.53%,7.67%,14.47%,-
