Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
Tata Arbitrage Fund - Direct Plan,5,5067.49,0.09,0.33,1.2,2.24,0.63,4.46,5.83,0,0,0,0.13,0.52,0.42,0.36,0.2,0.41,0.08,0.41,0.53,0.36,0.18,0.35,0.65,0.87,0.98,0.94,1.24,1.56,1.41,1.7,2.07,1.65,1.66,1.62,1.47,4.48,6.99,6.08,0,0,0,0,0,0,0,0,17/27,7/27,6/27,10/27,8/27,8/25,11/23,8/18,6/16,3/10,1.13,1.34,1.59,-1.35,0.01,453.21,68.1,139,0,-,24.92,6.98,0,24.11,0,17-May-21,24.11,12-May-21,23.37,20-May-20,2.16,4.79,8.15,15.64,0,Direct,Arbitrage Fund
Tata Arbitrage Fund,5,5067.49,0.08,0.27,1.01,1.86,0.53,3.68,5.01,0,0,0,0.15,0.48,0.43,0.43,0.22,0.4,0.08,0.44,0.48,0.34,0.2,0.47,0.63,0.98,1,0.92,1.38,1.78,1.52,1.64,1.8,1.48,1.55,1.73,1.57,4.84,6.58,6.51,6.17,7.11,8.08,8.96,8.52,0,0,0,15/28,3/28,13/28,19/28,4/28,18/26,13/24,0/0,0/0,0/0,0,0,0,0,0,0,66.9,103,5.31,7,0,94.99,0,15.84,-0.03,17-May-21,15.84,14-May-21,15.25,20-May-20,1.79,3.85,6.81,13.3,36.18,Regular,Arbitrage Fund
L&T Arbitrage Opportunities Fund - Direct Plan,5,3923.66,0.1,0.28,1.16,2.14,0.56,4.23,5.45,5.92,6.25,0,0.11,0.47,0.38,0.33,0.15,0.36,0.03,0.36,0.49,0.31,0.13,0.3,0.58,0.73,0.83,0.8,1.09,1.41,1.26,1.55,1.93,1.51,1.49,1.45,1.26,3.83,6.41,5.44,0,0,0,0,0,0,0,0,9/28,9/28,11/28,3/28,16/28,8/26,4/24,3/19,0/0,0/0,1.1,0.49,0.66,0.2,0.01,0,68.39,104,15.23,15,0,16.38,0,14.28,0,17-May-21,14.28,22-Apr-21,14.02,23-Jun-20,2.17,4.64,8.02,15.42,0,Direct,Arbitrage Fund
L&T Arbitrage Opportunities Fund,5,3923.66,0.09,0.22,0.99,1.79,0.47,3.61,4.87,5.32,5.64,0,0.07,0.31,0.38,0.3,0.05,0.17,-0.11,0.3,0.35,0.19,0.06,0.21,0.38,0.63,0.42,0.51,0.74,1.44,1.22,1.5,1.81,1.26,1.32,1.21,0.94,2.79,5.92,5.66,5.79,7.11,7.96,0.33,0,0,0,0,5/27,5/27,8/27,8/27,4/27,12/25,15/23,13/18,13/16,9/10,0,0,0,0,0,1289,67.45,128,27.3,53,0,5.25,0,14.71,-0.01,17-May-21,14.72,12-May-21,14.3,03-Jun-20,1.96,4.22,7.24,13.74,36.35,Regular,Arbitrage Fund
Nippon India Arbitrage Fund - Direct Plan,4,11037.88,0.08,0.3,1.1,2.08,0.58,4.04,5.3,6.02,6.36,0,0.14,0.4,0.38,0.25,0.04,0.29,0.01,0.37,0.36,0.27,0.03,0.18,0.54,0.66,0.7,0.56,0.77,1.48,1.22,1.39,1.51,0,0,0,1.12,3.41,5.27,0,0,0,0,0,0,0,0,0,2/28,4/28,17/28,18/28,8/28,16/26,12/24,11/19,0/0,0/0,0,0,0,0,0,1061,66.96,115,27.79,13,0,5.25,0,28.22,-0.01,17-May-21,28.23,12-May-21,27.2,20-May-20,1.82,3.91,6.71,12.93,0,Direct,Arbitrage Fund
Kotak Equity Arbitrage Fund - Direct Plan,4,18952.44,0.1,0.28,1.13,2.16,0.57,4.06,5.21,5.84,6.18,0,0.08,0.4,0.43,0.35,0.12,0.43,0.03,0.42,0.63,0.27,0.14,0.25,0.48,0.8,0.92,0.94,0.8,1.35,1.44,1.35,1.71,1.29,1.37,1.45,1.22,3.69,5.9,5.56,5.89,6.26,7.92,2.67,0,0,0,0,6/28,2/28,3/28,2/28,5/28,7/26,7/24,5/19,6/17,0/0,1.2,0.54,1.35,1.03,0.03,0,68.39,104,15.23,15,0,16.38,0,11.63,0.01,17-May-21,11.63,12-May-21,11.41,17-Jul-20,2.21,4.88,8.17,15.38,0,Direct,Arbitrage Fund
Kotak Equity Arbitrage Fund,4,18952.44,0.09,0.23,0.98,1.86,0.5,3.47,4.64,5.29,5.64,7.01,0.09,0.37,0.28,0.18,0.06,0.28,-0.07,0.3,0.37,0.17,0.16,0.28,0.46,0.46,0.57,0.62,0.98,0.93,1.17,0,0,0,0,0,0.88,2.89,1.5,0,0,0,0,0,0,0,0,0,11/27,13/27,13/27,9/27,16/27,13/25,4/23,3/18,3/16,0/0,0,0,0,0,0,0,67.12,17,0,-,27.89,4.99,0,20.92,-0.01,17-May-21,20.93,12-May-21,20.27,20-May-20,1.94,4.1,7.24,14.34,0,Regular,Arbitrage Fund
Edelweiss Arbitrage Fund - Direct Plan,4,5169.88,0.1,0.29,1.1,2.11,0.56,3.91,5.46,6.05,6.36,0,0.11,0.5,0.56,0.43,0.23,0.4,0.13,0.46,0.51,0.43,0.29,0.39,0.61,1.14,1.03,1.13,1.41,1.84,1.47,1.56,1.95,1.45,1.58,1.68,1.7,5.15,6.59,6.57,6.4,7.2,8.27,4.22,0,0,0,0,6/27,4/27,2/27,1/27,6/27,6/25,7/23,7/18,7/16,7/10,1.21,0.97,0.8,-1.3,0.01,0,68.42,130,12.53,17,10.87,8.18,0,15.52,0.01,17-May-21,15.53,12-May-21,14.97,20-May-20,2.2,4.77,8.09,15.42,0,Direct,Arbitrage Fund
Edelweiss Arbitrage Fund,4,5169.88,0.09,0.23,0.92,1.75,0.46,3.17,4.7,5.31,5.64,0,0.12,0.43,0.35,0.23,0.11,0.34,-0.02,0.35,0.43,0.24,0.22,0.34,0.55,0.64,0.76,0.81,1.17,1.11,1.36,0,0,0,0,0,1.16,3.66,1.74,0,0,0,0,0,0,0,0,0,1/27,21/27,1/27,7/27,1/27,14/25,0/0,0/0,0/0,0/0,0,0,0,0,0,0,67.12,17,0,-,27.89,4.99,0,10.55,-0.03,17-May-21,10.56,12-May-21,10.32,05-Jun-20,1.91,4.19,7.17,13.7,37.39,Regular,Arbitrage Fund
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,4,6031.76,0.09,0.26,1.04,1.89,0.53,3.31,4.62,5.22,5.51,6.71,0.13,0.51,0.47,0.35,0.22,0.39,0.09,0.48,0.5,0.34,0.15,0.32,0.64,0.97,1.04,0.86,1.05,1.46,1.47,1.56,1.83,1.48,1.59,1.47,1.59,4.12,6.48,6.2,5.89,7.25,7.89,5.79,0,0,0,0,12/27,1/27,4/27,15/27,3/27,11/25,10/23,0/0,0/0,0/0,0,0,0,0,0,0,67.87,116,21.06,47,0,11.07,0,15.52,-0.01,17-May-21,15.53,12-May-21,14.98,03-Jun-20,2,4.32,7.36,14.06,37.85,Regular,Arbitrage Fund
