Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
LIC MF Debt Hybrid Fund - Direct Plan,5,80.05,-0.03,0.24,0.19,3.08,0.23,11.94,9.11,8.2,7.86,0.0,0.43,0.91,0.36,0.92,-0.24,2.39,4.09,1.87,-0.52,0.86,1.81,2.83,1.24,1.35,5.33,4.19,4.75,-4.15,3.51,1.35,1.53,2.76,3.22,0.49,3.56,-8.61,2.84,4.14,9.32,9.13,6.19,23.21,3.11,16.77,-0.24,8.66,17/23,19/23,19/22,18/22,20/23,18/22,15/21,12/21,11/21,9/20,0.0,0.0,0.0,0.0,0.0,0,15.18,28,68.99,23,6.05,9.78,0.0,15.43,0.52,17-May-21,15.62,24-Feb-21,13.54,22-May-20,3.89,6.56,9.31,14.69,40.75,Direct,Conservative Hybrid Fund
LIC MF Debt Hybrid Fund,5,80.05,-0.05,0.17,-0.0,2.68,0.13,10.95,8.15,7.24,6.92,6.84,0.65,0.53,0.51,0.63,-0.13,1.13,3.6,1.24,-0.48,0.16,1.7,2.21,1.34,1.91,8.99,3.07,6.82,-6.11,1.86,1.73,0.61,3.72,2.78,-1.47,2.6,7.31,1.08,-1.11,12.11,9.76,8.49,21.74,-0.48,16.96,-3.48,5.23,20/23,23/23,18/22,21/22,22/23,20/22,12/21,10/21,17/21,0/0,0.0,0.0,0.0,0.0,0.0,0,10.32,3,18.34,1,13.68,57.66,0.0,21.26,0.33,17-May-21,21.27,10-May-21,18.58,20-May-20,0.99,6.12,14.28,31.68,80.28,Regular,Conservative Hybrid Fund
Canara Robeco Conservative Hybrid Fund - Regular Plan,5,524.38,-0.02,1.28,1.2,5.53,1.38,18.13,12.27,10.33,9.0,9.07,0.83,1.57,-3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.19,5.35,1.15,4.64,-2.2,2.25,1.82,1.73,3.03,1.03,1.2,0.33,9.53,9.42,1.07,6.62,10.04,4.04,11.3,8.38,10.16,-2.44,5.14,10/23,5/23,16/22,13/22,15/23,14/22,10/21,7/21,6/21,0/0,0.0,0.0,0.0,0.0,0.0,0,19.8,47,66.67,6,0.0,13.53,0.0,22.55,0.42,17-May-21,22.55,17-May-21,19.38,20-May-20,5.72,9.18,10.05,13.63,43.06,Regular,Conservative Hybrid Fund
Canara Robeco Conservative Hybrid Fund - Direct Plan,5,524.38,0.01,1.39,1.52,6.21,1.54,19.56,13.52,11.51,10.2,0.0,0.19,0.04,0.74,-0.4,-0.6,1.74,1.96,1.43,-0.24,-1.13,2.34,1.79,0.51,3.04,7.91,0.41,3.36,-4.03,3.11,-0.45,2.9,2.22,2.63,0.57,3.56,8.37,8.29,6.81,15.88,10.49,0.52,0.0,0.0,0.0,0.0,0.0,2/23,8/23,21/22,10/22,21/23,13/22,16/21,11/21,4/21,0/0,0.0,0.0,0.0,0.0,0.0,0,20.24,47,64.12,7,0.0,15.64,0.0,24.01,0.42,17-May-21,24.25,16-Feb-21,21.22,20-May-20,5.98,10.06,14.47,21.82,0.0,Direct,Conservative Hybrid Fund
Kotak Debt Hybrid - Direct Plan,4,498.67,0.29,1.85,2.05,9.48,2.47,24.3,14.59,11.51,11.0,0.0,0.37,0.31,-0.58,0.27,-0.76,1.3,2.55,0.87,-0.16,-0.61,1.94,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,-2.04,15.52,12.77,5.26,27.57,6.11,16.75,-0.64,7.57,5/23,2/23,5/22,3/22,3/23,4/22,1/21,2/21,2/21,3/20,5.57,1.16,0.64,-4.04,0.03,0,24.29,37,72.75,23,0.0,2.96,0.0,43.15,0.48,17-May-21,43.15,17-May-21,34.61,20-May-20,8.42,13.54,16.73,21.89,0.0,Direct,Conservative Hybrid Fund
Kotak Debt Hybrid,4,498.67,0.26,1.75,1.76,8.85,2.31,22.86,13.29,10.23,9.64,9.67,0.41,0.38,-0.5,0.33,-0.7,1.37,2.62,0.94,-0.09,-0.54,2.02,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/23,12/23,9/22,4/22,10/23,4/22,3/21,5/21,9/21,0/0,4.67,0.04,0.56,2.04,0.64,0,24.29,37,72.75,23,0.0,2.96,0.0,43.3,0.46,17-May-21,43.36,15-Feb-21,37.44,20-May-20,8.19,14.41,17.14,24.86,0.0,Regular,Conservative Hybrid Fund
HSBC Regular Savings Plan - Direct Plan,4,80.77,0.05,1.45,0.58,4.81,1.35,17.43,11.41,9.08,8.51,0.0,1.16,1.14,0.32,0.64,0.21,2.21,3.88,1.1,-0.15,1.04,2.04,1.95,1.35,0.46,7.37,2.22,7.1,-4.86,3.0,1.29,2.2,2.94,3.26,0.22,1.81,12.8,9.79,0.9,10.47,9.19,4.82,22.24,3.79,0.0,0.0,0.0,13/23,6/23,15/22,14/22,13/23,11/22,4/21,8/21,10/21,0/0,0.0,0.0,0.0,0.0,0.0,0,21.32,25,67.02,13,0.0,11.67,0.0,45.53,0.26,17-May-21,45.53,11-May-21,37.87,20-May-20,6.38,9.24,12.18,21.56,0.0,"Regular', 'Direct",Conservative Hybrid Fund
HSBC Regular Savings Plan,4,80.77,0.02,1.31,0.19,3.97,1.14,15.44,9.52,7.64,7.42,8.47,0.15,-0.02,0.67,-0.45,-0.66,1.68,1.88,1.37,-0.32,-1.22,2.26,1.7,0.28,2.46,7.44,-0.03,2.91,-4.41,2.74,-0.82,2.54,1.93,2.35,0.33,2.75,6.54,6.78,5.22,14.35,8.99,0.4,0.0,0.0,0.0,0.0,0.0,13/23,6/23,16/22,16/22,14/23,12/22,8/21,7/21,10/21,11/20,0.0,0.0,0.0,0.0,0.0,0,20.73,22,44.42,9,0.0,34.86,0.0,41.76,0.24,17-May-21,41.78,11-May-21,35.32,20-May-20,6.1,10.07,11.45,16.44,0.0,Regular,Conservative Hybrid Fund
BNP Paribas Conservative Hybrid Fund - Direct Plan,4,320.14,0.12,1.54,0.52,5.19,1.2,15.32,10.14,9.1,9.64,0.0,1.72,0.68,0.37,1.4,0.07,2.68,4.36,1.54,-1.53,1.58,2.41,2.83,1.15,1.08,5.15,2.04,6.01,-4.66,1.89,1.59,2.59,2.71,2.85,0.88,2.24,9.05,9.15,3.22,9.32,8.66,4.88,19.38,2.46,0.0,0.0,0.0,12/23,14/23,4/22,7/22,9/23,8/22,9/21,18/21,17/21,14/20,4.24,0.77,0.42,-3.33,0.02,0,23.38,56,69.06,39,0.0,7.56,0.0,49.97,0.34,17-May-21,50.06,28-Apr-21,38.54,20-May-20,7.37,13.85,19.5,27.82,60.87,Direct,Conservative Hybrid Fund
BNP Paribas Conservative Hybrid Fund,4,320.14,0.09,1.4,0.11,4.38,0.98,13.58,8.45,7.32,7.57,8.59,0.74,0.6,0.31,-0.37,-0.66,2.27,3.06,1.63,-0.46,-0.01,1.77,2.3,1.58,2.16,5.86,3.45,7.98,-6.58,2.67,1.06,1.48,3.22,-0.03,-2.51,3.77,10.95,8.55,-4.02,11.81,11.24,5.39,19.17,5.16,0.0,0.0,0.0,4/23,10/23,13/22,12/22,12/23,9/22,6/21,4/21,2/21,0/0,0.0,0.0,0.0,0.0,0.0,0,23.33,31,37.71,30,0.0,38.96,0.0,46.45,0.34,17-May-21,46.55,28-Apr-21,36.14,20-May-20,6.98,12.16,16.92,26.65,69.68,Regular,Conservative Hybrid Fund
