Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Principal Equity Savings Fund - Direct Plan - Growth Accumulation PlanEquity Savings,-,62.07,0.59%,2.28%,0.36%,10.68%,1.83%,31.62%,13.27%,10.24%,10.15%,-,0.65%,-0.35%,-0.17%,0.88%,0.40%,1.67%,3.23%,0.38%,-0.14%,1.53%,2.05%,3.08%,0.30%,2.17%,5.92%,3.61%,12.86%,-10.93%,2.50%,-1.37%,1.85%,2.15%,0.72%,0.52%,2.79%,9.57%,5.16%,3.09%,4.64%,7.34%,6.63%,7.98%,8.99%,9.07%,6.54%,5.54%,10/24,9/24,9/24,2/24,11/24,1/24,2/22,1/16,0/0,0/0,8.47,0.35,0.29,0.38,0.07,-,139.50%,110,1.86%,2,19.86%,103.70%,-,47.137,0.73%,17-May-21,47.137,17-May-21,36.084,20-May-20,14.01%,17.83%,20.55%,29.56%,-
Principal Equity Savings Fund - Growth Accumulation PlanEquity Savings,1,62.07,0.56%,2.16%,-0.01%,9.91%,1.64%,29.92%,11.90%,8.81%,8.92%,7.64%,0.69%,-0.28%,-0.08%,0.95%,0.50%,1.79%,3.31%,0.49%,-0.09%,1.63%,2.13%,3.11%,0.41%,2.46%,6.21%,3.84%,13.11%,-10.65%,2.76%,-1.17%,2.06%,2.31%,1.04%,0.91%,3.22%,10.69%,6.09%,4.36%,5.50%,8.02%,7.41%,8.58%,-,-,-,-,5/24,7/24,4/24,3/24,6/24,1/24,14/22,15/16,10/15,0/0,8.42,-,0.47,-,0.11,-,139.50%,110,1.86%,2,19.86%,103.70%,-,48.3995,0.7%,17-May-21,48.3995,17-May-21,36.7486,26-May-20,13.88%,20.81%,25.56%,-,-
HDFC Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,2304.8,0.47%,2.60%,1.69%,13.22%,2.50%,30.04%,10.41%,8.86%,11.65%,-,0.72%,-0.65%,0.26%,0.73%,-2.06%,3.16%,5.46%,1.85%,-0.60%,0.91%,2.71%,3.04%,0.07%,1.47%,11.28%,3.64%,9.16%,-10.85%,2.36%,1.54%,1.48%,2.90%,1.14%,0.33%,1.93%,11.45%,8.53%,5.44%,14.67%,2.29%,0.50%,-,-,-,-,-,5/24,8/24,4/24,4/24,6/24,2/24,13/22,15/16,11/15,0/0,7.63,0.34,0.59,1.71,0.13,-,79.97%,53,3.65%,1,4.13%,12.25%,-,43.741,0.72%,17-May-21,43.741,17-May-21,33.741,20-May-20,13.62%,20.97%,-,-,-
HDFC Equity Savings Fund - GrowthEquity Savings,-,2304.8,0.46%,2.53%,1.51%,12.79%,2.40%,29.04%,9.60%,7.84%,10.35%,9.24%,0.74%,-0.49%,0.43%,0.75%,-2.00%,3.29%,5.61%,1.95%,-0.49%,0.92%,2.85%,3.10%,0.24%,1.81%,11.65%,3.95%,9.48%,-10.59%,2.61%,1.61%,1.72%,3.17%,1.41%,0.55%,2.43%,12.84%,9.74%,6.60%,16.05%,3.56%,1.00%,-,-,-,-,-,13/24,9/24,12/24,2/24,11/24,2/24,2/22,1/16,0/0,0/0,8.09,-,0.52,-,0.12,-,79.97%,53,3.65%,1,4.13%,12.25%,-,44.6377,0.69%,17-May-21,44.707,03-Mar-21,34.3277,26-May-20,13.53%,18.09%,19.88%,25.91%,-
DSP Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,361.43,0.37%,1.31%,2.21%,10.58%,1.21%,30.94%,11.19%,8.21%,9.61%,-,-0.25%,-0.12%,0.12%,2.17%,-0.83%,2.64%,5.96%,0.71%,-,3.08%,1.64%,2.60%,-0.37%,3.53%,9.89%,5.22%,8.95%,-11.40%,4.08%,-0.37%,1.87%,2.23%,1.01%,-1.07%,3.40%,10.75%,7.60%,-1.52%,17.29%,7.53%,3.66%,1.00%,-,-,-,-,12/24,5/24,5/24,7/24,4/24,3/24,1/22,0/0,0/0,0/0,10.72,-,0.45,-,0.1,-,73.08%,33,12.35%,8,-,14.57%,-,41.6698,0.6%,17-May-21,41.941,15-Feb-21,33.7504,26-May-20,13.51%,16.89%,19.05%,26.12%,61.68%
DSP Equity Savings Fund - Regular Plan - GrowthEquity Savings,-,361.43,0.33%,1.18%,1.81%,9.72%,1.00%,28.91%,9.50%,6.56%,8.01%,-,-0.17%,-0.06%,0.17%,2.21%,-0.78%,2.72%,5.99%,0.86%,0.07%,3.11%,1.76%,2.67%,-0.23%,3.73%,10.15%,5.41%,9.22%,-11.12%,4.29%,-0.14%,2.14%,2.34%,1.26%,-0.74%,3.79%,11.79%,8.35%,-0.37%,18.72%,8.77%,4.64%,1.10%,-,-,-,-,12/24,5/24,5/24,7/24,5/24,3/24,1/22,0/0,0/0,0/0,8.08,-,0.45,-,0.1,-,73.08%,33,12.35%,8,-,14.57%,-,38.3109,0.59%,17-May-21,38.6644,15-Feb-21,31.3697,26-May-20,13.03%,19.80%,23.61%,32.49%,-
Franklin India Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,117.77,0.32%,2.16%,0.11%,9.05%,1.35%,28.34%,9.45%,-,-,-,0.26%,0.26%,0.26%,0.35%,-0.26%,1.22%,1.69%,0.90%,-,0.64%,3.19%,2.01%,0.51%,0.69%,4.13%,4.03%,8.03%,-3.77%,1.77%,-,-,-,-,-,1.29%,11.88%,3.60%,-,-,-,-,-,-,-,-,-,1/24,2/24,12/24,3/24,4/24,4/24,3/22,2/16,2/15,0/0,8.58,-,0.34,-,0.01,-,71.59%,68,13.83%,10,-,14.58%,-,40.219,0.56%,17-May-21,40.3118,10-May-21,32.6177,20-May-20,13.00%,17.00%,18.22%,23.10%,-
Franklin India Equity Savings Fund - GrowthEquity Savings,-,117.77,0.29%,2.04%,-0.23%,8.31%,1.17%,26.60%,7.70%,-,-,-,0.34%,0.34%,0.42%,0.42%,-0.17%,1.38%,1.84%,0.98%,0.09%,0.72%,3.25%,2.09%,0.67%,1.02%,4.44%,4.27%,8.27%,-3.65%,1.96%,-,-,-,-,-,1.70%,12.97%,4.10%,-,-,-,-,-,-,-,-,-,21/24,6/24,11/24,8/24,7/24,4/24,4/22,4/16,8/15,0/0,9.63,0.44,0.48,0.87,0.1,-,71.59%,68,13.83%,10,-,14.58%,-,22.357,0.93%,17-May-21,22.357,17-May-21,16.542,20-May-20,12.97%,17.37%,20.53%,28.15%,-
L&T Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,67.2,0.24%,1.55%,1.38%,10.62%,1.66%,34.26%,9.99%,7.28%,8.36%,-,1.29%,-0.36%,0.18%,2.18%,-1.07%,2.39%,5.53%,0.57%,0.16%,2.46%,4.39%,3.52%,0.92%,3.81%,9.32%,7.62%,9.76%,-13.80%,3.08%,-1.20%,-1.33%,3.27%,0.78%,-0.59%,5.41%,10.58%,3.69%,-0.49%,13.85%,4.42%,5.17%,21.12%,3.07%,8.76%,1.47%,-,21/24,6/24,14/24,8/24,7/24,5/24,4/22,5/16,6/15,0/0,10.35,0.39,-0.62,-9.72,-0.17,-,71.54%,74,9.44%,2,-,48.11%,-,36.7968,0.55%,17-May-21,36.892,10-May-21,30.2386,26-May-20,12.95%,19.63%,-,-,-
ICICI Prudential Equity Savings Fund - Direct Plan - GrowthEquity Savings,-,1109.98,0.24%,0.95%,0.83%,9.01%,1.32%,23.87%,8.98%,8.44%,9.41%,-,1.33%,-0.29%,0.25%,2.23%,-1.01%,2.46%,5.60%,0.64%,0.23%,2.54%,4.46%,3.60%,1.03%,4.00%,9.55%,7.86%,10.02%,-13.60%,3.31%,-0.97%,-1.10%,3.55%,0.98%,-0.43%,5.72%,11.59%,4.65%,0.20%,14.77%,5.21%,6.11%,21.95%,3.72%,-,-,-,1/24,2/24,15/24,5/24,5/24,5/24,3/22,2/16,3/15,3/6,8.45,-,0.43,-,0.1,-,71.54%,74,9.44%,2,-,48.11%,-,20.917,0.93%,17-May-21,20.917,17-May-21,15.609,20-May-20,12.84%,18.71%,22.30%,-,-
