Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI Dual Advantage Fixed Term Fund - Series II – V (1997 days) - Direct Plan - GrowthFixed Maturity Plans - Hybrid,-,51.14,0.27%,1.41%,0.43%,6.61%,0.88%,19.09%,4.54%,4.29%,6.84%,-,0.61%,-0.60%,0.41%,-,-2.67%,5.58%,8.04%,2.01%,-1.36%,2.40%,3.25%,2.73%,-,1.57%,17.30%,4.95%,6.10%,-12.50%,2.25%,4.95%,4.12%,1.33%,1.81%,-1.25%,2.26%,14.39%,13.70%,3.12%,9.62%,-,-,-,-,-,-,-,13/13,5/13,13/13,1/13,7/13,1/13,1/13,2/8,0/0,0/0,2.65,-,1.48,-,0.39,-,72.10%,30,1.47%,3,-,26.43%,-,15.69,1.08%,17-May-21,16.06,15-Feb-21,11.44,26-May-20,14.54%,20.07%,25.58%,-,-
ICICI Prudential Multiple Yield Fund - Series 14 - Plan A - Direct Plan - GrowthFixed Maturity Plans - Hybrid,-,44.45,0.27%,0.69%,0.78%,3.95%,0.73%,10.31%,7.99%,8.57%,-,-,0.71%,-0.57%,0.52%,0.13%,-2.62%,5.61%,8.15%,2.08%,-1.31%,2.46%,3.28%,2.79%,0.13%,1.83%,17.57%,5.16%,6.30%,-12.05%,2.41%,5.11%,4.33%,1.65%,2.21%,-0.96%,2.62%,15.47%,14.90%,4.72%,10.71%,-,-,-,-,-,-,-,13/13,5/13,13/13,1/13,8/13,1/13,1/13,2/8,0/0,0/0,3.01,0.57,1.31,0.19,0.07,-,72.10%,30,1.47%,3,-,26.43%,-,14.94,1%,17-May-21,15.33,15-Feb-21,10.99,26-May-20,13.96%,18.91%,23.68%,-,-
ICICI Prudential Multiple Yield Fund - Series 14 - Plan A - GrowthFixed Maturity Plans - Hybrid,-,44.45,0.26%,0.68%,0.75%,3.88%,0.71%,10.17%,7.84%,7.91%,-,-,0.61%,0.39%,0.03%,0.88%,-0.37%,1.08%,3.19%,0.92%,-0.43%,1.71%,1.23%,1.94%,1.01%,1.98%,5.27%,2.72%,5.61%,-4.18%,3.19%,2.25%,2.45%,-,-,-,3.01%,9.91%,11.24%,-,-,-,-,-,-,-,-,-,3/13,3/13,7/13,3/13,3/13,2/13,12/13,7/8,2/3,0/0,3.31,0.66,1.24,-0.24,0.06,-,29.30%,25,39.55%,6,-,31.15%,-,15.3613,0.76%,17-May-21,15.3613,17-May-21,12.5271,20-May-20,10.39%,16.91%,22.98%,-,-
UTI Dual Advantage Fixed Term Fund - Series III – I (1998 days) - Direct Plan - GrowthFixed Maturity Plans - Hybrid,-,31.01,0.26%,1.72%,0.51%,8.09%,1.44%,22.31%,6.79%,6.15%,8.35%,-,0.60%,0.45%,0.09%,0.93%,-0.31%,1.14%,3.25%,0.98%,-0.37%,1.78%,1.19%,2.01%,1.05%,2.16%,5.46%,2.83%,5.83%,-3.98%,3.41%,2.36%,2.67%,-,-,-,3.24%,10.69%,12.08%,-,-,-,-,-,-,-,-,-,3/13,3/13,8/13,3/13,3/13,2/13,12/13,7/8,2/3,0/0,3.48,0.71,1.65,1.04,0.08,-,29.30%,25,39.55%,6,-,31.15%,-,14.3997,0.75%,17-May-21,14.3997,17-May-21,11.8059,20-May-20,10.10%,16.32%,21.79%,-,-
UTI Dual Advantage Fixed Term Fund - Series II – V (1997 days) - GrowthFixed Maturity Plans - Hybrid,-,51.14,0.26%,1.37%,0.31%,6.35%,0.82%,18.51%,4.03%,3.42%,5.56%,-,0.36%,0.05%,0.27%,0.58%,-0.66%,2.09%,2.89%,1.06%,0.05%,0.73%,1.99%,1.50%,0.41%,1.50%,6.43%,3.03%,5.24%,-5.07%,2.35%,0.84%,2.27%,3.32%,2.94%,-0.13%,1.91%,10.20%,9.50%,3.29%,-,-,-,-,-,-,-,-,5/13,2/13,2/13,4/13,2/13,3/13,6/13,4/8,1/3,0/0,3.73,-,0.87,-,0.21,-,29.29%,17,51.61%,11,-,19.10%,-,14.6957,0.63%,17-May-21,14.6957,17-May-21,12.3684,21-May-20,9.77%,14.58%,15.27%,21.65%,-
UTI Dual Advantage Fixed Term Fund - Series III – I (1998 days) - GrowthFixed Maturity Plans - Hybrid,-,31.01,0.25%,1.67%,0.37%,7.79%,1.36%,21.65%,6.20%,5.22%,7.04%,-,0.37%,0.08%,0.30%,0.60%,-0.64%,2.12%,2.92%,1.08%,0.08%,0.76%,2.02%,1.53%,0.45%,1.58%,6.53%,3.12%,5.32%,-4.98%,2.47%,0.92%,2.36%,3.55%,3.20%,0.13%,2.04%,10.58%,10.07%,3.91%,-,-,-,-,-,-,-,-,4/13,2/13,2/13,4/13,2/13,3/13,5/13,4/8,1/3,0/0,7,0.83,0.33,-3.18,0.03,-,29.29%,17,51.61%,11,-,19.10%,-,16.5811,0.54%,17-May-21,16.5811,17-May-21,13.7273,20-May-20,9.44%,13.90%,14.09%,18.64%,-
Aditya Birla Sun Life Dual Advantage Fund - Series II - Regular Plan - GrowthFixed Maturity Plans - Hybrid,-,57.87,0.25%,0.73%,0.54%,4.87%,1.01%,16.03%,10.48%,-,-,-,0.41%,-0.19%,-0.12%,1.04%,-0.67%,1.97%,3.01%,0.80%,0.47%,1.33%,1.48%,2.07%,0.22%,1.71%,6.05%,3.49%,5.40%,-5.24%,2.67%,1.06%,-3.92%,2.37%,2.36%,-0.14%,1.94%,10.54%,2.07%,2.20%,6.36%,-,-,-,-,-,-,-,2/13,4/13,9/13,5/13,5/13,4/13,13/13,8/8,3/3,0/0,5.44,1.01,0.88,-1.9,0.05,-,27.83%,19,42.06%,8,-,30.11%,-,14.0217,0.63%,17-May-21,14.0217,17-May-21,11.8554,21-May-20,9.34%,13.42%,16.98%,25.58%,-
UTI Dual Advantage Fixed Term Fund - Series II – IV (1997 days) - Direct Plan - GrowthFixed Maturity Plans - Hybrid,-,196.26,0.22%,1.74%,2.03%,7.95%,1.92%,20.56%,9.55%,8.18%,9.73%,-,0.45%,-0.12%,-0.05%,1.09%,-0.61%,2.03%,3.07%,0.86%,0.53%,1.39%,1.54%,2.14%,0.32%,1.90%,6.25%,3.69%,5.64%,-5.02%,2.91%,1.30%,-3.70%,2.58%,2.63%,0.15%,2.23%,11.48%,3.18%,3.42%,7.18%,-,-,-,-,-,-,-,1/13,4/13,9/13,5/13,5/13,4/13,13/13,8/8,3/3,0/0,6.9,1.07,-0.08,-7.58,0,-,27.83%,19,42.06%,8,-,30.11%,-,14.5487,0.59%,17-May-21,14.5487,17-May-21,12.1923,20-May-20,9.05%,12.82%,15.84%,22.43%,-
Aditya Birla Sun Life Dual Advantage Fund - Series II - Direct Plan - GrowthFixed Maturity Plans - Hybrid,-,57.87,0.22%,0.74%,0.66%,5.20%,1.05%,16.75%,11.28%,-,-,-,0.71%,-,0.12%,0.69%,-0.28%,1.31%,1.70%,0.97%,-0.64%,0.78%,0.37%,0.80%,0.71%,1.39%,4.16%,0.78%,3.94%,-2.02%,2.20%,1.76%,2.27%,2.88%,2.59%,1.55%,2.11%,7.28%,9.39%,5.00%,-,-,-,-,-,-,-,-,7/13,1/13,1/13,2/13,1/13,5/13,2/13,1/8,0/0,0/0,5.36,0.96,0.53,-3.5,0.03,-,27.09%,18,67.81%,11,-,5.10%,-,15.4711,0.53%,17-May-21,15.4711,17-May-21,12.8709,20-May-20,8.02%,11.65%,11.50%,16.12%,-
UTI Dual Advantage Fixed Term Fund - Series II – IV (1997 days) - GrowthFixed Maturity Plans - Hybrid,-,196.26,0.22%,1.70%,1.90%,7.68%,1.86%,19.97%,8.99%,7.24%,8.38%,-,0.72%,0.01%,0.14%,0.70%,-0.27%,1.32%,1.71%,0.98%,-0.63%,0.80%,0.38%,0.80%,0.73%,1.42%,4.19%,0.82%,3.97%,-1.99%,2.23%,1.79%,2.39%,3.31%,3.03%,1.97%,2.15%,7.42%,10.05%,6.51%,-,-,-,-,-,-,-,-,7/13,1/13,1/13,2/13,1/13,5/13,2/13,1/8,0/0,0/0,7.19,1.13,0.17,-6.24,0.01,-,27.09%,18,67.81%,11,-,5.10%,-,13.6298,0.58%,17-May-21,13.6365,10-Mar-21,11.4769,20-May-20,7.74%,11.07%,10.48%,13.39%,-
