Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%),Plan,Category
ICICI Prudential Multi-Asset Fund - Direct Plan,4,11108.27,0.26,5.34,5.78,27.87,6.43,52.99,17.01,12.1,15.08,0,0.23,1.15,0.05,-0.24,-0.81,1.33,2.02,0.89,-0.84,-1.32,0,0,1.39,-1.09,4.18,0,0,0,0,0,0,0,0,0,0.56,3.24,0,0,0,0,0,0,0,0,0,0,8/10,5/10,8/10,5/10,6/10,4/8,2/7,2/7,3/7,4/7,0,0,0,0,0,0,69.26,46,8.15,3,11.45,11.14,0,26.39,1.3,17-May-21,26.45,10-May-21,18.26,26-May-20,17.38,0,0,0,0,Direct,Multi Asset Allocation
ICICI Prudential Multi-Asset Fund,3,11108.27,0.24,5.29,5.62,27.5,6.35,52.02,16.27,11.28,14.13,12.75,0.3,1.29,0.18,-0.14,-0.69,1.46,2.14,1.01,-0.72,0.35,0,0,1.6,-0.73,4.57,0,0,0,0,0,0,0,0,0,1.14,3.84,0,0,0,0,0,0,0,0,0,0,9/10,7/10,5/10,3/10,9/10,4/8,0/0,0/0,0/0,0/0,0,0,0,0,0,0,69.26,46,8.15,3,11.45,11.14,0,22.11,1.41,17-May-21,22.5,15-Feb-21,16,20-May-20,16.66,26.15,30.52,38.45,0,Regular,Multi Asset Allocation
UTI Multi Asset Fund - Regular Plan,0,687.29,0.01,1.15,-0.06,6.45,1.21,31.97,10.6,6.57,8.05,7.69,1.85,-0.18,-1.12,1.36,-3.02,4.63,7.75,0.71,0.13,0.17,6.17,3.78,1.66,0.43,14.09,7.33,21,-21.93,5.13,1.43,1.76,2.87,2.55,-0.65,3.57,13.73,11.08,3.71,9.86,9.26,5.46,11.78,5.18,0,0,0,8/10,5/10,8/10,5/10,6/10,5/8,2/7,2/7,3/7,0/0,0,0,0,0,0,0,66.73,18,3.77,1,14.25,15.25,0,40.48,0.63,17-May-21,40.63,15-Feb-21,30.42,26-May-20,15.79,24.59,28.43,35.31,70.97,Regular,Multi Asset Allocation
UTI Multi Asset Fund - Direct Plan,0,687.29,0.02,1.22,0.14,6.87,1.31,33,11.48,7.47,9,0,1.76,-0.33,-1.27,1.23,-3.16,4.47,7.6,0.55,0.14,0.03,6.04,3.66,1.42,-0.03,13.55,7.05,20.6,-22.14,4.83,1.02,1.36,2.51,2.25,-0.87,2.84,12.2,9.63,2.95,8.23,7.57,4.23,10.68,4.44,10.81,8.15,0,9/10,7/10,5/10,3/10,9/10,5/8,0/0,0/0,0/0,0/0,0,0,0,0,0,0,66.73,18,3.77,1,14.25,15.25,0,43.18,0.64,17-May-21,43.25,15-Feb-21,32.21,26-May-20,16.45,24.05,29.94,39.67,73,Direct,Multi Asset Allocation
Tata Multi Asset Opportunities Fund - Direct Plan,0,681.28,-0.46,2,1.77,16.93,1.67,45.07,0,0,0,0,2.71,1.59,-0.98,1.22,-1.64,3.73,3.54,0.44,-0.93,-1.26,4.03,3.06,4.34,-0.23,8.31,2.68,12.54,-9.46,2.82,3.33,2.17,2.48,1.86,-0.82,4.1,13.8,10.83,0.3,10.89,8.55,9.74,17.28,8.04,11.69,3.31,10.38,,,,,,,,,,,0,0,0,0,0,0,35.29,50,24.73,3,22.37,11,4.07,11.54,0.14,14-May-21,11.64,10-May-21,9.48,24-Sep-20,0,0,0,0,0,Direct,Multi Asset Allocation
Tata Multi Asset Opportunities Fund,0,681.28,-0.49,1.84,1.28,15.79,1.45,42.4,0,0,0,0,2.74,1.66,-0.91,1.27,-1.58,3.79,3.59,0.49,-0.88,-1.21,4.08,3.11,4.45,-0.03,8.49,2.85,12.71,-9.32,2.98,3.49,2.24,2.58,2.19,-0.4,4.41,14.52,11.33,1.77,11.96,9.79,10.66,17.84,7.8,0,0,0,,,,,,,,,,,0,0,0,0,0,0,35.29,50,24.73,3,22.37,11,4.07,13.78,-0.41,14-May-21,13.94,10-May-21,9.44,22-May-20,0,0,0,0,0,Regular,Multi Asset Allocation
SBI Multi Asset Allocation Fund - Regular Plan,0,346.13,0.42,3.19,2.5,9.09,4.34,23.15,14.84,9.6,9.17,9.84,1.79,0.49,-0.05,0.84,-2.57,7.29,5.45,0.21,-1.05,2.19,7.09,5.53,2.29,1.14,14.01,8.8,19.4,-18.48,5.47,-0.69,0.01,4.65,-0.12,-0.36,4.29,20.37,8.76,-1.93,11.83,8.72,4.56,20.39,6.4,11.84,6.11,9.72,3/10,6/10,4/10,4/10,4/10,3/8,4/7,4/7,4/7,3/7,0,0,0,0,0,0,69.34,48,12.43,6,10.53,7.7,0,29.02,1.31,17-May-21,29.09,10-May-21,19.78,26-May-20,18.66,0,0,0,0,Regular,Multi Asset Allocation
SBI Multi Asset Allocation Fund - Direct Plan,0,346.13,0.44,3.27,2.71,9.5,4.45,24.02,15.56,10.48,10.15,0,9.78,11.06,1.57,4.81,-1.66,3.87,1.68,3.05,1.51,3.87,18.22,5.36,21.92,6.79,9.47,25.05,15.79,-22.4,3.38,3.67,1.39,1.96,2.77,1.4,32.97,27.6,11.41,3.84,1.99,12.72,7.39,7.38,6.51,0,0,0,4/10,2/10,2/10,2/10,2/10,2/8,3/7,3/7,2/7,1/7,0,0,0,0,0,0,72.02,40,15.19,18,10.24,2.01,0,42.32,1,17-May-21,42.32,17-May-21,28.95,26-May-20,25.6,30.73,33,42.27,106.07,Direct,Multi Asset Allocation
Quant Multi Asset Fund - Direct Plan,0,29.28,0.52,12.89,31.02,40.08,24.52,95.67,35.38,25.31,16.7,0,1.38,0.48,-0.18,1.06,-3.32,4.77,9.17,1.75,-1.6,2.28,4.83,4.28,1.86,0.88,17.04,6.41,16.54,-18.6,4.91,2.54,4.78,2.03,3.1,-1.9,3.76,17.82,15.35,1.91,15.91,6.69,-0.36,16.56,-0.34,19.39,0.71,4.85,1/10,1/10,1/10,1/10,1/10,1/8,1/7,1/7,1/7,2/7,15.88,,0.41,,0.1,0,75.16,56,8.69,15,6.72,4.55,6.17,376.42,0.89,17-May-21,377.85,11-May-21,247.7,26-May-20,48.29,64.06,72.89,83.7,0,Direct,Multi Asset Allocation
Quant Multi Asset Fund,0,29.28,0.48,12.59,30.26,39.01,24.06,93.96,34.7,25.05,16.56,11.89,1.46,0.61,-0.04,1.17,-3.2,4.89,9.3,1.88,-1.48,2.41,4.96,4.4,2.08,1.28,17.48,6.81,16.93,-18.34,5.24,2.85,5.09,2.22,3.39,-1.61,4.4,19.48,16.8,2.92,17.62,7.62,0.51,18.2,0.13,0,0,0,1/10,1/10,1/10,1/10,1/10,1/8,1/7,1/7,1/7,0/0,13.04,,0.22,,0.05,0,75.16,56,8.69,15,6.72,4.55,6.17,352.14,0.89,17-May-21,353.51,11-May-21,233.15,26-May-20,47.22,62.69,71.49,82.37,121.87,Regular,Multi Asset Allocation
