Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Multi Asset Fund - Direct Plan - GrowthMulti Asset Allocation,-,29.28,0.52%,12.89%,31.02%,40.08%,24.52%,95.67%,35.38%,25.31%,16.70%,-,1.38%,0.48%,-0.18%,1.06%,-3.32%,4.77%,9.17%,1.75%,-1.60%,2.28%,4.83%,4.28%,1.86%,0.88%,17.04%,6.41%,16.54%,-18.60%,4.91%,2.54%,4.78%,2.03%,3.10%,-1.90%,3.76%,17.82%,15.35%,1.91%,15.91%,6.69%,-0.36%,16.56%,-0.34%,19.39%,0.71%,4.85%,1/10,1/10,1/10,1/10,1/10,1/8,1/7,1/7,1/7,2/7,15.88,-,0.41,-,0.1,-,75.16%,56,8.69%,15,6.72%,4.55%,6.17%,376.422,0.89%,17-May-21,377.8506,11-May-21,247.6969,26-May-20,48.29%,64.06%,72.89%,83.70%,-
Quant Multi Asset Fund - GrowthMulti Asset Allocation,-,29.28,0.48%,12.59%,30.26%,39.01%,24.06%,93.96%,34.70%,25.05%,16.56%,11.89%,1.46%,0.61%,-0.04%,1.17%,-3.20%,4.89%,9.30%,1.88%,-1.48%,2.41%,4.96%,4.40%,2.08%,1.28%,17.48%,6.81%,16.93%,-18.34%,5.24%,2.85%,5.09%,2.22%,3.39%,-1.61%,4.40%,19.48%,16.80%,2.92%,17.62%,7.62%,0.51%,18.20%,0.13%,-,-,-,1/10,1/10,1/10,1/10,1/10,1/8,1/7,1/7,1/7,0/0,13.04,-,0.22,-,0.05,-,75.16%,56,8.69%,15,6.72%,4.55%,6.17%,352.1366,0.89%,17-May-21,353.5096,11-May-21,233.1492,26-May-20,47.22%,62.69%,71.49%,82.37%,121.87%
HDFC Multi-Asset Fund - Direct Plan - GrowthMulti Asset Allocation,-,761.75,0.45%,2.38%,2.05%,13.00%,3.35%,46.13%,17.43%,11.58%,10.87%,-,9.68%,10.76%,1.40%,4.67%,-1.74%,3.88%,1.67%,3.05%,1.50%,3.92%,18.06%,5.35%,21.48%,6.36%,9.46%,24.93%,15.76%,-22.42%,3.36%,3.65%,1.26%,1.74%,3.49%,1.40%,31.95%,27.12%,10.99%,4.56%,1.99%,12.72%,7.39%,7.38%,6.63%,8.20%,6.14%,5.93%,4/10,2/10,2/10,2/10,2/10,2/8,4/7,3/7,2/7,0/0,13.63,-,1.22,-,0.25,-,72.02%,40,15.19%,18,10.24%,2.01%,-,44.806,1.01%,17-May-21,44.806,17-May-21,30.298,26-May-20,26.04%,31.61%,34.40%,45.25%,-
SBI Multi Asset Allocation Fund - Direct Plan - GrowthMulti Asset Allocation,-,346.13,0.44%,3.27%,2.71%,9.50%,4.45%,24.02%,15.56%,10.48%,10.15%,-,9.78%,11.06%,1.57%,4.81%,-1.66%,3.87%,1.68%,3.05%,1.51%,3.87%,18.22%,5.36%,21.92%,6.79%,9.47%,25.05%,15.79%,-22.40%,3.38%,3.67%,1.39%,1.96%,2.77%,1.40%,32.97%,27.60%,11.41%,3.84%,1.99%,12.72%,7.39%,7.38%,6.51%,-,-,-,4/10,2/10,2/10,2/10,2/10,2/8,3/7,3/7,2/7,1/7,,,,,,-,72.02%,40,15.19%,18,10.24%,2.01%,-,42.323,1%,17-May-21,42.323,17-May-21,28.954,26-May-20,25.60%,30.73%,33.00%,42.27%,106.07%
SBI Multi Asset Allocation Fund - Regular Plan - GrowthMulti Asset Allocation,-,346.13,0.42%,3.19%,2.50%,9.09%,4.34%,23.15%,14.84%,9.60%,9.17%,9.84%,1.79%,0.49%,-0.05%,0.84%,-2.57%,7.29%,5.45%,0.21%,-1.05%,2.19%,7.09%,5.53%,2.29%,1.14%,14.01%,8.80%,19.40%,-18.48%,5.47%,-0.69%,0.01%,4.65%,-0.12%,-0.36%,4.29%,20.37%,8.76%,-1.93%,11.83%,8.72%,4.56%,20.39%,6.40%,11.84%,6.11%,9.72%,3/10,6/10,4/10,4/10,4/10,3/8,4/7,4/7,4/7,3/7,,,,,,-,69.34%,48,12.43%,6,10.53%,7.70%,-,29.0202,1.31%,17-May-21,29.0853,10-May-21,19.782,26-May-20,18.66%,-,-,-,-
HDFC Multi-Asset Fund - GrowthMulti Asset Allocation,-,761.75,0.42%,2.23%,1.65%,12.23%,3.12%,44.40%,16.25%,10.63%,10.05%,9.85%,1.87%,0.62%,0.08%,0.93%,-2.49%,7.39%,5.54%,0.29%,-0.97%,2.29%,7.17%,5.60%,2.50%,1.47%,14.31%,9.08%,19.68%,-18.28%,5.68%,-0.95%,0.12%,4.79%,0.04%,-0.21%,4.87%,21.58%,9.42%,-1.32%,12.46%,9.33%,5.17%,21.10%,7.05%,-,-,-,2/10,6/10,4/10,4/10,4/10,3/8,3/7,4/7,4/7,0/0,,,,,,-,69.34%,48,12.43%,6,10.53%,7.70%,-,24.5262,1.42%,17-May-21,24.8353,15-Feb-21,17.4666,20-May-20,17.50%,26.06%,32.89%,44.65%,-
ICICI Prudential Multi-Asset Fund - Direct Plan - GrowthMulti Asset Allocation,4,11108.27,0.26%,5.34%,5.78%,27.87%,6.43%,52.99%,17.01%,12.10%,15.08%,-,0.23%,1.15%,0.05%,-0.24%,-0.81%,1.33%,2.02%,0.89%,-0.84%,-1.32%,-,-,1.39%,-1.09%,4.18%,-,-,-,-,-,-,-,-,-,0.56%,3.24%,-,-,-,-,-,-,-,-,-,-,8/10,5/10,8/10,5/10,6/10,4/8,2/7,2/7,3/7,4/7,,,,,,-,69.26%,46,8.15%,3,11.45%,11.14%,-,26.3851,1.3%,17-May-21,26.453,10-May-21,18.2599,26-May-20,17.38%,-,-,-,-
ICICI Prudential Multi-Asset Fund - GrowthMulti Asset Allocation,3,11108.27,0.24%,5.29%,5.62%,27.50%,6.35%,52.02%,16.27%,11.28%,14.13%,12.75%,0.30%,1.29%,0.18%,-0.14%,-0.69%,1.46%,2.14%,1.01%,-0.72%,0.35%,-,-,1.60%,-0.73%,4.57%,-,-,-,-,-,-,-,-,-,1.14%,3.84%,-,-,-,-,-,-,-,-,-,-,9/10,7/10,5/10,3/10,9/10,4/8,0/0,0/0,0/0,0/0,,,,,,-,69.26%,46,8.15%,3,11.45%,11.14%,-,22.11,1.41%,17-May-21,22.4957,15-Feb-21,16.0022,20-May-20,16.66%,26.15%,30.52%,38.45%,-
UTI Multi Asset Fund - Direct Plan - GrowthMulti Asset Allocation,-,687.29,0.02%,1.22%,0.14%,6.87%,1.31%,33.00%,11.48%,7.47%,9.00%,-,1.76%,-0.33%,-1.27%,1.23%,-3.16%,4.47%,7.60%,0.55%,0.14%,0.03%,6.04%,3.66%,1.42%,-0.03%,13.55%,7.05%,20.60%,-22.14%,4.83%,1.02%,1.36%,2.51%,2.25%,-0.87%,2.84%,12.20%,9.63%,2.95%,8.23%,7.57%,4.23%,10.68%,4.44%,10.81%,8.15%,-,9/10,7/10,5/10,3/10,9/10,5/8,0/0,0/0,0/0,0/0,,,,,,-,66.73%,18,3.77%,1,14.25%,15.25%,-,43.1815,0.64%,17-May-21,43.2506,15-Feb-21,32.2065,26-May-20,16.45%,24.05%,29.94%,39.67%,73.00%
UTI Multi Asset Fund - Regular Plan - GrowthMulti Asset Allocation,-,687.29,0.01%,1.15%,-0.06%,6.45%,1.21%,31.97%,10.60%,6.57%,8.05%,7.69%,1.85%,-0.18%,-1.12%,1.36%,-3.02%,4.63%,7.75%,0.71%,0.13%,0.17%,6.17%,3.78%,1.66%,0.43%,14.09%,7.33%,21.00%,-21.93%,5.13%,1.43%,1.76%,2.87%,2.55%,-0.65%,3.57%,13.73%,11.08%,3.71%,9.86%,9.26%,5.46%,11.78%,5.18%,-,-,-,8/10,5/10,8/10,5/10,6/10,5/8,2/7,2/7,3/7,0/0,,,,,,-,66.73%,18,3.77%,1,14.25%,15.25%,-,40.4823,0.63%,17-May-21,40.628,15-Feb-21,30.4234,26-May-20,15.79%,24.59%,28.43%,35.31%,70.97%
