Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Tata Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,2,470.65,0.21%,0.89%,1.63%,1.90%,1.29%,8.25%,-,-,-,-,0.17%,0.65%,0.77%,-0.06%,-0.30%,0.20%,0.94%,0.97%,0.01%,0.06%,0.99%,1.73%,0.82%,0.27%,2.12%,1.31%,4.33%,2.55%,2.16%,3.30%,1.81%,3.48%,3.58%,1.15%,1.09%,10.81%,11.22%,7.25%,5.50%,7.97%,8.51%,9.22%,7.17%,-,-,-,7/22,11/22,15/22,2/20,10/22,1/18,8/17,6/17,5/17,0/0,2.71,1.45,1.97,-1.89,0.04,-,-,-,84.15%,6,-,15.85%,-,34.3184,0.01%,12-May-21,34.3184,12-May-21,32.5144,18-May-20,3.39%,8.88%,14.75%,24.30%,-
Tata Banking & PSU Debt Fund - Regular Plan - GrowthBanking and PSU Fund,2,470.65,0.21%,0.86%,1.51%,1.65%,1.23%,7.71%,-,-,-,-,0.18%,0.68%,0.80%,-0.03%,-0.28%,0.23%,0.96%,1.00%,0.04%,0.09%,1.02%,1.75%,0.85%,0.35%,2.21%,1.40%,4.42%,2.64%,2.25%,3.39%,1.88%,3.55%,3.64%,1.21%,1.21%,11.20%,11.56%,7.50%,5.70%,8.08%,8.64%,9.34%,7.27%,-,-,-,7/22,13/22,15/22,3/20,9/22,1/18,9/17,8/17,6/17,0/0,2.2,1.11,2.03,-1.09,0.04,-,-,-,80.89%,28,-,19.11%,-,34.0415,0.01%,12-May-21,34.0415,12-May-21,32.3012,18-May-20,3.36%,10.11%,17.21%,27.68%,-
Kotak Banking and PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,3,9675.19,0.18%,0.63%,1.42%,1.87%,0.95%,7.80%,9.77%,9.48%,8.71%,-,0.14%,0.59%,0.57%,0.10%,-0.24%,0.21%,0.81%,0.86%,0.09%,0.17%,0.84%,1.58%,0.73%,0.35%,1.89%,1.28%,3.86%,2.04%,2.10%,2.98%,1.61%,3.21%,3.37%,1.33%,1.10%,9.48%,10.55%,7.48%,7.18%,8.34%,8.48%,9.23%,8.59%,5.18%,-,-,1/22,1/22,14/22,15/20,3/22,2/18,0/0,0/0,0/0,0/0,2.32,0.88,2.25,0.77,0.06,-,-,-,82.75%,91,-,17.25%,-,19.6876,0.01%,12-May-21,19.6876,12-May-21,18.256,19-May-20,3.33%,8.43%,13.85%,22.89%,-
Kotak Banking and PSU Debt Fund - GrowthBanking and PSU Fund,3,9675.19,0.17%,0.60%,1.31%,1.66%,0.90%,7.36%,9.37%,9.09%,8.32%,8.59%,0.15%,0.61%,0.59%,0.12%,-0.21%,0.24%,0.83%,0.89%,0.11%,0.19%,0.87%,1.61%,0.77%,0.42%,1.97%,1.36%,3.94%,2.11%,2.18%,3.21%,1.68%,3.27%,3.44%,1.40%,1.19%,9.82%,10.88%,7.79%,7.37%,8.53%,8.66%,9.46%,8.73%,-,-,-,1/22,2/22,13/22,11/20,3/22,2/18,0/0,0/0,0/0,0/0,2.42,1.29,2.07,-1.43,0.04,-,-,-,97.30%,104,-,2.70%,-,19.2499,0.01%,12-May-21,19.2499,12-May-21,17.9101,19-May-20,3.08%,8.73%,14.85%,24.65%,-
ICICI Prudential Banking & PSU Debt Fund - Direct Plan - GrowthBanking and PSU Fund,5,14384.86,0.17%,0.67%,1.37%,2.24%,0.95%,8.05%,9.24%,8.72%,8.42%,-,0.24%,0.76%,0.76%,-0.40%,-0.21%,0.32%,0.88%,1.38%,-0.03%,-0.34%,1.14%,1.71%,1.00%,-0.14%,2.58%,1.19%,4.08%,2.38%,2.00%,2.70%,2.38%,2.44%,2.74%,1.59%,0.86%,10.82%,9.91%,6.62%,5.61%,12.20%,8.49%,12.42%,9.59%,9.85%,9.26%,5.80%,3/22,7/22,19/22,1/20,14/22,3/18,11/17,13/17,11/17,0/0,2.68,0.02,2.17,5.69,3.75,-,-,-,90.04%,19,-,9.96%,-,29.1295,0.01%,12-May-21,29.1295,12-May-21,27.4184,18-May-20,3.06%,-,-,-,-
ICICI Prudential Banking & PSU Debt Fund - GrowthBanking and PSU Fund,5,14384.86,0.16%,0.63%,1.26%,2.01%,0.89%,7.56%,8.75%,8.24%,8.01%,8.69%,0.25%,0.79%,0.79%,-0.38%,-0.19%,0.35%,0.91%,1.40%,-0.01%,-0.32%,1.18%,1.74%,1.04%,-0.06%,2.66%,1.28%,4.16%,2.46%,2.08%,2.78%,2.46%,2.51%,2.81%,1.67%,0.98%,11.18%,10.28%,6.94%,5.95%,12.55%,8.81%,12.71%,9.63%,-,-,-,3/22,8/22,18/22,1/20,14/22,3/18,13/17,13/17,10/17,2/6,2.39,0.01,2.01,4.67,3.68,-,-,-,96.38%,100,-,3.57%,0.05%,18.2051,0.01%,12-May-21,18.2051,12-May-21,17.0655,18-May-20,2.98%,8.37%,14.14%,23.79%,-
SBI Banking and PSU Fund - Direct Plan - GrowthBanking and PSU Fund,2,14391.19,0.15%,0.67%,1.25%,1.57%,0.97%,7.09%,9.38%,9.04%,8.43%,-,0.20%,0.81%,0.67%,-0.26%,-0.37%,6.68%,-,-,-,-,-,-,1.01%,-0.23%,-,-,-,-,-,-,-,-,-,-,0.80%,0.11%,-,-,-,-,-,-,-,-,-,-,8/22,7/22,10/22,9/20,8/22,4/18,4/17,6/17,2/17,1/6,2.52,0.02,2.13,5.26,3.24,-,-,-,95.91%,21,-,4.09%,-,27.604,0%,12-May-21,27.604,12-May-21,26.1217,18-May-20,3.19%,8.94%,15.37%,25.41%,-
SBI Banking and PSU Fund - Regular Plan - GrowthBanking and PSU Fund,2,14391.19,0.14%,0.63%,1.13%,1.33%,0.91%,6.59%,8.87%,8.52%,7.86%,8.43%,0.21%,0.85%,0.71%,-0.23%,-0.34%,0.01%,-,-,-,-,-,-,1.06%,-0.12%,-,-,-,-,-,-,-,-,-,-,0.95%,0.13%,-,-,-,-,-,-,-,-,-,-,8/22,8/22,10/22,10/20,8/22,4/18,7/17,7/17,2/17,0/0,3.62,1.69,1.23,-2.7,0.03,-,-,-,97.30%,104,-,2.70%,-,17.6699,0.01%,12-May-21,17.6699,12-May-21,16.6154,18-May-20,3.17%,9.70%,16.60%,26.64%,-
Baroda Banking & PSU Bond Fund - Plan B (Direct) - GrowthBanking and PSU Fund,-,287.61,0.11%,0.59%,1.74%,-,1.08%,-,-,-,-,-,0.22%,0.74%,0.72%,-0.20%,-0.33%,0.34%,1.10%,1.00%,-0.02%,0.07%,0.92%,1.50%,0.97%,0.03%,2.43%,1.25%,4.23%,2.28%,2.38%,3.26%,2.05%,1.93%,2.11%,1.55%,0.99%,10.56%,9.98%,6.62%,5.95%,10.85%,8.36%,9.21%,8.28%,-,-,-,22/22,22/22,1/22,14/20,5/22,5/18,1/17,1/17,1/17,0/0,2.3,1.2,2.12,-1.09,0.04,-,-,-,84.15%,6,-,15.85%,-,16.3548,0%,12-May-21,16.3548,12-May-21,15.5057,18-May-20,2.94%,8.17%,14.09%,23.53%,-
Baroda Banking & PSU Bond Fund - Plan A - GrowthBanking and PSU Fund,-,287.61,0.11%,0.55%,1.63%,-,1.03%,-,-,-,-,-,0.29%,0.99%,0.32%,-0.09%,-0.26%,0.23%,0.83%,1.00%,0.22%,-0.21%,0.99%,1.18%,1.28%,-0.17%,2.05%,1.36%,3.60%,2.27%,2.28%,2.68%,2.83%,2.93%,2.32%,1.15%,1.06%,9.73%,11.21%,5.54%,5.44%,9.47%,8.70%,10.53%,6.05%,-,-,-,22/22,22/22,1/22,13/20,4/22,5/18,1/17,1/17,1/17,0/0,2.58,1.34,1.83,-1.97,0.04,-,-,-,89.76%,133,-,10.24%,-,16.2465,0%,12-May-21,16.2465,12-May-21,15.4105,18-May-20,3.13%,8.35%,13.91%,22.79%,-
