Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Nippon India Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,3,2531.52,0.15%,0.75%,1.95%,2.58%,1.03%,8.52%,8.29%,8.30%,8.10%,-,0.19%,0.64%,0.88%,-0.10%,-0.11%,0.34%,1.03%,1.28%,0.38%,0.21%,0.85%,1.89%,0.73%,-0.46%,2.34%,1.36%,3.69%,1.95%,2.69%,2.20%,-6.51%,2.81%,2.91%,0.87%,0.27%,9.83%,0.86%,5.17%,6.67%,10.58%,7.22%,10.73%,6.97%,9.51%,9.12%,3.75%,5/22,5/22,10/21,3/21,8/22,1/20,15/19,9/15,0/0,0/0,2.46,-,1.87,-,0.04,-,-,-,-,-,-,100.00%,-,2640.1053,0.01%,12-May-21,2640.1053,12-May-21,2446.733,18-May-20,3.66%,8.18%,13.60%,23.91%,-
Kotak Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,3,9310.41,0.14%,0.60%,1.72%,2.03%,0.91%,7.91%,8.73%,8.74%,8.43%,-,0.21%,0.69%,0.93%,-0.06%,-0.07%,0.39%,1.08%,1.33%,0.42%,0.26%,0.90%,1.94%,0.82%,-0.30%,2.45%,1.51%,3.80%,2.02%,2.78%,2.31%,-6.38%,2.90%,2.99%,0.96%,0.52%,10.31%,1.30%,5.59%,7.26%,11.49%,8.30%,11.06%,7.19%,-,-,-,6/22,6/22,14/21,4/21,9/22,1/20,16/19,10/15,0/0,0/0,1.55,0.46,3.02,2.13,0.1,-,-,-,93.56%,63,-,6.44%,-,2502.9798,0%,12-May-21,2502.9798,12-May-21,2328.7935,18-May-20,3.91%,9.82%,14.58%,-,-
Nippon India Corporate Bond Fund - GrowthCorporate Bond Fund,3,2531.52,0.14%,0.72%,1.84%,2.38%,0.98%,8.09%,7.86%,7.86%,7.63%,8.34%,0.20%,0.56%,0.69%,-0.07%,0.06%,0.42%,0.68%,1.24%,0.07%,-0.25%,1.18%,1.65%,0.84%,0.09%,2.24%,1.57%,3.39%,1.82%,1.96%,2.70%,1.95%,2.51%,2.40%,1.45%,0.96%,9.59%,9.53%,7.36%,6.90%,9.32%,8.98%,11.34%,6.20%,9.36%,8.94%,5.40%,19/22,14/22,9/21,3/21,17/22,2/20,12/19,9/15,3/14,1/11,2.46,-,2.24,-,5.37,-,-,-,97.39%,170,-,2.61%,-,3011.0849,0%,12-May-21,3011.0849,12-May-21,2795.7284,18-May-20,3.84%,8.55%,13.28%,22.44%,-
Kotak Corporate Bond Fund - GrowthCorporate Bond Fund,3,9310.41,0.14%,0.57%,1.62%,1.85%,0.87%,7.56%,8.41%,8.42%,8.14%,8.53%,-,-,-,-,-,-,-,-,-,-,-,-,0.89%,0.18%,2.31%,1.65%,3.47%,1.89%,2.04%,2.77%,2.02%,2.58%,2.47%,1.53%,1.10%,9.91%,9.83%,7.67%,7.16%,9.54%,9.37%,11.97%,6.48%,-,-,-,19/22,14/22,7/21,2/21,17/22,2/20,12/19,7/15,1/14,0/0,2.19,0.52,2.26,1.85,0.09,-,-,-,93.70%,95,-,6.30%,-,2925.0469,0%,12-May-21,2925.0469,12-May-21,2724.4801,18-May-20,3.66%,9.49%,15.27%,25.09%,-
HDFC Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,3,26669.57,0.13%,0.68%,1.77%,2.22%,1.07%,8.58%,10.00%,9.55%,8.74%,-,0.19%,0.54%,0.67%,-0.09%,0.03%,0.39%,0.66%,1.21%,0.04%,-0.28%,1.15%,1.62%,1.10%,0.24%,2.56%,1.49%,4.95%,2.11%,1.90%,2.44%,2.21%,2.61%,2.84%,1.59%,1.32%,11.77%,9.59%,6.91%,6.51%,10.16%,8.85%,10.85%,8.29%,10.55%,9.53%,3.83%,7/22,7/22,2/21,2/21,6/22,3/20,5/19,3/15,2/14,2/11,1.9,-,2.89,-,5.3,-,-,-,97.18%,83,-,2.82%,-,87.6988,0.02%,12-May-21,87.6988,12-May-21,80.6874,18-May-20,3.41%,8.57%,13.87%,22.45%,-
HDFC Corporate Bond Fund - GrowthCorporate Bond Fund,3,26669.57,0.12%,0.66%,1.69%,2.06%,1.03%,8.26%,9.75%,9.35%,8.58%,8.96%,0.21%,0.63%,0.74%,-0.17%,-0.23%,0.36%,0.85%,1.05%,0.14%,0.12%,1.03%,1.45%,1.21%,-0.10%,2.86%,1.02%,4.77%,2.27%,1.60%,2.11%,1.76%,2.50%,2.57%,1.42%,1.09%,11.52%,8.41%,6.22%,6.17%,10.01%,-,-,-,-,-,-,8/22,8/22,5/21,5/21,6/22,3/20,5/19,4/15,4/14,0/0,2.21,0.55,1.81,0.72,0.07,-,-,-,85.34%,18,-,14.66%,-,86.8454,0.02%,12-May-21,86.8454,12-May-21,80.0259,18-May-20,3.61%,8.09%,12.55%,21.11%,51.06%
ICICI Prudential Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,5,19705.74,0.12%,0.55%,1.52%,2.21%,0.78%,8.37%,9.45%,9.08%,8.43%,-,0.22%,0.66%,0.78%,-0.14%,-0.21%,0.39%,0.87%,1.07%,0.16%,0.14%,1.05%,1.48%,1.25%,-0.03%,2.94%,1.10%,4.85%,2.34%,1.68%,2.19%,1.84%,2.58%,2.65%,1.50%,1.20%,11.86%,8.79%,6.55%,6.50%,10.34%,-,-,-,-,-,-,17/22,2/22,1/21,9/21,2/22,4/20,10/19,7/15,7/14,0/0,4.32,0.85,0.74,-1.55,0.04,-,-,-,93.56%,63,-,6.44%,-,60.348,0.02%,12-May-21,60.348,12-May-21,56.3825,18-May-20,3.36%,7.55%,12.59%,22.02%,55.30%
Axis Corporate Debt Fund - Direct Plan - GrowthCorporate Bond Fund,4,4089.12,0.10%,0.77%,1.79%,2.41%,1.05%,10.12%,8.45%,8.92%,-,-,0.24%,0.77%,0.87%,-0.49%,-0.15%,0.59%,0.80%,1.39%,0.06%,-0.45%,1.20%,1.84%,0.96%,0.22%,2.40%,1.96%,4.06%,2.38%,2.16%,3.01%,-1.95%,2.67%,2.65%,1.66%,1.19%,11.45%,6.06%,7.77%,2.70%,-,-,-,-,-,-,-,18/22,2/22,1/21,8/21,2/22,4/20,10/19,8/15,8/14,0/0,2.21,0.68,2.66,2.09,0.09,-,-,-,86.85%,11,-,13.15%,-,57.4547,0.02%,12-May-21,57.4547,12-May-21,53.8594,18-May-20,3.57%,9.31%,15.01%,24.64%,58.41%
SBI Corporate Bond Fund - Direct Plan - GrowthCorporate Bond Fund,2,29645.85,0.10%,0.67%,1.56%,1.69%,0.98%,7.32%,9.56%,-,-,-,0.25%,0.79%,0.89%,-0.47%,-0.13%,0.61%,0.83%,1.41%,0.08%,-0.42%,1.22%,1.85%,1.04%,0.39%,2.57%,2.12%,4.26%,2.57%,2.35%,3.20%,-1.76%,2.86%,2.85%,1.89%,1.44%,12.25%,6.87%,8.70%,3.11%,-,-,-,-,-,-,-,3/22,12/22,10/21,5/21,7/22,5/20,4/19,4/15,1/14,3/11,1.81,0.48,2.36,1.40,0.09,-,-,-,99.88%,41,-,0.12%,-,10.0652,0.09%,09-May-11,,15-May-21,,15-May-21,3.28%,8.82%,14.11%,23.29%,-
SBI Corporate Bond Fund - Regular Plan - GrowthCorporate Bond Fund,1,29645.85,0.09%,0.63%,1.44%,1.45%,0.93%,6.80%,9.02%,-,-,-,0.30%,0.91%,0.90%,-0.35%,-0.33%,0.31%,0.97%,1.58%,-0.24%,-0.44%,1.30%,2.12%,1.11%,0.27%,2.60%,1.53%,5.00%,2.14%,1.93%,2.47%,2.24%,2.64%,2.87%,1.62%,1.38%,11.94%,9.74%,7.04%,6.64%,10.27%,8.96%,10.94%,8.41%,-,-,-,3/22,11/22,12/21,6/21,7/22,5/20,4/19,3/15,2/14,0/0,2.54,0.81,2.22,1.16,0.07,-,-,-,88.12%,168,-,11.88%,-,82.4364,0.01%,12-May-21,82.4364,12-May-21,75.5471,18-May-20,3.26%,8.64%,12.91%,-,-
