Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
DSP Credit Risk Fund - Direct Plan - GrowthCredit Risk Fund,2,278.0,0.27%,0.64%,1.49%,2.50%,0.79%,7.62%,5.11%,3.01%,4.99%,-,0.25%,0.68%,0.51%,-0.25%,0.16%,0.59%,0.89%,0.95%,0.45%,-0.21%,0.83%,1.32%,0.93%,0.19%,2.43%,1.43%,1.10%,2.03%,2.24%,2.30%,1.86%,2.38%,2.12%,1.09%,6.60%,-0.32%,4.00%,8.32%,8.27%,8.65%,9.21%,11.85%,8.49%,11.02%,1.86%,-,2/19,1/19,2/19,1/19,1/19,1/19,10/16,7/16,5/15,0/0,1.74,0.37,2.78,2.67,0.13,-,-,-,30.24%,9,-,69.76%,-,1542.1011,0%,12-May-21,1542.1011,12-May-21,1440.8595,18-May-20,10.40%,10.02%,11.67%,19.08%,-
DSP Credit Risk Fund - Regular Plan - GrowthCredit Risk Fund,2,278.0,0.26%,0.57%,1.29%,2.10%,0.70%,6.75%,4.27%,2.20%,4.23%,6.75%,0.28%,0.77%,0.59%,-0.17%,0.24%,0.67%,0.97%,1.02%,0.53%,-0.13%,0.91%,1.39%,1.05%,0.46%,2.68%,1.67%,1.32%,2.25%,2.45%,2.52%,2.07%,2.58%,2.39%,1.40%,6.73%,0.28%,4.74%,9.10%,9.13%,9.56%,10.15%,12.83%,9.36%,-,-,-,4/18,1/18,2/18,1/18,1/18,1/18,10/16,7/16,7/15,0/0,1.87,0.39,1.99,1.42,0.1,-,-,-,85.22%,44,-,13.93%,0.85%,25.5579,0.03%,12-May-21,25.5579,12-May-21,23.1517,18-May-20,9.36%,9.06%,10.40%,16.82%,-
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct - GrowthCredit Risk Fund,-,21.94,0.24%,0.97%,2.87%,-20.72%,1.37%,-20.67%,-,-,-,-,0.25%,0.84%,0.76%,0.35%,0.32%,0.47%,0.81%,0.98%,0.55%,0.37%,1.07%,0.99%,1.09%,1.40%,2.32%,2.16%,1.18%,2.12%,2.26%,2.01%,-2.29%,2.27%,2.32%,1.30%,2.04%,9.69%,9.38%,6.54%,6.77%,9.49%,8.90%,10.93%,7.40%,9.43%,8.86%,0.55%,11/19,15/19,1/19,2/19,13/19,2/19,7/16,8/16,7/15,0/0,4.85,0.29,-0.27,-3.02,-0.04,-,-,-,64.30%,15,-,35.70%,-,23.8348,0.03%,12-May-21,23.8348,12-May-21,21.7346,18-May-20,8.68%,9.96%,11.78%,18.86%,-
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct - GrowthCredit Risk Fund,-,28.11,0.24%,0.97%,2.87%,-20.72%,1.37%,-20.67%,-,-,-,-,0.29%,0.92%,0.85%,0.43%,0.41%,0.56%,0.90%,1.06%,0.64%,0.47%,1.16%,1.07%,1.22%,1.67%,2.60%,2.44%,1.45%,2.39%,2.54%,2.34%,-1.96%,2.56%,2.59%,1.55%,2.29%,10.40%,10.10%,7.58%,7.79%,10.44%,9.79%,11.99%,8.35%,-,-,-,12/18,16/18,1/18,2/18,14/18,2/18,7/16,8/16,6/15,0/0,3.6,0.01,-0.34,-1.27,-1.85,-,-,-,91.93%,1,-,8.07%,-,36.3768,0.02%,12-May-21,36.3768,12-May-21,33.0878,18-May-20,8.28%,9.13%,10.46%,16.20%,-
HDFC Credit Risk Debt Fund - Direct Plan - GrowthCredit Risk Fund,4,7367.64,0.23%,1.08%,2.47%,4.32%,1.56%,13.00%,10.34%,9.39%,9.00%,-,0.69%,1.15%,3.20%,0.26%,0.33%,0.18%,0.53%,0.64%,0.46%,0.43%,4.04%,0.76%,1.85%,3.85%,1.41%,5.06%,-50.93%,6.20%,3.66%,2.00%,-47.64%,1.62%,-3.85%,-0.06%,1.90%,6.54%,8.81%,6.14%,6.56%,10.38%,9.03%,11.09%,7.21%,9.76%,8.87%,2.54%,9/18,2/18,3/18,3/18,2/18,3/18,16/16,16/16,15/15,0/0,35.44,-0.03,-0.94,-33.06,12.53,-,-,-,85.22%,44,-,13.93%,0.85%,34.5881,0.02%,12-May-21,34.5881,12-May-21,31.6577,18-May-20,7.32%,-18.02%,-34.22%,-46.55%,-
Franklin India Credit Risk Fund - GrowthCredit Risk Fund,2,2571.76,0.22%,1.65%,5.40%,10.19%,2.54%,16.24%,4.26%,5.52%,6.77%,-,0.70%,1.17%,3.22%,0.28%,0.35%,0.20%,0.56%,0.66%,0.48%,0.46%,4.06%,0.79%,1.89%,3.92%,1.48%,5.13%,-50.90%,6.28%,3.73%,-1.93%,-47.61%,1.68%,-3.79%,-0.01%,2.29%,7.61%,9.92%,7.01%,7.56%,11.83%,10.49%,11.74%,7.49%,-,-,-,9/19,2/19,3/19,3/19,2/19,3/19,16/16,16/16,15/15,0/0,11.17,0.58,-1.21,-16.44,-0.23,-,-,-,30.24%,9,-,69.76%,-,19.4579,0.02%,12-May-21,19.4579,12-May-21,17.2669,18-May-20,7.17%,-18.21%,-34.41%,-46.80%,-
Franklin India Credit Risk Fund - Direct - GrowthCredit Risk Fund,2,2571.76,0.22%,1.65%,5.46%,10.40%,2.54%,16.81%,4.86%,6.18%,7.51%,-,0.15%,0.74%,4.35%,0.74%,0.74%,0.70%,0.78%,1.14%,1.53%,0.78%,1.64%,1.79%,0.89%,5.83%,2.69%,4.13%,-3.51%,-0.96%,0.83%,0.73%,-1.11%,1.61%,2.19%,1.12%,2.87%,11.31%,9.14%,6.10%,7.56%,11.96%,10.02%,10.34%,-,-,-,-,3/18,3/18,7/18,6/18,3/18,4/18,1/16,1/16,2/15,0/0,3.41,0.87,0.2,-3.69,0.01,-,-,-,97.13%,1,-,2.87%,-,17.8043,0.02%,12-May-21,17.8043,12-May-21,16.1657,18-May-20,5.50%,10.75%,16.03%,25.38%,-
UTI Credit Risk Fund (Segregated - 17022020) - Direct Plan - GrowthCredit Risk Fund,-,44.3,0.22%,0.99%,2.87%,-20.20%,1.36%,-59.17%,-,-,-,-,0.18%,0.80%,4.41%,0.79%,0.80%,0.76%,0.84%,1.20%,1.58%,0.85%,1.70%,1.85%,0.98%,6.02%,2.87%,4.32%,-3.33%,-0.78%,1.06%,0.96%,-0.91%,1.82%,2.43%,1.36%,2.67%,10.80%,8.67%,5.28%,6.57%,10.90%,8.91%,9.83%,-,-,-,-,3/19,3/19,7/19,5/19,3/19,4/19,1/16,1/16,2/15,0/0,3.57,0.73,0.46,-2.02,0.02,-,-,-,91.93%,1,-,8.07%,-,18.4676,0.02%,12-May-21,18.4676,12-May-21,16.4678,18-May-20,5.45%,5.40%,6.41%,11.85%,-
HDFC Credit Risk Debt Fund - Regular Plan - GrowthCredit Risk Fund,4,7367.64,0.22%,1.04%,2.34%,4.05%,1.51%,12.44%,9.84%,8.83%,8.27%,-,0.19%,0.54%,0.74%,0.06%,-0.07%,0.31%,0.70%,1.13%,0.62%,0.44%,3.40%,0.81%,0.72%,0.56%,2.13%,4.81%,-4.42%,2.32%,1.63%,-0.36%,-1.10%,2.09%,2.10%,1.14%,1.12%,7.11%,9.13%,4.91%,5.46%,-,-,-,-,-,-,-,18/18,5/18,17/18,10/18,4/18,5/18,14/16,14/16,13/15,0/0,,,,,,-,-,-,95.48%,45,-,4.52%,-,16.4668,0.01%,12-May-21,16.4668,12-May-21,15.1124,18-May-20,5.57%,10.54%,15.49%,23.79%,-
UTI Credit Risk Fund (Segregated - 17022020) - Regular Plan - GrowthCredit Risk Fund,-,44.3,0.21%,0.98%,2.84%,-20.42%,1.36%,-59.62%,-,-,-,-,0.21%,0.60%,0.81%,0.11%,-0.01%,0.37%,0.76%,1.19%,0.91%,0.51%,3.46%,0.88%,0.82%,0.75%,2.34%,5.24%,-4.23%,2.51%,1.80%,-0.19%,-0.95%,2.27%,2.25%,1.28%,1.50%,8.28%,9.99%,6.16%,6.37%,-,-,-,-,-,-,-,19/19,5/19,17/19,9/19,6/19,5/19,14/16,14/16,13/15,0/0,,,,,,-,-,-,87.72%,20,-,12.28%,-,22.6054,0.01%,12-May-21,22.6054,12-May-21,19.319,21-May-20,4.82%,4.20%,4.64%,8.75%,-
