Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
IIFL Dynamic Bond Fund - Direct Plan - GrowthDynamic Bond Fund,3,687.13,0.30%,1.09%,2.32%,2.94%,1.59%,8.58%,7.96%,7.83%,7.51%,-,0.28%,0.81%,0.82%,-0.99%,-0.31%,0.52%,0.43%,1.26%,-0.18%,-1.47%,0.45%,0.43%,1.09%,-1.32%,2.20%,0.08%,2.84%,3.29%,1.29%,1.42%,2.37%,2.52%,2.88%,1.03%,1.02%,9.65%,11.31%,4.08%,6.17%,-,-,-,-,-,-,-,3/30,1/30,1/30,1/30,1/30,1/30,25/27,20/25,15/24,12/18,2.99,0.78,1.65,0.29,0.06,-,-,-,94.29%,81,-,5.71%,-,2736.6578,0.06%,12-May-21,2739.3275,05-Jan-21,2595.7932,18-May-20,7.16%,7.28%,9.96%,18.36%,-
IIFL Dynamic Bond Fund - GrowthDynamic Bond Fund,3,687.13,0.29%,1.06%,2.23%,2.72%,1.56%,8.05%,7.35%,7.19%,6.90%,-,0.32%,0.92%,0.93%,-0.90%,-0.22%,0.62%,0.52%,1.35%,-0.08%,-1.39%,0.53%,0.51%,1.24%,-1.01%,2.50%,0.34%,3.06%,3.42%,1.49%,1.72%,2.66%,2.78%,3.13%,1.27%,0.98%,9.50%,11.18%,3.97%,4.97%,15.65%,5.51%,-,-,-,-,-,2/28,1/28,1/28,1/28,1/28,1/28,24/26,20/24,13/22,0/0,3.93,0.34,0.52,0.03,0.06,-,-,-,-,-,-,100.00%,-,2267.8866,0.03%,12-May-21,2267.8866,12-May-21,2140.9778,18-May-20,7.39%,6.78%,8.91%,16.08%,46.17%
UTI Dynamic Bond Fund (Segregated - 17022020) - Regular Plan - GrowthDynamic Bond Fund,-,6.32,0.23%,1.00%,2.86%,-20.45%,1.37%,-16.98%,-,-,-,-,0.36%,1.02%,0.61%,-1.22%,-0.47%,0.73%,0.51%,1.65%,0.12%,-2.03%,0.92%,1.29%,1.38%,-1.83%,2.84%,0.05%,5.16%,3.34%,1.40%,2.95%,3.43%,2.61%,4.62%,1.41%,5.90%,-1.86%,6.32%,8.30%,8.50%,10.00%,10.25%,12.61%,3.90%,9.85%,8.16%,3.38%,8/28,18/28,6/28,3/28,19/28,2/28,23/26,22/24,20/22,0/0,2.57,0.01,2.14,5.41,4.51,-,-,-,59.06%,16,-,40.94%,-,2102.2884,0.02%,12-May-21,2102.2884,12-May-21,2005.0158,18-May-20,3.89%,6.60%,9.46%,14.50%,-
Franklin India Dynamic Accrual Fund - GrowthDynamic Bond Fund,1,1446.83,0.23%,1.26%,4.67%,8.27%,2.24%,10.23%,3.88%,5.57%,6.89%,7.90%,0.39%,1.09%,0.70%,-1.16%,-0.40%,0.80%,0.58%,1.72%,0.19%,-1.97%,0.99%,1.35%,1.49%,-1.59%,3.05%,0.25%,5.36%,3.55%,1.59%,3.38%,3.60%,2.75%,4.82%,1.61%,6.06%,-1.06%,7.28%,9.30%,9.49%,10.95%,11.33%,13.17%,4.55%,-,-,-,9/30,19/30,7/30,4/30,18/30,3/30,24/27,23/25,22/24,15/18,1.68,0.87,1.36,-2.05,0.03,-,-,-,59.06%,16,-,40.94%,-,1207.933,0.04%,12-May-21,1207.933,12-May-21,1140.9172,18-May-20,3.85%,7.90%,12.40%,20.80%,-
Franklin India Dynamic Accrual Fund - Direct - GrowthDynamic Bond Fund,1,1446.83,0.23%,1.26%,4.74%,8.56%,2.24%,10.96%,4.67%,6.44%,7.81%,-,0.38%,0.95%,2.20%,-2.02%,0.13%,0.32%,0.41%,2.17%,-0.51%,-1.21%,1.70%,1.73%,1.34%,-0.47%,2.81%,0.68%,4.26%,3.74%,2.28%,2.70%,3.30%,2.38%,3.45%,1.53%,1.84%,12.24%,11.02%,6.95%,5.80%,17.60%,6.57%,19.62%,9.57%,-,-,-,9/30,19/30,7/30,4/30,18/30,3/30,24/27,23/25,22/24,15/18,2.7,1.06,0.69,-3.41,0.02,-,-,-,98.00%,10,-,2.00%,-,1192.8108,0.03%,12-May-21,1192.8108,12-May-21,1132.4082,18-May-20,4.07%,10.46%,16.80%,27.20%,-
Nippon India Dynamic Bond Fund - Direct Plan - GrowthDynamic Bond Fund,2,2706.39,0.20%,0.31%,2.25%,1.26%,1.22%,5.45%,9.36%,8.94%,8.08%,-,0.40%,0.98%,2.24%,-1.99%,0.16%,0.35%,0.45%,2.20%,-0.48%,-1.17%,1.73%,1.76%,1.38%,-0.37%,2.91%,0.79%,4.38%,3.85%,2.44%,2.90%,3.51%,2.57%,3.65%,1.76%,1.55%,11.49%,10.27%,6.16%,5.10%,16.71%,5.91%,19.36%,9.59%,9.94%,8.90%,4.54%,6/28,11/28,8/28,6/28,10/28,3/28,4/26,6/24,1/22,0/0,3.9,1.46,1.57,-1.18,0.04,-,-,-,-,-,-,100.00%,-,1011.4809,0.02%,01-Jan-09,,15-May-21,,15-May-21,3.89%,6.25%,8.75%,13.06%,40.85%
Nippon India Dynamic Bond Fund - GrowthDynamic Bond Fund,2,2706.39,0.20%,0.28%,2.14%,1.05%,1.17%,5.00%,8.76%,8.27%,7.41%,8.51%,0.29%,0.71%,1.11%,-0.22%,0.14%,0.59%,0.76%,0.81%,0.23%,-0.17%,1.27%,1.53%,1.00%,0.72%,2.18%,1.80%,2.25%,2.05%,-6.06%,2.78%,2.12%,0.68%,3.75%,1.57%,0.11%,11.49%,11.25%,7.22%,5.61%,13.04%,7.48%,10.44%,8.78%,9.66%,9.29%,5.73%,5/30,9/30,9/30,7/30,12/30,4/30,4/27,5/25,1/24,1/18,3.5,0.95,1.58,-0.11,0.06,-,-,-,94.93%,18,-,5.07%,-,38.6703,0.06%,12-May-21,38.7088,05-Jan-21,36.978,26-Aug-20,3.89%,6.24%,8.74%,13.04%,40.83%
UTI Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - GrowthDynamic Bond Fund,-,6.32,0.19%,0.95%,2.82%,-20.30%,1.34%,-16.81%,-,-,-,-,0.29%,0.71%,1.11%,-0.22%,0.14%,0.58%,0.76%,0.81%,0.23%,-0.18%,1.27%,1.53%,1.00%,0.72%,2.17%,1.79%,2.25%,2.05%,-6.06%,2.78%,2.12%,0.68%,3.75%,1.57%,0.36%,12.23%,11.99%,7.83%,6.19%,13.76%,8.23%,11.21%,9.25%,-,-,-,18/28,4/28,15/28,5/28,3/28,4/28,19/26,16/24,18/22,0/0,3.54,1.34,1.26,-2.18,0.03,-,-,-,97.11%,1,-,2.89%,-,36.2433,0.06%,12-May-21,36.4438,05-Jan-21,34.9593,26-Aug-20,3.62%,7.33%,11.42%,18.97%,-
Mahindra Manulife Dynamic Bond Yojana - Direct Plan - GrowthDynamic Bond Fund,3,132.78,0.15%,0.58%,1.24%,2.04%,0.84%,5.97%,6.85%,-,-,-,0.31%,0.74%,1.13%,-0.18%,0.18%,0.64%,0.81%,0.86%,0.28%,-0.12%,1.31%,1.57%,1.06%,0.84%,2.33%,1.94%,2.39%,2.19%,-5.92%,2.93%,2.27%,0.82%,3.90%,1.70%,1.00%,5.60%,7.32%,1.78%,-,-,-,-,-,-,-,-,1/30,2/30,4/30,5/30,2/30,5/30,17/27,17/25,14/24,0/0,4.73,1.44,0.41,-5.25,0.01,-,-,-,87.60%,81,-,12.40%,-,29.2509,0.04%,12-May-21,29.4094,05-Jan-21,27.6489,18-May-20,3.48%,8.43%,12.93%,19.30%,-
ICICI Prudential All Seasons Bond Fund - Direct Plan - GrowthDynamic Bond Fund,4,5652.43,0.15%,0.80%,1.92%,2.81%,1.24%,9.59%,11.10%,10.15%,9.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.13%,-21.40%,-,-,-,-,-,-,1.39%,6.81%,8.45%,2.22%,-,-,-,-,-,-,-,-,1/28,2/28,4/28,4/28,2/28,5/28,18/26,18/24,16/22,0/0,3.13,0.87,1.1,-1.74,0.04,-,-,-,78.53%,7,-,21.47%,-,35.3624,0.03%,12-May-21,35.3624,12-May-21,33.0112,18-May-20,3.63%,9.61%,15.48%,24.80%,66.08%
