Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
SBI Fixed Maturity Plan (FMP) - Series 34 - Direct Plan - GrowthFixed Maturity Plans - Debt,-,21.4,0.24%,0.54%,2.61%,1.59%,1.43%,5.54%,-,-,-,-,0.11%,0.35%,0.38%,0.32%,0.11%,0.34%,0.37%,0.61%,0.34%,0.43%,0.73%,1.23%,0.60%,0.97%,1.78%,2.06%,4.01%,2.16%,2.00%,2.79%,1.60%,-,-,-,1.47%,8.92%,9.92%,2.70%,-,-,-,-,-,-,-,-,17/488,36/487,1/485,1/485,35/487,1/485,437/445,0/0,0/0,0/0,1.32,0.28,3.31,2.73,0.16,-,-,-,16.96%,3,-,83.04%,-,1253929.7486,1.51%,31-Mar-21,1253929.7486,31-Mar-21,1234948.6848,31-Dec-20,5.21%,5.21%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 34 - Regular Plan - GrowthFixed Maturity Plans - Debt,-,21.4,0.24%,0.52%,2.55%,1.46%,1.40%,5.28%,-,-,-,-,0.11%,0.37%,0.41%,0.35%,0.11%,0.33%,0.45%,0.71%,0.41%,0.42%,0.74%,1.09%,0.60%,0.97%,1.78%,2.06%,4.01%,2.16%,2.10%,3.02%,1.83%,-,-,-,1.47%,8.92%,10.54%,3.15%,-,-,-,-,-,-,-,-,12/488,31/487,1/485,1/485,27/487,1/485,436/445,0/0,0/0,0/0,1.32,0.28,3.4,2.83,0.16,-,-,-,92.37%,23,-,7.63%,-,1063098.3071,1.24%,31-Mar-21,1063098.3071,31-Mar-21,1049898.1291,31-Dec-20,5.09%,5.09%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 41 - Direct Plan - GrowthFixed Maturity Plans - Debt,-,730.94,0.17%,0.99%,-,-,1.24%,-,-,-,-,-,0.11%,0.53%,0.65%,0.26%,-0.01%,0.18%,0.76%,0.81%,0.31%,0.48%,1.04%,1.74%,0.59%,0.99%,1.81%,1.64%,3.88%,2.34%,2.26%,2.71%,1.80%,-,-,-,1.48%,8.83%,4.83%,-,-,-,-,-,-,-,-,-,35/488,37/487,2/485,2/485,47/487,2/485,434/445,0/0,0/0,0/0,1.37,0.29,3.19,2.66,0.15,-,-,-,84.61%,9,5.12%,10.27%,-,1115670.6797,1.15%,31-Mar-21,1115670.6797,31-Mar-21,1091930.8334,30-Jun-20,9.84%,11.71%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 41 - Direct Plan - GrowthFixed Maturity Plans - Debt,-,0.0,0.17%,0.99%,-,-,1.24%,-,-,-,-,-,0.31%,1.05%,2.06%,-2.18%,-0.24%,0.81%,0.28%,2.59%,-1.77%,-1.02%,1.43%,0.59%,0.63%,1.06%,1.89%,1.72%,3.96%,2.42%,2.33%,2.79%,1.87%,-,-,-,1.48%,8.83%,5.55%,-,-,-,-,-,-,-,-,-,34/488,39/487,2/485,2/485,47/487,2/485,434/445,0/0,0/0,0/0,1.48,0.32,3.08,2.66,0.14,-,-,-,90.22%,12,-,9.75%,-,873968.0432,0.93%,31-Mar-21,922983.0983,30-Sep-20,865807.7318,31-Dec-20,9.50%,11.04%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 41 - Regular Plan - GrowthFixed Maturity Plans - Debt,-,730.94,0.17%,0.97%,-,-,1.22%,-,-,-,-,-,0.32%,1.07%,2.08%,-2.17%,-0.22%,0.83%,0.30%,2.61%,-1.75%,-1.00%,1.45%,0.60%,0.62%,0.99%,1.77%,1.91%,4.18%,2.24%,2.22%,2.80%,1.96%,3.31%,-,-,1.61%,10.47%,9.85%,-,-,-,-,-,-,-,-,-,19/488,26/487,4/485,5/485,32/487,3/485,424/445,0/0,0/0,0/0,1.55,0.34,3.07,2.72,0.14,-,-,-,94.16%,21,0.09%,5.75%,-,873968.0432,0.93%,31-Mar-21,922983.0983,30-Sep-20,865807.7318,31-Dec-20,9.34%,11.45%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 41 - Regular Plan - GrowthFixed Maturity Plans - Debt,-,0.0,0.17%,0.97%,-,-,1.22%,-,-,-,-,-,0.16%,0.56%,0.57%,0.59%,0.70%,0.68%,0.67%,1.00%,0.77%,0.92%,1.12%,0.99%,0.60%,0.97%,1.69%,1.83%,4.28%,2.05%,2.16%,2.85%,1.84%,3.14%,-,-,1.58%,10.47%,10.75%,-,-,-,-,-,-,-,-,-,24/488,33/487,4/485,6/485,38/487,4/485,426/445,0/0,0/0,0/0,3.19,0.35,0.99,1.06,0.09,-,-,-,94.13%,13,-,5.87%,-,10.1659,4.09%,05-May-21,10.1659,05-May-21,9.2028,18-May-20,9.18%,11.11%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 33 - Direct Plan - GrowthFixed Maturity Plans - Debt,-,22.98,0.16%,0.84%,1.97%,2.00%,1.21%,6.45%,-,-,-,-,0.15%,0.53%,0.57%,0.56%,0.64%,0.64%,0.63%,0.90%,0.66%,0.82%,1.13%,0.99%,0.62%,1.03%,1.75%,1.89%,4.35%,2.11%,2.23%,2.91%,1.91%,3.20%,-,-,1.59%,10.10%,10.52%,-,-,-,-,-,-,-,-,-,11/488,14/487,5/485,4/485,15/487,4/485,438/445,0/0,0/0,0/0,1.53,0.33,3.37,3.17,0.15,-,-,-,48.00%,6,-,52.00%,-,10.0906,4.1%,05-May-21,10.0906,05-May-21,9.149,18-May-20,8.83%,10.42%,-,-,-
SBI Fixed Maturity Plan (FMP) - Series 33 - Regular Plan - GrowthFixed Maturity Plans - Debt,-,22.98,0.15%,0.82%,1.90%,1.87%,1.18%,6.19%,-,-,-,-,0.15%,0.51%,0.55%,0.54%,0.62%,0.63%,0.62%,0.89%,0.65%,0.80%,1.11%,0.97%,0.62%,0.90%,1.84%,2.03%,3.96%,2.03%,2.12%,2.99%,1.86%,-,-,-,1.73%,10.43%,10.85%,-,-,-,-,-,-,-,-,-,18/488,32/487,9/485,9/485,39/487,5/485,417/445,0/0,0/0,0/0,2.0,0.46,2.92,3.07,0.13,-,-,-,96.68%,15,-,3.32%,-,1236.6795,0.02%,12-May-21,1236.6795,12-May-21,1093.9527,28-May-20,8.74%,11.39%,-,-,-
DSP FMP - Series 243 - 36M - Direct Plan - GrowthFixed Maturity Plans - Debt,-,258.11,0.15%,0.65%,1.87%,3.94%,0.89%,10.89%,9.23%,-,-,-,0.15%,0.53%,0.54%,0.57%,0.68%,0.65%,0.65%,0.98%,0.74%,0.89%,1.10%,0.97%,0.65%,0.96%,1.90%,2.10%,4.02%,2.10%,2.19%,3.05%,1.92%,-,-,-,1.54%,10.23%,10.48%,1.19%,-,-,-,-,-,-,-,-,20/488,32/487,9/485,10/485,42/487,5/485,417/445,0/0,0/0,0/0,1.98,0.46,3.07,3.32,0.13,-,-,-,27.36%,3,-,72.64%,-,1105.8294,0.02%,12-May-21,1105.8294,12-May-21,985.9363,28-May-20,8.48%,11.48%,-,-,-
Nippon India Fixed Horizon Fund 36 - Series 8 - Direct Plan - GrowthFixed Maturity Plans - Debt,-,185.07,0.15%,0.72%,2.28%,4.95%,1.01%,12.52%,10.26%,9.49%,-,-,4.31%,0.27%,0.33%,0.39%,0.39%,0.42%,0.42%,-1.28%,0.48%,0.60%,0.76%,0.46%,0.63%,0.92%,1.78%,2.14%,3.99%,2.16%,2.19%,2.96%,1.82%,-,-,-,1.65%,10.56%,10.81%,1.21%,-,-,-,-,-,-,-,-,38/488,45/487,10/485,10/485,45/487,6/485,428/445,0/0,0/0,0/0,2.05,0.44,2.84,3.24,0.13,-,-,-,81.45%,12,-,18.55%,-,1216.4235,0.02%,12-May-21,1216.4235,12-May-21,1082.6497,28-May-20,8.46%,10.83%,-,-,-
