Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Kotak Floating Rate Fund - Direct Plan - GrowthFloater Fund,-,4203.62,0.23%,1.10%,2.00%,2.27%,1.57%,9.79%,8.40%,-,-,-,0.12%,0.53%,0.24%,7.68%,-,-,-,-,-,-,-,-,1.10%,-,-,-,-,-,-,-,-,-,-,-,0.95%,-,-,-,-,-,-,-,-,-,-,-,1/10,1/10,1/8,5/8,1/10,1/7,2/7,0/0,0/0,0/0,1.19,4.43,3.57,-6.15,0.01,-,-,-,82.41%,141.0,-,17.59%,-,1217.6246,0.01%,12-May-21,1217.6246,12-May-21,1146.436,18-May-20,3.54%,-,-,-,-
Kotak Floating Rate Fund - Regular Plan - GrowthFloater Fund,-,4203.62,0.22%,1.07%,1.90%,2.07%,1.52%,9.35%,8.03%,-,-,-,0.13%,0.57%,0.28%,0.98%,-,-,-,-,-,-,-,-,1.14%,-,-,-,-,-,-,-,-,-,-,-,1.09%,-,-,-,-,-,-,-,-,-,-,-,1/10,1/10,1/8,4/8,1/10,1/7,3/7,0/0,0/0,0/0,,,,,,-,-,-,95.94%,205.0,-,4.05%,-,1188.2294,0.01%,12-May-21,1188.2294,12-May-21,1128.8291,18-May-20,3.33%,-,-,-,-
ICICI Prudential Floating Interest Fund - Direct Plan - GrowthFloater Fund,1,12480.53,0.16%,0.58%,0.70%,2.49%,0.65%,9.02%,8.67%,8.51%,8.37%,-,0.20%,0.67%,0.64%,-0.05%,-0.18%,0.34%,0.69%,0.73%,0.30%,0.34%,0.78%,1.17%,-,-,1.52%,1.58%,1.76%,1.53%,1.97%,1.93%,1.70%,1.70%,1.82%,1.53%,1.18%,8.59%,8.55%,7.42%,6.86%,9.50%,8.88%,9.52%,9.54%,10.15%,9.35%,6.49%,4/10,2/10,2/8,4/8,3/10,2/7,1/7,1/5,1/5,3/5,,,,,,-,-,-,89.13%,41.0,-,10.87%,-,273.0791,0.01%,12-May-21,273.0791,12-May-21,255.7515,18-May-20,3.33%,8.86%,14.32%,23.47%,-
ICICI Prudential Floating Interest Fund - GrowthFloater Fund,1,12480.53,0.14%,0.52%,0.52%,2.12%,0.56%,8.23%,7.88%,7.71%,7.52%,8.29%,0.20%,0.68%,0.66%,-0.04%,-0.17%,0.36%,0.70%,0.75%,0.31%,0.35%,0.79%,1.19%,0.62%,0.78%,-,-,-,-,-,-,-,-,-,-,1.23%,8.79%,8.79%,7.68%,7.12%,9.77%,9.15%,9.77%,9.68%,-,-,-,2/10,6/10,7/8,2/8,8/10,2/7,2/7,2/5,1/5,0/0,,,,,,-,-,-,83.15%,17.0,-,16.86%,-0.01%,268.1221,0.01%,12-May-21,268.1221,12-May-21,251.5154,18-May-20,3.46%,8.41%,13.42%,23.04%,-
SBI Floating Rate Debt Fund - Direct Plan - GrowthFloater Fund,-,109.97,0.12%,0.47%,0.59%,2.27%,0.53%,-,-,-,-,-,0.31%,0.79%,-,-,-,-,-,-,-,-,-,-,0.54%,0.64%,-,-,-,-,-,-,-,-,-,-,1.51%,-,-,-,-,-,-,-,-,-,-,-,4/10,2/10,2/8,3/8,2/10,3/7,1/7,1/5,2/5,0/0,,,,,,-,-,-,92.88%,43.0,-,7.12%,-,10.1674,0.11%,12-May-21,10.1674,12-May-21,10.0,19-Mar-21,3.42%,8.81%,14.02%,22.52%,52.37%
SBI Floating Rate Debt Fund - Regular Plan - GrowthFloater Fund,-,109.97,0.12%,0.45%,0.54%,2.16%,0.51%,-,-,-,-,-,0.31%,0.79%,2.92%,-,-,-,-,-,-,-,-,-,-,-,1.35%,1.38%,1.54%,1.39%,1.84%,1.81%,1.84%,1.83%,1.94%,1.66%,1.56%,-,-,-,-,-,-,-,-,-,-,-,2/10,6/10,8/8,3/8,7/10,3/7,4/7,4/5,4/5,4/5,,,,,,-,-,-,97.41%,102.0,-,2.59%,-,10.1674,0.11%,12-May-21,10.1674,12-May-21,10.0,19-Mar-21,3.18%,7.74%,12.47%,21.62%,-
Nippon India Floating Rate Fund - Direct Plan - GrowthFloater Fund,3,14206.55,0.10%,0.78%,1.90%,2.28%,1.03%,8.71%,9.48%,9.06%,8.24%,-,0.32%,0.81%,-,-,-,-,-,-,-,-,-,-,0.55%,0.15%,2.44%,2.14%,2.84%,1.52%,2.16%,2.01%,1.73%,2.00%,1.90%,1.60%,1.30%,9.07%,8.50%,7.11%,6.83%,8.95%,8.80%,9.38%,9.04%,9.84%,8.98%,5.71%,7/10,5/10,4/8,1/8,5/10,4/7,3/7,2/5,3/5,2/5,,,,,,-,-,-,69.70%,4.0,-,30.30%,-,10.1629,0.11%,12-May-21,10.1629,12-May-21,10.0,19-Mar-21,3.30%,7.80%,12.45%,21.38%,52.10%
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - GrowthFloater Fund,5,15238.89,0.10%,0.65%,1.63%,2.02%,0.90%,6.99%,7.86%,8.10%,8.00%,-,0.32%,0.81%,0.91%,-,-,-,-,-,-,-,-,-,0.63%,0.33%,2.62%,2.33%,3.03%,1.71%,2.35%,2.31%,1.93%,2.20%,2.09%,1.78%,1.39%,9.30%,8.66%,7.28%,6.97%,9.06%,8.89%,9.43%,9.10%,-,-,-,8/10,5/10,4/8,1/8,5/10,4/7,4/7,3/5,4/5,0/0,,,,,,-,-,-,91.62%,5.0,-,8.38%,-,10.1629,0.11%,12-May-21,10.1629,12-May-21,10.0,19-Mar-21,3.05%,7.57%,12.09%,20.56%,50.11%
DSP Floater Fund - Direct Plan - GrowthFloater Fund,-,1320.56,0.09%,0.72%,-,-,1.03%,-,-,-,-,-,0.30%,0.47%,0.39%,0.11%,0.11%,0.53%,0.81%,0.90%,0.39%,0.35%,0.92%,1.12%,1.52%,-0.55%,3.05%,1.66%,3.40%,2.29%,1.09%,1.80%,-,-,-,-,0.96%,11.18%,3.87%,-,-,-,-,-,-,-,-,-,5/10,4/10,3/8,6/8,4/10,5/7,5/7,3/5,2/5,1/5,,,,,,-,-,-,91.62%,5.0,-,8.38%,-,36.3601,0.02%,12-May-21,36.3601,12-May-21,33.5128,18-May-20,2.96%,7.38%,12.18%,21.57%,-
DSP Floater Fund - Direct Plan - GrowthFloater Fund,-,0.0,0.09%,0.72%,-,-,1.03%,-,-,-,-,-,0.30%,0.49%,0.41%,0.12%,0.13%,0.55%,0.83%,0.92%,0.40%,0.37%,0.94%,1.13%,1.57%,-0.45%,3.15%,1.76%,3.51%,2.39%,1.15%,1.85%,-,-,-,-,1.11%,11.61%,4.01%,-,-,-,-,-,-,-,-,-,5/10,4/10,3/8,7/8,4/10,5/7,5/7,4/5,3/5,0/0,,,,,,-,-,-,94.53%,3.0,-,5.47%,-,35.0031,0.02%,12-May-21,35.0031,12-May-21,32.3713,18-May-20,2.87%,7.18%,11.84%,20.89%,52.53%
