Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
ICICI Prudential Gilt Fund - Direct Plan - GrowthGilt Fund,3,3926.37,0.13%,0.64%,1.25%,1.72%,1.13%,6.45%,11.30%,10.39%,9.59%,-,0.39%,1.04%,0.68%,-1.23%,-0.44%,0.71%,0.51%,1.71%,0.12%,-2.07%,0.99%,1.27%,1.43%,-1.40%,1.51%,-0.30%,2.79%,3.75%,0.75%,1.00%,3.92%,2.08%,6.16%,0.44%,-0.03%,8.27%,8.27%,4.20%,0.09%,15.51%,5.76%,20.48%,-1.19%,10.35%,4.34%,1.91%,22/22,6/22,1/22,1/22,1/22,1/22,1/22,5/22,8/22,0/0,3.88,0.61,1.05,-0.18,0.07,-,-,-,94.44%,17,-,5.56%,-,2414.0021,0.03%,12-May-21,2429.9742,05-Jan-21,2339.4724,18-May-20,4.89%,11.32%,18.69%,29.09%,-
ICICI Prudential Gilt Fund - GrowthGilt Fund,3,3926.37,0.12%,0.58%,1.09%,1.41%,1.06%,5.83%,10.72%,9.82%,8.99%,8.91%,0.41%,1.09%,0.73%,-1.19%,-0.40%,0.76%,0.56%,1.76%,0.17%,-2.02%,1.05%,1.32%,1.48%,-1.29%,1.62%,-0.19%,2.94%,3.89%,0.87%,1.10%,4.08%,2.31%,6.41%,0.68%,0.12%,8.82%,8.93%,5.19%,1.07%,16.64%,7.05%,21.78%,-0.52%,-,-,-,22/22,6/22,1/22,1/22,1/22,1/22,1/22,3/22,9/22,0/0,4.02,0.76,1.47,1.25,0.08,-,-,-,82.05%,6,-,17.95%,-,2252.6434,0.03%,12-May-21,2273.6437,05-Jan-21,2199.8975,18-May-20,4.55%,10.69%,17.71%,27.37%,-
Aditya Birla Sun Life Government Securities Fund - Direct Plan - GrowthGilt Fund,2,729.87,0.11%,0.86%,1.66%,1.48%,1.31%,5.50%,11.12%,10.96%,9.78%,-,0.32%,0.80%,0.46%,-0.87%,0.08%,0.57%,0.44%,1.96%,-0.35%,-0.97%,0.99%,0.05%,1.10%,-0.35%,2.74%,0.30%,5.53%,3.29%,1.48%,2.74%,3.63%,2.38%,2.88%,2.22%,0.78%,12.70%,11.53%,7.28%,2.67%,18.78%,6.50%,19.11%,0.47%,-,-,-,1/22,17/22,11/22,5/22,13/22,2/22,6/22,12/22,7/22,0/0,2.7,0.43,1.61,1.36,0.1,-,-,-,98.68%,1,-,1.32%,-,50.7085,0.08%,12-May-21,50.7085,12-May-21,48.7375,26-Aug-20,2.90%,9.51%,17.11%,26.10%,-
Aditya Birla Sun Life Government Securities Fund - Regular Plan - GrowthGilt Fund,2,729.87,0.10%,0.80%,1.49%,1.16%,1.23%,4.86%,10.45%,10.29%,9.17%,9.78%,0.34%,0.85%,0.51%,-0.83%,0.13%,0.61%,0.49%,2.01%,-0.31%,-0.93%,1.03%,0.08%,1.03%,-0.50%,2.58%,0.15%,5.44%,3.18%,1.36%,2.60%,3.48%,2.28%,2.73%,2.10%,0.56%,12.14%,10.88%,6.73%,2.06%,18.06%,5.68%,18.10%,-0.13%,11.01%,5.90%,5.18%,1/22,17/22,12/22,2/22,13/22,2/22,6/22,10/22,8/22,8/19,4.25,0.91,1.73,1.74,0.08,-,-,-,97.29%,7,-,2.71%,-,49.526,0.08%,12-May-21,49.5366,05-Jan-21,47.7027,26-Aug-20,2.70%,7.55%,13.81%,22.65%,-
PGIM India Gilt Fund - Direct Plan - GrowthGilt Fund,3,123.52,0.08%,0.90%,1.71%,1.80%,1.68%,5.88%,9.58%,9.43%,8.33%,-,0.45%,0.86%,1.28%,-1.31%,-0.11%,0.66%,0.43%,1.62%,-0.18%,-1.45%,0.73%,0.71%,1.18%,-1.53%,3.47%,-,4.18%,4.20%,0.64%,2.28%,3.91%,2.35%,4.95%,1.29%,-0.40%,12.84%,10.18%,7.35%,0.70%,16.34%,5.56%,17.36%,-0.53%,14.63%,7.04%,4.93%,8/22,16/22,6/22,9/22,8/22,3/22,3/22,2/22,6/22,13/19,3.83,0.61,1.67,2.17,0.11,-,-,-,92.71%,5,-,7.29%,-,85.0839,0.04%,12-May-21,85.3512,05-Jan-21,80.3197,18-May-20,2.75%,9.51%,17.53%,28.11%,-
Kotak Gilt - Investment - Direct Plan - GrowthGilt Fund,3,891.14,0.07%,0.89%,1.08%,1.92%,1.28%,6.17%,11.08%,10.95%,9.34%,-,0.43%,0.81%,1.23%,-1.35%,-0.16%,0.61%,0.38%,1.58%,-0.23%,-1.50%,0.68%,0.66%,1.18%,-1.53%,3.47%,-,4.18%,4.20%,0.64%,2.28%,3.91%,2.35%,4.95%,1.29%,-0.40%,12.84%,10.26%,7.35%,0.70%,16.37%,5.64%,17.39%,-0.46%,14.63%,7.07%,5.09%,9/22,15/22,6/22,11/22,8/22,3/22,3/22,2/22,5/22,0/0,3.92,0.63,1.62,1.98,0.1,-,-,-,86.70%,6,-,13.30%,-,83.0774,0.04%,12-May-21,83.3389,05-Jan-21,78.4262,18-May-20,2.69%,9.15%,16.47%,26.30%,-
Kotak Gilt - Investment - PF and Trust - Direct Plan - GrowthGilt Fund,-,891.14,0.07%,0.89%,1.08%,1.92%,1.28%,6.17%,11.08%,10.95%,9.34%,-,0.27%,0.86%,0.85%,-1.45%,-0.37%,0.48%,0.58%,1.47%,-0.28%,-1.44%,0.77%,0.71%,1.29%,-1.29%,3.74%,0.26%,4.44%,4.46%,0.89%,2.56%,4.17%,2.59%,5.24%,1.56%,-0.02%,14.02%,11.29%,8.45%,1.71%,17.53%,7.15%,18.21%,0.10%,-,-,-,21/22,11/22,19/22,7/22,17/22,4/22,4/22,4/22,12/22,0/0,4.12,0.81,1.09,-0.12,0.06,-,-,-,90.77%,13,-,9.23%,-,51.8553,0.07%,12-May-21,51.8553,12-May-21,49.0471,18-May-20,2.67%,9.40%,16.15%,25.99%,-
PGIM India Gilt Fund - GrowthGilt Fund,3,123.52,0.06%,0.80%,1.42%,1.20%,1.54%,4.70%,8.71%,8.63%,7.72%,8.17%,0.29%,0.92%,0.92%,-1.40%,-0.31%,0.55%,0.65%,1.53%,-0.22%,-1.37%,0.84%,0.77%,1.29%,-1.29%,3.74%,0.26%,4.44%,4.46%,0.89%,2.56%,4.17%,2.59%,5.24%,1.56%,-0.03%,14.02%,11.29%,8.47%,1.71%,17.53%,7.45%,18.26%,-1.26%,-,-,-,5/22,8/22,15/22,3/22,11/22,5/22,11/22,9/22,11/22,0/0,3.51,0.76,1.37,0.13,0.06,-,-,-,94.44%,17,-,5.56%,-,82.5272,0.04%,12-May-21,82.5272,12-May-21,77.744,18-May-20,2.47%,8.76%,16.01%,25.86%,-
SBI Magnum Gilt Fund - Direct Plan - GrowthGilt Fund,4,4201.94,0.05%,0.39%,1.59%,1.60%,0.93%,5.88%,11.76%,10.86%,9.86%,-,0.30%,0.44%,0.59%,-0.57%,-0.12%,0.43%,0.58%,1.43%,-0.39%,-1.45%,0.64%,0.56%,1.04%,-1.35%,2.52%,0.26%,4.09%,2.77%,1.07%,2.15%,2.85%,2.03%,3.68%,1.21%,-0.36%,10.41%,8.75%,5.34%,1.79%,16.44%,6.03%,19.17%,0.83%,11.02%,5.06%,5.75%,5/22,8/22,15/22,3/22,11/22,5/22,11/22,9/22,11/22,0/0,3.88,0.9,1.2,-0.82,0.05,-,-,-,94.67%,11,-,5.33%,-,78.1831,0.04%,12-May-21,78.7054,05-Jan-21,74.4243,24-Aug-20,2.62%,8.73%,16.07%,26.32%,-
Kotak Gilt - Investment - Regular - GrowthGilt Fund,2,891.14,0.05%,0.80%,0.83%,1.41%,1.15%,5.09%,9.96%,9.82%,8.24%,8.84%,0.27%,0.39%,0.53%,-0.62%,-0.18%,0.36%,0.52%,1.37%,-0.44%,-1.51%,0.58%,0.50%,1.09%,-1.23%,2.64%,0.37%,4.20%,2.89%,1.18%,2.24%,2.94%,2.12%,3.77%,1.30%,-0.20%,10.89%,9.15%,5.73%,2.20%,16.99%,6.58%,19.59%,1.08%,-,-,-,6/22,21/22,4/22,5/22,19/22,5/22,5/22,7/22,4/22,2/19,4.16,1.09,0.97,-2.65,0.04,-,-,-,86.70%,6,-,13.30%,-,76.4208,0.04%,12-May-21,76.9313,05-Jan-21,72.7467,24-Aug-20,2.42%,8.02%,15.15%,25.04%,-
