Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Liquid Plan - Direct Plan - GrowthLiquid Fund,-,275.23,0.08%,0.38%,1.14%,2.28%,0.57%,4.83%,5.77%,6.43%,6.67%,-,0.10%,0.23%,0.24%,0.27%,0.33%,0.24%,0.22%,0.24%,0.25%,0.25%,0.25%,0.25%,0.37%,0.79%,0.78%,0.80%,1.03%,1.44%,1.36%,1.51%,1.75%,1.78%,1.86%,1.80%,1.24%,3.66%,-,-,-,-,-,-,-,-,-,-,1/39,1/38,1/38,1/38,1/38,1/38,1/38,1/35,1/32,1/29,,,,,,-,-,-,86.10%,68,-,13.90%,-,5051.3483,0.01%,13-May-21,5051.3483,13-May-21,4887.3423,17-May-20,2.36%,5.26%,8.93%,16.92%,-
Quant Liquid Plan - GrowthLiquid Fund,-,275.23,0.08%,0.35%,1.05%,2.10%,0.53%,4.47%,5.40%,6.10%,6.45%,8.03%,0.09%,0.23%,0.24%,0.27%,0.33%,0.24%,0.22%,0.24%,0.25%,0.25%,0.24%,0.25%,0.38%,0.82%,0.80%,0.82%,1.06%,1.46%,1.39%,1.57%,1.78%,1.81%,1.90%,1.84%,1.24%,3.64%,-,-,-,-,-,-,-,-,-,-,1/44,1/43,1/43,1/43,1/43,1/42,1/38,1/35,1/33,0/0,,,,,,-,-,-,8.47%,2,-,91.53%,-,5015.2378,0.01%,13-May-21,5015.2378,13-May-21,4858.1798,17-May-20,2.35%,5.08%,8.59%,16.31%,44.59%
BNP Paribas Liquid Fund - Direct Plan - GrowthLiquid Fund,3,1269.11,0.06%,0.27%,0.82%,1.64%,0.39%,3.37%,4.74%,5.70%,6.21%,-,0.08%,0.22%,0.25%,0.25%,0.23%,0.19%,0.16%,0.21%,0.27%,0.22%,0.14%,0.24%,0.35%,0.75%,0.76%,0.77%,1.08%,1.32%,1.26%,1.45%,1.68%,1.72%,1.81%,1.78%,1.10%,3.30%,-,-,-,-,-,-,-,-,-,-,3/39,2/38,2/38,2/38,2/38,2/38,2/38,3/35,3/32,13/29,,,,,,-,-,-,60.73%,7,-,39.27%,-,4174.5896,0.01%,13-May-21,4174.5896,13-May-21,4041.0754,17-May-20,1.70%,4.22%,7.56%,15.24%,-
Sundaram Money Fund - Direct Plan - GrowthLiquid Fund,3,3662.94,0.06%,0.27%,0.82%,1.60%,0.39%,3.40%,4.68%,5.65%,6.18%,-,0.09%,0.23%,0.24%,0.27%,0.33%,0.24%,0.22%,0.24%,0.25%,0.25%,0.25%,0.25%,0.36%,0.76%,0.78%,0.78%,1.10%,1.33%,1.27%,1.46%,1.69%,1.73%,1.84%,1.80%,1.24%,3.66%,-,-,-,-,-,-,-,-,-,-,8/44,9/43,5/43,7/43,6/43,2/42,2/38,2/35,3/33,0/0,,,,,,-,-,-,92.17%,36,-,7.83%,-,4155.6801,0.01%,13-May-21,4155.6801,13-May-21,4026.3193,17-May-20,1.70%,4.15%,7.47%,15.10%,-
Mahindra Manulife Liquid Fund - Direct Plan - GrowthLiquid Fund,3,1638.97,0.06%,0.27%,0.82%,1.61%,0.40%,3.50%,4.81%,5.76%,-,-,0.10%,0.23%,0.24%,0.20%,0.24%,0.23%,0.19%,0.22%,0.24%,0.23%,0.24%,0.21%,0.35%,0.76%,0.77%,0.80%,1.16%,1.43%,1.34%,1.52%,1.74%,1.80%,1.88%,1.80%,1.05%,3.20%,3.66%,-,-,-,-,-,-,-,-,-,7/39,5/38,5/38,6/38,6/38,3/38,4/38,4/35,0/0,0/0,,,,,,-,-,-,97.33%,25,-,2.67%,-,4060.1608,0.01%,13-May-21,4060.1608,13-May-21,3933.2799,17-May-20,1.69%,4.13%,7.47%,-,-
Mirae Asset Cash Management Fund - Direct Plan - GrowthLiquid Fund,3,4044.98,0.06%,0.27%,0.82%,1.64%,0.39%,3.43%,4.69%,5.64%,6.14%,-,0.10%,0.24%,0.25%,0.21%,0.25%,0.24%,0.19%,0.23%,0.24%,0.24%,0.25%,0.22%,0.36%,0.78%,0.79%,0.82%,1.17%,1.44%,1.35%,1.54%,1.75%,1.81%,1.89%,1.81%,1.09%,3.31%,3.74%,-,-,-,-,-,-,-,-,-,4/44,3/43,4/43,10/43,5/43,3/42,5/38,4/35,0/0,0/0,,,,,,-,-,-,101.53%,56,-,-1.53%,-,4031.7556,0.01%,13-May-21,4031.7556,13-May-21,3909.6207,17-May-20,1.68%,4.17%,7.46%,15.01%,41.40%
JM Liquid Fund - (Direct) - GrowthLiquid Fund,2,1280.11,0.06%,0.27%,0.81%,1.59%,0.39%,3.32%,4.56%,5.58%,6.17%,-,0.11%,0.24%,0.25%,0.24%,0.24%,0.22%,0.23%,0.25%,0.23%,0.25%,-,-,0.35%,0.76%,0.77%,0.76%,1.16%,1.31%,1.28%,1.46%,1.70%,1.76%,1.86%,1.79%,1.10%,3.67%,-,-,-,-,-,-,-,-,-,-,28/39,23/38,17/38,24/38,22/38,4/38,5/38,6/35,7/32,3/29,,,,,,-,-,-,86.45%,21,-,13.55%,-,3751.0532,0.01%,13-May-21,3751.0532,13-May-21,3627.9612,17-May-20,1.68%,4.06%,7.30%,14.84%,-
Baroda Liquid Fund - Plan B (Direct) - GrowthLiquid Fund,3,5003.24,0.06%,0.27%,0.83%,1.61%,0.40%,3.32%,4.69%,5.67%,6.24%,-,0.11%,0.24%,0.24%,0.23%,0.24%,0.22%,0.22%,0.24%,0.22%,0.24%,0.22%,0.25%,0.36%,0.78%,0.79%,0.78%,1.18%,1.33%,1.30%,1.48%,1.73%,1.78%,1.89%,1.82%,1.07%,3.58%,6.33%,-,-,-,-,-,-,-,-,-,15/44,8/43,7/43,14/43,4/43,4/42,7/38,6/35,6/33,0/0,,,,,,-,-,-,55.87%,6,-,44.13%,-,3716.3019,0.01%,13-May-21,3716.3019,13-May-21,3599.2957,17-May-20,1.66%,4.05%,7.35%,14.97%,-
IDBI Liquid Fund - Direct Plan - GrowthLiquid Fund,1,1208.64,0.06%,0.27%,0.82%,1.63%,0.40%,3.57%,4.88%,5.80%,6.27%,-,0.10%,0.24%,0.25%,0.25%,0.22%,0.23%,0.23%,0.24%,0.24%,0.26%,0.22%,0.26%,0.35%,0.75%,0.76%,0.82%,1.21%,1.38%,1.32%,1.58%,1.75%,1.78%,1.88%,1.78%,1.11%,3.65%,6.06%,6.56%,6.02%,6.83%,7.86%,8.79%,8.72%,9.15%,8.72%,5.60%,25/44,16/43,14/43,21/43,16/43,5/42,6/38,8/35,5/33,0/0,,,,,,-,-,-,83.49%,31,-,16.51%,-,3383.1224,0.01%,13-May-21,3383.1224,13-May-21,3274.2335,17-May-20,1.66%,4.09%,7.41%,15.05%,-
BNP Paribas Liquid Fund - GrowthLiquid Fund,3,1269.11,0.06%,0.26%,0.79%,1.59%,0.38%,3.27%,4.62%,5.58%,6.10%,7.55%,0.09%,0.23%,0.25%,0.24%,0.21%,0.23%,0.23%,0.23%,0.24%,0.25%,0.21%,0.25%,0.37%,0.78%,0.79%,0.84%,1.23%,1.41%,1.35%,1.58%,1.78%,1.80%,1.90%,1.81%,1.07%,3.55%,6.00%,6.50%,4.42%,-,-,-,-,-,-,-,6/39,4/38,6/38,3/38,5/38,5/38,16/38,15/35,23/32,27/29,,,,,,-,-,-,8.47%,2,-,91.53%,-,3365.3686,0.01%,13-May-21,3365.3686,13-May-21,3259.6385,17-May-20,1.66%,4.11%,7.38%,14.99%,-
