Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Franklin India Low Duration Fund - GrowthLow Duration Fund,1,862.27,0.27%,1.45%,3.49%,7.53%,1.92%,14.27%,4.08%,5.62%,6.88%,8.32%,0.13%,0.45%,0.53%,0.19%,0.04%,0.21%,0.45%,0.64%,0.15%,0.16%,0.57%,0.94%,0.57%,0.72%,1.39%,1.01%,2.39%,2.18%,1.68%,2.16%,0.69%,2.12%,2.22%,1.46%,1.33%,7.28%,6.95%,6.99%,6.38%,8.10%,7.86%,8.52%,9.04%,9.98%,9.21%,5.75%,8/26,24/26,2/26,2/26,21/26,1/26,25/25,25/25,24/24,22/23,10.71,0.75,-0.3,-4.97,-0.04,-,-,-,80.06%,144.0,-,19.91%,-,3042.1739,0.02%,12-May-21,3042.1739,12-May-21,2837.9448,18-May-20,10.11%,2.44%,-6.54%,-10.57%,-
Franklin India Low Duration Fund - Direct - GrowthLow Duration Fund,1,862.27,0.27%,1.45%,3.53%,7.66%,1.92%,14.62%,4.43%,5.98%,7.24%,-,0.15%,0.52%,0.60%,0.25%,0.10%,0.27%,0.52%,0.70%,0.21%,0.23%,0.65%,1.01%,0.67%,0.92%,1.58%,1.22%,2.61%,2.39%,1.88%,2.37%,0.89%,2.32%,2.42%,1.66%,1.63%,8.16%,7.82%,7.72%,7.04%,8.72%,8.72%,9.42%,9.55%,-,-,-,10/26,25/26,2/26,2/26,23/26,1/26,25/25,25/25,24/24,0/0,0.88,0.88,3.39,-0.44,0.03,-,-,-,83.99%,19.0,-,16.01%,-,2942.6249,0.02%,12-May-21,2942.6249,12-May-21,2763.886,18-May-20,9.99%,2.21%,-6.87%,-11.14%,0.60%
ICICI Prudential Savings Fund - Direct Plan - GrowthLow Duration Fund,4,28268.9,0.13%,0.53%,0.83%,2.16%,0.64%,7.31%,7.73%,7.90%,7.81%,-,0.14%,0.46%,0.36%,0.13%,0.05%,0.25%,0.54%,0.67%,0.35%,0.41%,0.68%,1.26%,0.60%,0.51%,1.48%,1.56%,2.83%,1.69%,2.03%,2.37%,1.31%,2.23%,2.15%,1.61%,1.13%,7.85%,8.30%,7.25%,7.14%,8.89%,9.36%,9.43%,6.92%,10.16%,9.84%,4.90%,23/26,25/26,22/26,25/26,23/26,2/26,17/25,17/25,15/24,14/23,1.25,4.74,3.03,-7.32,0.01,-,-,-,97.17%,30.0,-,2.83%,-,1602.3121,0.02%,12-May-21,1602.3121,12-May-21,1163.3148,19-May-20,7.35%,8.10%,10.14%,17.77%,-
ICICI Prudential Savings Fund - GrowthLow Duration Fund,4,28268.9,0.13%,0.52%,0.80%,2.10%,0.63%,7.20%,7.62%,7.77%,7.68%,8.51%,0.17%,0.52%,0.43%,0.19%,0.11%,0.31%,0.60%,0.73%,0.41%,0.47%,0.74%,1.32%,0.70%,0.70%,1.67%,1.75%,3.01%,1.88%,2.22%,2.56%,1.50%,2.42%,2.34%,1.80%,1.42%,8.66%,9.10%,8.04%,7.95%,9.72%,10.01%,9.91%,7.31%,-,-,-,25/26,24/26,24/26,25/26,24/26,2/26,17/25,18/25,17/24,0/0,2.37,0.55,1.03,-0.31,0.04,-,-,-,40.06%,10.0,-,59.94%,-,1562.1066,0.02%,12-May-21,1562.1066,12-May-21,1136.5125,19-May-20,7.21%,7.77%,9.60%,16.73%,47.11%
Nippon India Low Duration Fund - Direct Plan - GrowthLow Duration Fund,3,8886.07,0.11%,0.53%,1.63%,2.58%,0.76%,7.48%,6.93%,7.51%,7.48%,-,0.13%,0.47%,0.48%,0.18%,-,0.25%,0.53%,0.66%,0.30%,0.42%,0.72%,1.16%,0.60%,0.62%,1.46%,1.53%,2.75%,1.63%,1.68%,2.31%,1.62%,2.20%,2.16%,1.64%,1.24%,7.66%,8.17%,7.07%,6.41%,8.43%,8.03%,9.03%,8.71%,9.11%,8.66%,5.13%,1/26,1/26,1/26,1/26,1/26,3/26,18/25,18/25,13/24,3/23,1.06,4.54,2.95,-7.51,0.01,-,-,-,70.75%,111.0,-,29.25%,-,2659.9256,0.01%,12-May-21,2659.9256,12-May-21,2518.2734,18-May-20,5.18%,14.23%,14.37%,19.24%,-
BNP Paribas Low Duration Fund - Direct Plan - GrowthLow Duration Fund,1,314.24,0.10%,0.51%,1.52%,2.32%,0.71%,6.35%,7.31%,7.71%,7.60%,-,0.12%,0.42%,0.50%,0.21%,0.01%,0.24%,0.47%,0.50%,0.24%,0.23%,0.55%,1.15%,0.53%,0.72%,1.23%,1.09%,2.62%,1.73%,1.67%,2.26%,1.77%,2.24%,2.23%,1.65%,1.27%,6.89%,8.26%,7.13%,6.98%,8.74%,8.66%,9.40%,9.39%,10.25%,9.54%,5.60%,1/26,1/26,1/26,1/26,1/26,3/26,18/25,17/25,13/24,0/0,4.11,3.24,0.54,-5.36,0.01,-,-,-,78.75%,62.0,-,21.25%,-,3137.8894,0.01%,12-May-21,3137.8894,12-May-21,2960.0286,18-May-20,5.48%,14.62%,14.50%,19.14%,44.34%
Kotak Low Duration Fund - Direct Plan - GrowthLow Duration Fund,2,11860.73,0.10%,0.53%,1.31%,2.09%,0.71%,7.60%,7.90%,8.24%,8.33%,-,0.12%,0.43%,0.52%,0.23%,0.03%,0.26%,0.49%,0.52%,0.26%,0.25%,0.56%,1.17%,0.56%,0.77%,1.28%,1.15%,2.68%,1.78%,1.73%,2.31%,1.82%,2.28%,2.30%,1.72%,1.33%,7.12%,8.50%,7.39%,7.14%,8.90%,8.83%,9.53%,9.44%,-,-,-,25/26,9/26,13/26,22/26,13/26,4/26,22/25,22/25,21/24,23/23,,,,,,-,-,-,55.12%,1.0,-,44.88%,-,1351.8402,0.01%,12-May-21,1351.8402,12-May-21,1278.4966,18-May-20,3.78%,4.98%,5.04%,9.67%,-
Nippon India Low Duration Fund - GrowthLow Duration Fund,3,8886.07,0.09%,0.47%,1.46%,2.23%,0.67%,6.74%,6.31%,6.99%,7.03%,8.07%,0.11%,0.44%,0.43%,0.24%,0.09%,0.28%,0.46%,0.60%,0.30%,0.31%,0.66%,1.05%,0.55%,0.76%,1.36%,1.34%,2.71%,1.61%,1.78%,2.38%,1.91%,2.29%,2.19%,1.60%,1.34%,7.24%,8.67%,7.21%,6.59%,8.12%,8.50%,8.68%,9.38%,9.71%,9.15%,5.56%,21/26,7/26,6/26,14/26,7/26,4/26,22/25,22/25,21/24,0/0,,,,,,-,-,-,90.90%,46.0,-,9.10%,-,2497.2595,0.01%,12-May-21,2497.2595,12-May-21,2352.4803,18-May-20,3.34%,4.11%,3.75%,7.40%,21.00%
BNP Paribas Low Duration Fund - GrowthLow Duration Fund,1,314.24,0.09%,0.44%,1.31%,1.91%,0.60%,5.49%,6.43%,6.86%,6.83%,7.86%,0.13%,0.47%,0.46%,0.26%,0.11%,0.31%,0.48%,0.62%,0.32%,0.33%,0.69%,1.08%,0.59%,0.84%,1.44%,1.42%,2.79%,1.68%,1.85%,2.46%,1.99%,2.37%,2.31%,1.74%,1.46%,7.62%,9.04%,7.76%,7.24%,8.55%,8.86%,9.24%,9.66%,-,-,-,20/26,18/26,16/26,17/26,17/26,5/26,23/25,23/25,22/24,20/23,,,,,,-,-,-,90.90%,46.0,-,9.10%,-,3092.764,0%,12-May-21,3092.764,12-May-21,2923.0685,18-May-20,3.32%,7.45%,11.57%,20.23%,-
Kotak Low Duration Fund - GrowthLow Duration Fund,2,11860.73,0.09%,0.46%,1.12%,1.69%,0.61%,6.78%,7.09%,7.42%,7.52%,8.29%,0.15%,0.53%,0.53%,0.23%,0.06%,0.31%,0.59%,0.73%,0.36%,0.49%,0.79%,1.23%,0.68%,0.81%,1.67%,1.74%,2.96%,1.84%,1.89%,2.53%,1.84%,2.41%,2.37%,1.85%,1.51%,8.55%,9.09%,7.96%,7.32%,9.28%,9.00%,9.86%,9.56%,-,-,-,22/26,19/26,18/26,20/26,19/26,5/26,23/25,24/25,23/24,0/0,,,,,,-,-,-,96.51%,74.0,-,3.49%,-,2810.2088,0.01%,12-May-21,2810.2088,12-May-21,2664.9724,18-May-20,3.02%,4.75%,2.15%,4.19%,-
