Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Tata Medium Term Fund - Direct Plan - GrowthMedium Duration Fund,2,70.36,0.26%,1.00%,2.32%,2.89%,1.53%,9.79%,1.71%,3.15%,4.97%,-,0.28%,2.04%,2.11%,1.10%,1.17%,1.89%,3.49%,2.18%,2.02%,-4.96%,-4.16%,1.78%,1.19%,-0.68%,2.15%,0.13%,2.86%,1.81%,1.31%,1.94%,-7.78%,1.88%,3.00%,0.47%,6.69%,-4.72%,5.26%,7.90%,8.55%,8.38%,9.22%,11.60%,8.50%,10.17%,9.09%,7.02%,14/18,14/18,9/18,2/18,13/18,1/17,5/14,6/14,6/14,0/0,2.39,1.19,1.95,-1.29,0.04,-,-,-,87.53%,43,-,12.47%,-,39.1281,0.03%,12-May-21,39.1281,12-May-21,36.7335,18-May-20,8.19%,6.49%,8.04%,15.12%,-
Franklin India Income Opportunities Fund - Direct - GrowthMedium Duration Fund,2,1709.55,0.25%,1.06%,5.30%,10.58%,2.35%,11.66%,3.34%,4.98%,6.85%,-,0.28%,2.04%,2.14%,1.15%,1.23%,1.95%,3.55%,2.23%,2.08%,-4.91%,-4.10%,1.84%,1.25%,-0.54%,2.28%,0.25%,2.98%,1.95%,1.48%,2.10%,-7.64%,2.05%,3.19%,0.67%,6.84%,-4.04%,6.12%,8.71%,9.31%,9.16%,10.32%,12.61%,9.17%,-,-,-,15/18,13/18,8/18,2/18,13/18,1/17,4/14,6/14,6/14,0/0,8.17,0.75,-0.03,-4.66,-0.0,-,-,-,97.85%,39,-,2.15%,-,36.9732,0.03%,12-May-21,37.0077,05-Jan-21,34.9419,18-May-20,7.92%,5.84%,6.95%,13.03%,40.88%
Franklin India Income Opportunities Fund - GrowthMedium Duration Fund,2,1709.55,0.25%,1.06%,5.23%,10.33%,2.35%,11.02%,2.63%,4.22%,6.09%,7.75%,0.40%,0.98%,1.03%,0.03%,0.22%,0.38%,1.09%,1.35%,0.74%,0.01%,1.70%,1.39%,1.16%,-0.98%,2.50%,0.43%,4.56%,2.46%,1.23%,2.61%,2.33%,2.57%,2.91%,1.41%,2.50%,11.01%,9.92%,5.84%,7.46%,11.25%,8.96%,13.31%,5.95%,-,-,-,1/18,1/18,1/18,1/18,1/18,2/17,10/14,10/14,10/14,5/8,8.19,0.73,-0.13,-5.4,-0.01,-,-,-,95.35%,14,-,4.65%,-,62.5923,0.02%,12-May-21,62.5923,12-May-21,59.0098,18-May-20,4.78%,9.55%,14.26%,22.43%,-
UTI Medium Term Fund (Segregated - 17022020) - Regular Plan - GrowthMedium Duration Fund,-,1.26,0.24%,0.97%,2.85%,-20.48%,1.34%,-16.98%,-,-,-,-,0.38%,0.93%,0.97%,-0.02%,0.16%,0.31%,1.03%,1.30%,0.69%,-0.04%,1.64%,1.34%,1.24%,-0.81%,2.67%,0.60%,4.74%,2.63%,1.40%,2.78%,2.49%,2.72%,3.09%,1.58%,2.20%,10.32%,9.22%,5.01%,6.52%,10.11%,8.30%,12.39%,5.79%,9.66%,8.14%,4.92%,2/18,1/18,1/18,1/18,1/18,2/17,10/14,10/14,9/14,0/0,4.13,0.71,0.43,-2.47,0.02,-,-,-,94.88%,105,-,5.12%,-,67.1089,0.02%,12-May-21,67.1089,12-May-21,62.8054,18-May-20,5.10%,10.67%,16.02%,25.37%,-
Tata Medium Term Fund - Regular Plan - GrowthMedium Duration Fund,2,70.36,0.24%,0.92%,2.07%,2.35%,1.42%,8.68%,0.72%,2.20%,4.00%,6.27%,0.34%,0.83%,0.76%,-0.65%,0.09%,0.43%,1.04%,1.91%,0.18%,0.07%,1.00%,1.86%,1.11%,0.61%,2.86%,2.14%,1.97%,2.85%,2.35%,2.54%,-0.56%,2.49%,2.60%,1.46%,1.01%,8.41%,6.95%,5.36%,6.55%,10.87%,9.19%,9.75%,-,-,-,-,6/18,3/18,4/18,3/18,3/18,3/17,2/14,2/14,3/14,0/0,3.29,-0.0,-0.01,-0.04,54.77,-,-,-,96.01%,19,-,3.98%,-,15.8263,0.06%,12-May-21,15.8263,12-May-21,15.0263,18-May-20,4.43%,9.44%,14.89%,24.25%,-
UTI Medium Term Fund (Segregated - 17022020) - Direct Plan - GrowthMedium Duration Fund,-,1.26,0.23%,0.94%,2.86%,-20.31%,1.41%,-16.86%,-,-,-,-,0.38%,0.90%,0.82%,-0.58%,0.17%,0.51%,1.13%,1.98%,0.26%,0.14%,1.08%,1.95%,1.19%,0.78%,3.04%,2.32%,2.15%,3.03%,2.52%,2.71%,-0.39%,2.65%,2.76%,1.61%,1.35%,9.43%,7.82%,6.14%,7.48%,12.34%,10.32%,10.17%,-,-,-,-,5/18,6/18,4/18,3/18,4/18,3/17,2/14,2/14,3/14,2/8,3.06,0.73,1.19,-0.7,0.05,-,-,-,78.65%,27,19.66%,1.69%,-,64.1318,0.01%,12-May-21,64.1318,12-May-21,60.2374,18-May-20,4.70%,9.89%,14.80%,23.01%,54.19%
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct - GrowthMedium Duration Fund,-,5.71,0.23%,0.91%,2.78%,-20.75%,1.37%,-21.03%,-,-,-,-,0.47%,0.81%,0.80%,-0.30%,0.10%,0.45%,0.97%,1.67%,0.47%,0.01%,1.29%,1.70%,0.97%,0.57%,3.78%,2.57%,0.01%,2.77%,2.60%,2.01%,0.52%,2.14%,2.38%,0.77%,1.59%,9.73%,9.13%,5.51%,5.52%,11.41%,7.36%,11.15%,6.93%,9.84%,8.43%,4.94%,12/18,11/18,10/18,8/18,8/18,4/17,7/14,7/14,7/14,0/0,,,,,,-,-,-,94.88%,105,-,5.12%,-,15.0159,0.06%,12-May-21,15.0159,12-May-21,14.3289,18-May-20,4.28%,8.50%,12.64%,19.55%,-
Nippon India Strategic Debt Fund - Segregated Portfolio 1 - Direct - GrowthMedium Duration Fund,-,5.61,0.23%,0.91%,2.78%,-20.75%,1.37%,-21.03%,-,-,-,-,0.50%,0.88%,0.87%,-0.24%,0.16%,0.52%,1.03%,1.73%,0.54%,0.08%,1.36%,1.76%,1.07%,0.79%,4.06%,2.80%,0.24%,3.00%,2.82%,2.23%,0.72%,2.37%,2.58%,0.99%,1.89%,10.77%,9.99%,6.36%,6.26%,11.88%,7.96%,11.68%,7.38%,-,-,-,7/18,7/18,6/18,5/18,5/18,4/17,3/14,4/14,4/14,3/8,,,,,,-,-,-,95.46%,14,-,4.54%,-,36.7397,0.02%,12-May-21,36.7397,12-May-21,33.0298,18-May-20,4.49%,9.84%,14.70%,24.36%,-
Nippon India Strategic Debt Fund - Direct Plan - GrowthMedium Duration Fund,1,262.87,0.19%,0.66%,1.58%,2.83%,1.02%,3.88%,-12.38%,-7.49%,-1.26%,-,0.29%,0.87%,0.61%,-0.70%,-0.36%,0.54%,0.75%,1.24%,-,-1.00%,0.73%,1.62%,0.98%,0.13%,2.48%,0.68%,4.05%,2.52%,1.64%,2.04%,-3.06%,2.86%,1.50%,0.39%,0.14%,10.65%,9.25%,6.16%,5.16%,9.80%,7.80%,10.82%,5.59%,9.95%,9.16%,6.66%,7/18,7/18,6/18,5/18,4/18,5/17,3/14,3/14,4/14,0/0,,,,,,-,-,-,93.60%,49,-,5.23%,1.17%,58.225,0.01%,12-May-21,58.225,12-May-21,55.3975,18-May-20,4.32%,8.69%,12.96%,21.38%,-
ICICI Prudential Medium Term Bond Fund - Direct Plan - GrowthMedium Duration Fund,3,6542.22,0.19%,0.94%,2.54%,3.41%,1.42%,11.58%,10.54%,9.23%,8.89%,-,0.31%,0.93%,0.67%,-0.65%,-0.31%,0.60%,0.81%,1.29%,0.06%,-0.95%,0.78%,1.68%,0.93%,0.03%,2.39%,0.59%,3.97%,2.42%,1.52%,1.92%,-3.17%,2.75%,1.39%,0.29%,0.39%,11.39%,9.95%,6.88%,5.85%,10.47%,8.50%,11.56%,6.43%,-,-,-,11/18,11/18,10/18,9/18,8/18,5/17,7/14,7/14,7/14,0/0,,,,,,-,-,-,96.04%,16,-,3.96%,-,34.382,0.02%,12-May-21,34.382,12-May-21,31.1206,18-May-20,3.99%,8.52%,13.43%,21.66%,52.20%
