Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
UTI Bond Fund (Segregated - 17022020) - Direct Plan - GrowthMedium to Long Duration Fund,-,15.55,0.21%,0.98%,2.84%,-20.27%,1.35%,-16.79%,-,-,-,-,0.25%,0.87%,1.10%,-0.81%,-0.20%,0.28%,0.61%,1.65%,-0.26%,-0.61%,1.60%,1.52%,1.32%,-1.92%,2.79%,-0.19%,4.84%,3.01%,1.17%,2.93%,3.52%,2.47%,4.72%,1.29%,0.65%,11.37%,10.95%,4.53%,5.29%,11.23%,8.42%,14.50%,3.89%,11.27%,6.98%,4.14%,3/15,11/15,6/15,3/15,10/15,1/15,1/14,3/14,1/14,1/14,3.11,0.83,1.71,0.36,0.06,-,-,-,92.78%,19,-,7.22%,-,104.6827,0.03%,12-May-21,104.6827,12-May-21,96.9041,18-May-20,3.43%,9.94%,16.62%,26.69%,-
UTI Bond Fund (Segregated - 17022020) - Regular Plan - GrowthMedium to Long Duration Fund,-,15.55,0.21%,0.98%,2.84%,-20.44%,1.35%,-16.96%,-,-,-,-,0.27%,0.93%,1.16%,-0.77%,-0.16%,0.33%,0.66%,1.69%,-0.21%,-0.56%,1.65%,1.56%,1.40%,-1.76%,2.94%,-0.04%,5.00%,3.17%,1.32%,3.09%,3.66%,2.58%,4.91%,1.48%,0.89%,11.97%,11.55%,5.14%,5.91%,11.71%,8.75%,14.79%,4.06%,-,-,-,3/14,9/14,5/14,2/14,10/14,1/14,1/13,3/13,1/13,0/0,3.39,0.96,1.48,-0.67,0.05,-,-,-,95.59%,62,-,4.41%,-,54.3884,0.06%,12-May-21,54.6697,05-Jan-21,51.548,18-May-20,3.12%,9.16%,15.77%,24.64%,-
Kotak Bond - Direct Plan - GrowthMedium to Long Duration Fund,4,1863.79,0.15%,0.71%,0.90%,1.71%,1.00%,6.87%,10.42%,9.99%,8.36%,-,0.37%,0.48%,0.59%,-1.65%,0.20%,1.06%,0.83%,1.52%,-0.26%,-1.55%,1.00%,1.11%,1.26%,-0.46%,3.21%,0.76%,4.42%,3.42%,1.08%,2.52%,3.17%,2.47%,4.22%,1.09%,-0.71%,11.88%,10.53%,5.13%,0.89%,14.18%,4.80%,15.29%,1.67%,12.93%,8.28%,4.37%,7/14,10/14,2/14,1/14,3/14,2/14,2/13,2/13,3/13,0/0,2.85,0.82,1.31,-1.14,0.05,-,-,-,97.11%,1,-,2.89%,-,98.8208,0.03%,12-May-21,98.8208,12-May-21,91.8805,18-May-20,2.94%,8.90%,15.21%,24.40%,-
SBI Magnum Income Fund - Direct Plan - GrowthMedium to Long Duration Fund,3,1709.6,0.13%,0.64%,1.69%,1.87%,1.06%,8.73%,11.52%,10.21%,9.55%,-,0.41%,0.57%,0.69%,-1.57%,0.28%,1.15%,0.91%,1.60%,-0.17%,-1.45%,1.09%,1.20%,1.31%,-0.37%,3.33%,0.88%,4.55%,3.56%,1.28%,2.53%,3.37%,2.67%,4.43%,1.29%,-0.29%,13.03%,11.66%,6.06%,1.80%,15.11%,5.64%,16.02%,2.31%,-,-,-,8/15,10/15,3/15,2/15,4/15,3/15,3/14,2/14,4/14,5/14,6.63,0.76,-0.16,-5.56,-0.01,-,-,-,97.86%,26,-,2.14%,-,50.0348,0.06%,12-May-21,50.4689,05-Jan-21,47.8905,18-May-20,2.89%,8.60%,14.73%,22.54%,52.56%
Kotak Bond - Regular Plan - GrowthMedium to Long Duration Fund,4,1863.79,0.13%,0.62%,0.63%,1.16%,0.87%,5.71%,9.24%,8.87%,7.32%,8.21%,0.34%,0.63%,0.57%,-0.83%,0.13%,0.47%,0.60%,1.33%,-0.25%,-0.91%,1.04%,0.89%,1.26%,-0.46%,3.21%,0.76%,4.42%,3.42%,1.08%,2.52%,3.17%,2.47%,4.22%,1.09%,0.17%,8.93%,8.81%,3.50%,1.30%,14.37%,5.40%,15.76%,1.73%,10.51%,6.29%,5.50%,8/15,10/15,3/15,2/15,4/15,3/15,3/14,2/14,4/14,5/14,3.84,1.06,1.43,-0.76,0.05,-,-,-,93.93%,7,-,6.07%,-,59.9994,0.05%,12-May-21,60.0723,05-Jan-21,57.3397,18-May-20,2.89%,8.60%,14.74%,22.55%,52.58%
SBI Magnum Income Fund - Regular Plan - GrowthMedium to Long Duration Fund,3,1709.6,0.12%,0.58%,1.53%,1.55%,0.98%,8.05%,10.84%,9.48%,8.77%,8.84%,0.38%,0.72%,0.66%,-0.77%,0.20%,0.53%,0.66%,1.37%,-0.20%,-0.87%,1.08%,0.93%,1.16%,-0.66%,2.29%,0.17%,4.08%,2.71%,1.26%,2.44%,3.53%,2.78%,3.18%,0.95%,0.53%,9.54%,9.33%,4.04%,1.96%,15.39%,6.50%,16.74%,2.46%,-,-,-,5/14,7/14,3/14,4/14,7/14,3/14,3/13,6/13,6/13,0/0,3.06,0.85,1.84,0.57,0.07,-,-,-,61.85%,23,-,38.15%,-,57.2938,0.05%,12-May-21,57.3958,05-Jan-21,55.0946,18-May-20,3.07%,9.21%,15.44%,24.34%,56.39%
Canara Robeco Income Fund - Direct Plan - Growth PlanMedium to Long Duration Fund,3,145.36,0.08%,0.80%,1.89%,1.64%,1.28%,6.78%,10.15%,9.58%,8.72%,-,0.17%,0.92%,0.20%,-1.15%,-0.22%,0.50%,0.20%,1.03%,-0.26%,-1.16%,2.42%,0.56%,1.29%,-0.38%,2.58%,0.45%,4.35%,2.97%,1.54%,2.72%,3.80%,3.00%,3.41%,1.18%,-0.65%,9.97%,-7.27%,5.05%,4.22%,7.03%,4.46%,13.12%,4.16%,9.58%,6.71%,3.51%,5/15,8/15,4/15,4/15,8/15,4/15,4/14,6/14,5/14,2/14,3.68,1.04,1.5,-0.62,0.05,-,-,-,83.89%,15,-,16.11%,-,54.5657,0.04%,12-May-21,54.5657,12-May-21,51.9507,20-May-20,2.83%,8.86%,14.81%,22.98%,-
ICICI Prudential Bond Fund - Direct Plan - GrowthMedium to Long Duration Fund,3,3366.05,0.06%,0.67%,1.94%,1.68%,1.19%,8.08%,10.58%,9.73%,8.69%,-,0.20%,1.00%,0.29%,-1.09%,-0.14%,0.58%,0.29%,1.11%,-0.18%,-1.08%,2.50%,0.64%,0.98%,-0.78%,2.41%,0.81%,2.71%,2.48%,1.63%,2.21%,2.48%,2.04%,2.94%,0.91%,-0.29%,11.07%,-6.35%,6.10%,5.27%,8.17%,5.54%,14.42%,4.74%,-,-,-,8/14,14/14,6/14,7/14,12/14,4/14,6/13,8/13,8/13,0/0,3.83,1.07,1.5,-0.62,0.05,-,-,-,91.69%,14,-,8.31%,-,57.0048,0.04%,12-May-21,57.4496,05-Jan-21,54.294,18-May-20,2.62%,8.26%,14.19%,22.53%,54.97%
Canara Robeco Income Fund - Regular Plan - Growth PlanMedium to Long Duration Fund,3,145.36,0.06%,0.70%,1.60%,1.07%,1.14%,5.59%,8.95%,8.44%,7.70%,8.17%,0.37%,0.95%,0.69%,-1.26%,-0.58%,0.73%,0.49%,1.59%,0.11%,-1.99%,0.68%,1.23%,1.10%,-0.55%,2.57%,0.94%,2.83%,2.60%,1.76%,2.33%,2.59%,2.14%,3.07%,1.05%,-0.68%,11.28%,10.90%,6.51%,3.13%,12.67%,6.22%,15.69%,4.10%,10.35%,8.59%,3.87%,10/15,15/15,7/15,8/15,13/15,5/15,7/14,10/14,9/14,9/14,3.2,0.91,1.33,-1.12,0.05,-,-,-,80.45%,26,-,19.55%,-,50.8317,0.04%,12-May-21,50.8317,12-May-21,48.6394,20-May-20,2.61%,8.02%,14.35%,23.53%,-
Nippon India Income Fund - Direct Plan - GrowthMedium to Long Duration Fund,3,300.24,0.05%,0.58%,1.59%,0.97%,1.29%,5.16%,10.37%,10.34%,8.83%,-,0.39%,1.01%,0.75%,-1.22%,-0.53%,0.79%,0.54%,1.64%,0.16%,-1.94%,0.73%,1.27%,1.24%,-1.91%,2.76%,-0.22%,3.36%,2.79%,0.78%,2.59%,3.63%,2.45%,4.48%,1.09%,-0.44%,11.97%,11.41%,7.31%,4.19%,13.45%,7.17%,16.23%,5.10%,-,-,-,2/14,6/14,12/14,3/14,11/14,5/14,4/13,5/13,7/13,0/0,3.36,0.97,1.32,-1.3,0.05,-,-,-,90.86%,59,-,9.14%,-,53.546,0.04%,12-May-21,54.0895,05-Jan-21,51.3216,18-May-20,2.42%,8.41%,15.03%,23.57%,-
