Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
PGIM India Money Market Fund - Direct Plan - GrowthMoney Market Fund,-,98.85,0.07%,0.33%,0.97%,1.79%,0.43%,4.42%,-,-,-,-,0.09%,0.37%,0.35%,0.23%,0.19%,0.25%,0.30%,0.33%,0.27%,0.31%,0.49%,0.55%,0.35%,0.73%,0.73%,0.80%,2.09%,1.25%,1.39%,1.43%,1.59%,1.87%,1.89%,1.46%,1.11%,4.98%,6.64%,6.14%,6.03%,8.10%,8.30%,8.62%,8.42%,8.52%,8.57%,5.13%,12/18,2/18,1/18,1/18,2/18,1/18,4/15,14/14,14/14,14/14,1.11,2.70,2.76,-4.99,0.01,-,-,-,93.89%,80,-,6.11%,-,3234.7753,0.01%,12-May-21,3234.7753,12-May-21,3091.9034,18-May-20,2.50%,6.03%,8.88%,14.34%,-
Sundaram Money Market Fund - Direct Plan - GrowthMoney Market Fund,-,91.67,0.07%,0.30%,0.88%,1.70%,0.42%,4.01%,5.71%,-,-,-,0.09%,0.38%,0.37%,0.24%,0.20%,0.26%,0.31%,0.34%,0.28%,0.32%,0.50%,0.56%,0.43%,0.90%,0.92%,1.00%,2.29%,1.44%,1.58%,1.72%,1.74%,2.03%,2.09%,1.61%,1.36%,5.80%,7.38%,6.81%,6.63%,8.71%,8.96%,9.32%,9.12%,-,-,-,14/18,3/18,1/18,1/18,2/18,1/18,5/15,14/14,14/14,0/0,2.49,-,1.96,-,0.1,-,-,-,97.02%,23,-,2.98%,-,3498.5265,0.01%,12-May-21,3498.5265,12-May-21,3351.1173,18-May-20,2.39%,5.84%,8.59%,13.91%,38.04%
Sundaram Money Market Fund - GrowthMoney Market Fund,-,91.67,0.07%,0.30%,0.86%,1.67%,0.41%,3.92%,5.62%,-,-,-,0.10%,0.35%,0.40%,0.27%,0.20%,0.27%,0.33%,0.39%,0.30%,0.38%,0.47%,0.59%,0.44%,0.91%,1.02%,1.12%,2.30%,1.56%,1.67%,-,-,-,-,-,1.38%,6.17%,3.00%,-,-,-,-,-,-,-,-,-,6/18,5/18,3/18,2/18,3/18,2/18,2/15,2/14,2/14,1/14,,,,,,-,-,-,95.67%,52,-,4.33%,-,3209.6512,0.01%,12-May-21,3209.6512,12-May-21,3070.9088,18-May-20,2.23%,5.81%,10.07%,18.92%,-
Nippon India Money Market - Direct Plan - GrowthMoney Market Fund,5,8565.01,0.06%,0.36%,1.06%,1.94%,0.46%,4.84%,6.30%,7.02%,7.00%,-,0.10%,0.34%,0.39%,0.26%,0.20%,0.26%,0.32%,0.38%,0.29%,0.37%,0.46%,0.58%,0.46%,0.95%,1.06%,1.16%,2.34%,1.59%,1.71%,-,-,-,-,-,1.41%,6.33%,3.06%,-,-,-,-,-,-,-,-,-,8/18,5/18,4/18,3/18,5/18,2/18,3/15,2/14,5/14,0/0,,,,,,-,-,-,82.04%,8,-,17.96%,-,4495.2501,0.01%,12-May-21,4495.2501,12-May-21,4284.9352,18-May-20,2.33%,6.02%,10.30%,18.94%,-
UTI Money Market Fund - Direct Plan - GrowthMoney Market Fund,4,7545.74,0.06%,0.36%,1.04%,1.89%,0.46%,4.98%,6.26%,6.96%,7.00%,-,0.09%,0.33%,0.39%,0.28%,0.18%,0.28%,0.33%,0.42%,0.30%,0.31%,0.44%,0.49%,0.47%,0.92%,1.06%,1.24%,2.46%,1.64%,1.52%,2.17%,1.85%,2.13%,2.16%,1.88%,1.39%,6.59%,7.98%,7.89%,6.72%,7.69%,8.37%,9.14%,9.33%,9.73%,9.04%,5.65%,5/18,4/18,5/18,5/18,4/18,3/18,3/15,4/14,8/14,9/14,,,,,,-,-,-,94.54%,20,-,5.46%,-,3481.2691,0.01%,12-May-21,3481.2691,12-May-21,3337.7952,18-May-20,2.34%,5.81%,10.03%,18.81%,-
Nippon India Money Market - GrowthMoney Market Fund,5,8565.01,0.06%,0.35%,1.03%,1.88%,0.44%,4.74%,6.19%,6.91%,6.90%,7.96%,0.09%,0.32%,0.38%,0.27%,0.17%,0.27%,0.32%,0.42%,0.29%,0.30%,0.43%,0.48%,0.48%,0.95%,1.10%,1.27%,2.49%,1.66%,1.56%,2.10%,1.88%,2.16%,2.20%,1.92%,1.45%,6.72%,8.12%,8.04%,6.83%,7.77%,8.46%,9.21%,9.38%,-,-,-,6/18,4/18,5/18,6/18,4/18,3/18,2/15,3/14,6/14,0/0,,,,,,-,-,-,82.04%,8,-,17.96%,-,4438.9796,0.01%,12-May-21,4438.9796,12-May-21,4237.3121,18-May-20,2.33%,5.91%,10.12%,18.83%,47.51%
UTI Money Market Fund - Regular Plan - GrowthMoney Market Fund,4,7545.74,0.06%,0.35%,1.02%,1.85%,0.45%,4.88%,6.15%,6.84%,6.88%,7.95%,0.10%,0.36%,0.42%,0.24%,0.19%,0.25%,0.33%,0.37%,0.28%,0.38%,0.52%,0.60%,0.29%,0.64%,0.74%,0.68%,1.16%,1.24%,1.45%,2.02%,-,-,-,-,0.94%,3.89%,3.74%,-,-,-,-,-,-,-,-,-,8/18,7/18,9/18,7/18,8/18,4/18,6/15,7/14,7/14,7/14,,,,,,-,-,-,95.67%,54,-,4.33%,-,2405.5927,0.01%,12-May-21,2405.5927,12-May-21,2297.0,18-May-20,2.31%,-,-,-,-
Axis Money Market Fund - Direct Plan - GrowthMoney Market Fund,3,3155.05,0.06%,0.36%,1.07%,1.95%,0.49%,5.04%,-,-,-,-,0.11%,0.37%,0.43%,0.25%,0.21%,0.26%,0.34%,0.38%,0.29%,0.39%,0.53%,0.62%,0.33%,0.71%,0.84%,0.77%,1.24%,1.31%,1.52%,2.09%,-,-,-,-,1.06%,4.22%,3.90%,-,-,-,-,-,-,-,-,-,15/18,7/18,7/18,7/18,8/18,4/18,6/15,5/14,3/14,0/0,,,,,,-,-,-,94.71%,26,-,5.29%,-,2384.8887,0.01%,12-May-21,2384.8887,12-May-21,2279.3292,18-May-20,2.15%,5.41%,9.21%,17.56%,-
HDFC Money Market Fund - Direct Plan - GrowthMoney Market Fund,2,14231.64,0.06%,0.38%,1.11%,1.93%,0.50%,5.26%,6.68%,7.15%,7.06%,-,0.07%,0.28%,0.35%,0.22%,0.12%,0.19%,0.24%,0.27%,0.20%,0.22%,0.35%,0.42%,0.31%,0.64%,0.85%,0.82%,1.98%,1.54%,1.53%,3.84%,0.42%,2.08%,2.01%,1.68%,0.94%,5.32%,8.13%,7.27%,7.46%,9.11%,8.40%,8.59%,8.70%,10.63%,9.28%,5.21%,10/18,9/18,9/18,10/18,10/18,5/18,8/15,8/14,9/14,0/0,,,,,,-,-,-,95.33%,38,-,4.67%,-,1057.3053,0.02%,12-May-21,1057.3053,12-May-21,1014.5964,18-May-20,2.13%,5.44%,9.58%,18.21%,-
L&T Money Market Fund - Direct Plan - GrowthMoney Market Fund,3,1030.4,0.06%,0.28%,0.83%,1.59%,0.38%,4.19%,6.63%,6.95%,7.57%,-,0.09%,0.34%,0.41%,0.27%,0.18%,0.25%,0.30%,0.33%,0.26%,0.30%,0.42%,0.48%,0.36%,0.75%,0.97%,0.94%,2.10%,1.67%,1.65%,3.95%,0.53%,2.19%,2.13%,1.82%,1.13%,5.84%,8.62%,7.81%,8.00%,9.65%,8.82%,8.77%,8.84%,-,-,-,3/18,9/18,8/18,6/18,9/18,5/18,8/15,6/14,6/14,6/14,,,,,,-,-,-,95.48%,72,-,4.52%,-,1046.5615,0.01%,12-May-21,1046.5615,12-May-21,1013.175,18-May-20,2.13%,5.44%,9.53%,18.14%,-
