Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Mirae Asset Overnight Fund - Direct Plan - GrowthOvernight Fund,-,453.81,0.06%,0.27%,0.77%,1.55%,0.39%,3.15%,-,-,-,-,0.11%,0.25%,0.25%,0.21%,0.25%,0.24%,0.20%,0.23%,0.24%,0.25%,0.24%,0.22%,0.34%,0.70%,0.69%,0.73%,0.70%,1.06%,-,-,-,-,-,-,1.06%,3.22%,0.80%,-,-,-,-,-,-,-,-,-,2/30,5/30,3/30,3/30,5/30,1/30,0/0,0/0,0/0,0/0,0.09,0.0,14.04,1.21,4.69,-,-,-,-,-,-,100.00%,-,3364.1596,0.01%,13-May-21,3364.1596,13-May-21,3265.6748,17-May-20,1.58%,-,-,-,-
BOI AXA Overnight Fund - Direct Plan - GrowthOvernight Fund,-,24.81,0.06%,0.26%,0.77%,1.55%,0.39%,3.19%,-,-,-,-,0.11%,0.25%,0.26%,0.22%,0.25%,0.25%,0.20%,0.23%,0.25%,0.26%,0.25%,0.23%,0.35%,0.73%,0.72%,0.75%,0.72%,1.08%,-,-,-,-,-,-,1.10%,3.33%,0.82%,-,-,-,-,-,-,-,-,-,2/30,5/30,3/30,4/30,4/30,1/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,3331.3592,0.01%,13-May-21,3331.3592,13-May-21,3236.0747,17-May-20,1.57%,-,-,-,-
PGIM India Overnight Fund - Direct Plan - GrowthOvernight Fund,-,137.03,0.06%,0.26%,0.77%,1.54%,0.39%,3.13%,-,-,-,-,0.10%,0.24%,0.25%,0.20%,0.24%,0.24%,0.18%,0.23%,0.24%,0.24%,0.24%,0.22%,0.36%,0.72%,0.71%,0.74%,0.67%,1.09%,1.26%,-,-,-,-,-,1.09%,3.25%,1.81%,-,-,-,-,-,-,-,-,-,1/30,3/30,4/30,1/30,3/30,2/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,3069.2902,0.01%,13-May-21,3069.2902,13-May-21,2979.9468,17-May-20,1.56%,-,-,-,-
LIC MF Overnight Fund - Direct Plan - GrowthOvernight Fund,-,271.75,0.06%,0.26%,0.76%,1.51%,0.38%,3.05%,-,-,-,-,0.10%,0.25%,0.26%,0.21%,0.25%,0.25%,0.19%,0.24%,0.25%,0.25%,0.25%,0.23%,0.35%,0.71%,0.69%,0.72%,0.65%,1.07%,1.25%,-,-,-,-,-,1.06%,3.18%,1.79%,-,-,-,-,-,-,-,-,-,19/30,13/30,15/30,8/30,22/30,2/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,3051.1122,0.01%,13-May-21,3051.1122,13-May-21,2965.2373,17-May-20,1.56%,-,-,-,-
Mahindra Manulife Overnight Fund - Direct Plan - GrowthOvernight Fund,-,48.63,0.06%,0.27%,0.77%,1.53%,0.39%,3.11%,-,-,-,-,0.10%,0.24%,0.26%,0.21%,0.25%,0.25%,0.19%,0.23%,0.24%,0.25%,0.25%,0.23%,0.36%,0.72%,0.71%,0.74%,0.65%,1.03%,1.16%,1.31%,-,-,-,-,1.08%,3.18%,3.34%,-,-,-,-,-,-,-,-,-,25/30,23/30,25/30,12/30,27/30,3/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,2828.0099,0.01%,13-May-21,2828.0099,13-May-21,2744.7003,17-May-20,1.56%,-,-,-,-
Axis Overnight Fund - Direct Plan - GrowthOvernight Fund,-,6151.93,0.06%,0.26%,0.76%,1.53%,0.38%,3.09%,3.97%,-,-,-,0.11%,0.25%,0.26%,0.22%,0.25%,0.25%,0.20%,0.24%,0.25%,0.25%,0.25%,0.24%,0.36%,0.73%,0.72%,0.75%,0.67%,1.04%,1.18%,1.32%,-,-,-,-,1.10%,3.24%,3.37%,-,-,-,-,-,-,-,-,-,11/30,9/30,7/30,7/30,3/30,3/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,2803.7568,0.01%,13-May-21,2803.7568,13-May-21,2722.7416,17-May-20,1.56%,-,-,-,-
Sundaram Overnight Fund - Direct Plan - GrowthOvernight Fund,-,684.75,0.06%,0.26%,0.74%,1.50%,0.38%,3.03%,3.99%,-,-,-,0.11%,0.24%,0.25%,0.22%,0.24%,0.25%,0.20%,0.24%,0.25%,0.25%,0.26%,0.24%,0.36%,0.72%,0.71%,0.74%,0.68%,1.07%,1.17%,1.31%,1.43%,1.47%,-,-,1.07%,3.23%,5.56%,0.79%,-,-,-,-,-,-,-,-,3/30,6/30,6/30,2/30,5/30,4/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,1611.642,0.01%,13-May-21,1611.642,13-May-21,1564.2499,17-May-20,1.55%,3.50%,-,-,-
PGIM India Overnight Fund - Regular Plan - GrowthOvernight Fund,-,137.03,0.06%,0.26%,0.75%,1.50%,0.38%,3.03%,-,-,-,-,0.11%,0.25%,0.26%,0.22%,0.25%,0.26%,0.21%,0.24%,0.26%,0.26%,0.27%,0.25%,0.37%,0.74%,0.73%,0.76%,0.70%,1.09%,1.20%,1.34%,1.45%,1.49%,-,-,1.12%,3.34%,5.68%,0.80%,-,-,-,-,-,-,-,-,3/30,4/30,5/30,5/30,2/30,4/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,1534.6702,0.01%,13-May-21,1534.6702,13-May-21,1491.0358,17-May-20,1.56%,-,-,-,-
ICICI Prudential Overnight Fund - Direct Plan - GrowthOvernight Fund,-,13195.19,0.06%,0.26%,0.75%,1.52%,0.38%,3.05%,3.93%,-,-,-,0.10%,0.24%,0.25%,0.21%,0.25%,0.24%,0.18%,0.23%,0.24%,0.24%,0.24%,0.22%,0.35%,0.72%,0.71%,0.74%,0.68%,1.08%,1.19%,1.32%,1.43%,-,-,-,1.08%,3.26%,5.36%,-,-,-,-,-,-,-,-,-,4/30,4/30,5/30,6/30,6/30,5/30,3/17,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,1117.1027,0.01%,13-May-21,1117.1027,13-May-21,1084.2345,17-May-20,1.55%,3.48%,-,-,-
HSBC Overnight Fund - Direct Plan - GrowthOvernight Fund,-,463.68,0.06%,0.26%,0.77%,1.55%,0.38%,3.13%,-,-,-,-,0.11%,0.25%,0.26%,0.22%,0.25%,0.25%,0.19%,0.24%,0.25%,0.25%,0.25%,0.23%,0.37%,0.74%,0.74%,0.76%,0.70%,1.09%,1.20%,1.34%,1.44%,-,-,-,1.12%,3.35%,5.41%,-,-,-,-,-,-,-,-,-,9/30,6/30,2/30,4/30,6/30,5/30,0/0,0/0,0/0,0/0,,,,,,-,-,-,-,-,-,100.00%,-,1098.4126,0.01%,13-May-21,1098.4126,13-May-21,1066.5157,17-May-20,1.55%,3.48%,-,-,-
