Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Franklin India Short Term Income Plan - GrowthShort Duration Fund,1,4656.9,0.25%,1.60%,4.66%,9.75%,2.35%,9.73%,1.09%,3.60%,5.73%,7.54%,0.45%,1.84%,1.56%,1.09%,0.82%,2.20%,2.49%,1.66%,1.40%,-4.03%,-1.19%,0.32%,2.30%,3.48%,6.57%,-3.72%,-2.10%,-6.01%,0.04%,1.19%,0.43%,2.31%,3.57%,1.76%,1.04%,10.06%,6.90%,6.59%,5.90%,9.20%,8.09%,10.03%,7.75%,9.81%,8.82%,5.59%,21/27,9/27,4/26,12/26,10/27,1/26,23/26,23/25,22/24,21/22,5.18,0.83,0.03,-3.98,0.0,-,-,-,98.36%,148,-,1.64%,-,1864.814,0.03%,12-May-21,1864.814,12-May-21,1763.3815,18-May-20,8.15%,5.55%,6.63%,13.44%,-
Franklin India Short Term Income Plan - Direct - GrowthShort Duration Fund,1,4656.9,0.25%,1.60%,4.68%,9.97%,2.35%,10.36%,1.75%,4.33%,6.46%,-,0.45%,1.84%,1.53%,1.14%,0.88%,2.26%,2.55%,1.72%,1.46%,-3.96%,-1.13%,0.38%,2.30%,3.59%,6.77%,-3.54%,-1.92%,-5.85%,0.23%,1.37%,0.62%,2.50%,3.77%,1.95%,1.30%,10.85%,7.80%,7.41%,6.29%,9.71%,8.83%,10.60%,8.27%,-,-,-,21/27,8/27,3/26,7/26,6/27,1/26,23/26,21/25,22/24,0/0,1.95,1.03,2.48,-0.29,0.05,-,-,-,95.78%,207,-,4.22%,-,4347.9049,0.01%,12-May-21,4347.9049,12-May-21,3778.4472,31-Aug-20,7.32%,4.78%,5.48%,11.30%,38.42%
Nippon India Short Term Fund - Direct Plan - GrowthShort Duration Fund,4,8374.88,0.16%,0.80%,2.25%,2.85%,1.16%,8.74%,9.59%,9.07%,8.33%,-,0.30%,0.70%,0.58%,-0.02%,0.08%,0.50%,0.83%,1.28%,0.10%,-0.08%,1.30%,1.69%,1.00%,0.50%,2.64%,1.82%,4.08%,2.17%,2.41%,2.55%,2.15%,2.71%,2.47%,1.62%,0.98%,9.58%,9.72%,6.39%,5.91%,8.76%,8.08%,10.06%,7.55%,9.32%,9.20%,3.69%,17/27,3/27,6/26,20/26,2/27,2/26,21/26,19/25,20/24,18/22,7.65,1.16,0.16,-4.55,0.01,-,-,-,95.72%,72,-,4.28%,-,4083.8591,0.01%,12-May-21,4083.8591,12-May-21,3561.5126,31-Aug-20,4.21%,6.50%,7.64%,12.83%,-
Nippon India Short Term Fund - GrowthShort Duration Fund,3,8374.88,0.14%,0.74%,2.05%,2.43%,1.07%,7.85%,8.71%,8.24%,7.58%,8.35%,0.28%,0.64%,0.52%,-0.07%,0.02%,0.44%,0.77%,1.22%,0.04%,-0.14%,1.24%,1.62%,0.92%,0.32%,2.44%,1.63%,3.89%,1.99%,2.22%,2.36%,1.96%,2.53%,2.27%,1.39%,1.16%,10.15%,10.23%,6.92%,6.46%,9.35%,8.70%,10.90%,8.28%,-,-,-,20/27,4/27,8/26,24/26,4/27,2/26,21/26,19/25,20/24,0/0,1.85,-,2.47,-,0.05,-,-,-,93.44%,22,-,6.56%,-,1703.7348,0.03%,12-May-21,1703.7348,12-May-21,1632.2624,18-May-20,3.82%,9.26%,14.78%,24.37%,-
Kotak Bond Short Term Plan - Direct Plan - GrowthShort Duration Fund,3,17020.08,0.13%,0.68%,1.56%,1.87%,0.95%,7.73%,9.43%,9.22%,8.55%,-,0.24%,0.83%,0.69%,-0.43%,-0.32%,0.29%,0.87%,1.00%,-0.09%,-0.23%,7.66%,1.32%,1.07%,-0.36%,2.14%,7.65%,-2.14%,2.20%,1.63%,2.23%,-7.69%,2.43%,2.33%,1.28%,1.00%,10.04%,9.74%,6.24%,5.93%,9.60%,8.08%,9.99%,7.19%,10.08%,9.20%,4.09%,15/27,19/27,5/26,4/26,9/27,3/26,3/26,3/25,3/24,1/22,2.05,1.09,2.48,-0.35,0.05,-,-,-,93.44%,22,-,6.56%,-,3058.05,0%,12-May-21,3058.05,12-May-21,2854.117,18-May-20,3.97%,9.18%,14.70%,23.79%,-
ICICI Prudential Short Term Fund - Direct Fund - GrowthShort Duration Fund,4,22192.54,0.12%,0.69%,1.65%,2.55%,1.00%,9.21%,10.00%,9.51%,8.96%,-,0.25%,0.86%,0.73%,-0.41%,-0.29%,0.32%,0.91%,1.03%,-0.06%,-0.20%,7.69%,1.36%,1.12%,-0.27%,2.25%,7.75%,-2.03%,2.31%,1.72%,2.35%,-7.56%,2.56%,2.54%,1.50%,1.25%,10.80%,10.42%,6.97%,6.67%,10.35%,9.01%,10.98%,8.02%,-,-,-,14/27,16/27,5/26,4/26,9/27,3/26,2/26,2/25,2/24,0/0,1.71,0.91,2.59,-0.10,0.05,-,-,-,92.81%,65,-,7.19%,-,26.0419,0.07%,12-May-21,26.0419,12-May-21,24.071,18-May-20,3.70%,7.79%,9.19%,14.82%,-
Kotak Bond Short Term Plan - GrowthShort Duration Fund,3,17020.08,0.12%,0.61%,1.35%,1.45%,0.85%,6.86%,8.54%,8.33%,7.64%,8.24%,0.20%,0.64%,0.56%,-0.34%,-0.15%,0.32%,0.74%,1.19%,0.10%,-0.26%,1.01%,1.49%,0.84%,-0.16%,2.24%,1.25%,3.65%,2.09%,1.95%,2.57%,1.95%,2.64%,2.59%,1.34%,1.36%,-1.13%,-13.26%,5.88%,6.28%,9.94%,8.68%,9.36%,7.12%,7.57%,7.56%,4.68%,1/27,1/27,1/26,1/26,1/27,4/26,24/26,22/25,17/24,14/22,2.22,1.21,1.85,-1.92,0.03,-,-,-,91.79%,55,-,8.21%,-,24.7388,0.07%,12-May-21,24.7388,12-May-21,23.0189,18-May-20,3.65%,5.40%,6.01%,10.02%,31.98%
ICICI Prudential Short Term Fund - GrowthShort Duration Fund,4,22192.54,0.11%,0.63%,1.46%,2.16%,0.91%,8.39%,9.18%,8.67%,8.10%,8.66%,0.23%,0.71%,0.62%,-0.28%,-0.09%,0.39%,0.80%,1.25%,0.17%,-0.19%,1.08%,1.56%,0.94%,0.04%,2.44%,1.46%,3.86%,2.29%,2.15%,2.64%,2.15%,2.84%,2.80%,1.55%,1.60%,-0.57%,-12.85%,6.50%,7.23%,10.96%,9.74%,10.41%,8.05%,-,-,-,1/27,1/27,1/26,1/26,1/27,4/26,24/26,22/25,18/24,0/0,2.25,1.13,2.15,-0.79,0.04,-,-,-,90.57%,119,-,9.43%,-,40.8359,0.02%,12-May-21,40.8359,12-May-21,38.001,18-May-20,3.74%,8.83%,13.90%,22.48%,55.87%
Mahindra Manulife Short Term Fund - Direct Plan - GrowthShort Duration Fund,-,154.71,0.10%,0.71%,-,-,0.98%,-,-,-,-,-,0.23%,0.63%,0.51%,0.24%,-,-,-,-,-,-,-,-,0.86%,-,-,-,-,-,-,-,-,-,-,-,1.11%,10.96%,8.52%,6.49%,5.60%,11.21%,8.30%,11.26%,10.07%,11.15%,9.45%,5.99%,4/27,12/27,10/26,3/26,10/27,5/26,1/26,1/25,1/24,0/0,34.79,0.92,0.16,0.96,0.06,-,-,-,93.03%,121,-,7.02%,-0.05%,34.8662,0.02%,12-May-21,34.8662,12-May-21,32.55,18-May-20,3.48%,7.33%,8.43%,13.16%,37.60%
Axis Short Term Fund - Direct Plan - GrowthShort Duration Fund,3,11596.29,0.10%,0.67%,1.49%,2.14%,0.94%,8.20%,9.62%,9.27%,8.59%,-,0.26%,0.70%,0.58%,-0.44%,-,-,-,-,-,-,-,-,0.96%,-,-,-,-,-,-,-,-,-,-,-,1.37%,11.74%,9.26%,7.18%,6.36%,11.95%,8.71%,11.84%,10.65%,-,-,-,10/27,17/27,8/26,5/26,6/27,5/26,1/26,1/25,1/24,2/22,3.04,1.20,0.74,-3.75,0.02,-,-,-,88.08%,38,-,11.92%,-,38.8476,0.02%,12-May-21,38.8476,12-May-21,35.0964,18-May-20,3.48%,9.13%,14.91%,24.81%,-
