Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Franklin India Ultra Short Bond Fund - Super Institutional - GrowthUltra Short Duration Fund,1,3785.09,0.20%,1.28%,2.68%,4.18%,1.60%,9.26%,6.69%,7.62%,8.00%,8.95%,0.10%,0.31%,0.34%,0.22%,0.15%,0.24%,0.30%,0.36%,0.25%,0.28%,0.32%,0.55%,0.35%,1.47%,0.75%,1.27%,0.59%,1.36%,1.39%,1.85%,-,-,-,-,0.04%,-,-,-,-,-,-,-,-,-,-,-,1/30,1/29,1/29,1/29,1/29,1/28,4/23,2/18,2/18,1/17,0.84,0.07,4.17,3.02,0.48,-,-,-,86.99%,24,-,13.03%,-0.02%,3268.5134,0.02%,12-May-21,3268.5134,12-May-21,3088.4368,18-May-20,4.57%,7.45%,11.54%,21.03%,-
Franklin India Ultra Short Bond Fund - Super Institutional - Direct - GrowthUltra Short Duration Fund,1,3785.09,0.20%,1.28%,2.69%,4.21%,1.60%,9.34%,6.78%,7.71%,8.08%,-,0.11%,0.32%,0.35%,0.23%,0.16%,0.25%,0.32%,0.37%,0.26%,0.29%,0.33%,0.56%,0.29%,1.35%,0.63%,1.14%,0.47%,1.24%,1.24%,1.70%,-,-,-,-,0.06%,-,-,-,-,-,-,-,-,-,-,-,1/29,1/28,1/28,1/28,1/28,1/27,4/22,3/17,3/17,0/0,0.73,0.3,3.66,1.17,0.09,-,-,-,92.46%,30,-,7.54%,-,4738.6027,0.01%,12-May-21,4738.6027,12-May-21,4533.0686,18-May-20,4.85%,7.61%,11.66%,21.05%,54.75%
Nippon India Ultra Short Duration Fund - Direct Plan - GrowthUltra Short Duration Fund,3,890.84,0.09%,0.45%,1.51%,2.74%,0.62%,6.12%,3.59%,4.93%,5.77%,-,0.08%,0.32%,0.31%,0.25%,0.17%,0.22%,0.34%,0.42%,0.30%,0.34%,0.40%,0.54%,1.54%,1.75%,1.81%,2.26%,1.99%,-2.09%,2.22%,2.18%,2.09%,2.47%,2.65%,1.92%,1.84%,4.05%,3.75%,-,-,-,-,-,-,-,-,-,3/29,3/28,3/28,3/28,3/28,2/27,2/22,2/17,2/17,0/0,1.85,1.88,0.71,-3.1,0.01,-,-,-,69.43%,15,-,30.57%,-,3061.4842,0.01%,12-May-21,3061.4842,12-May-21,2914.8018,18-May-20,3.12%,5.14%,7.15%,13.90%,-
ICICI Prudential Ultra Short Term Fund - Direct Plan - GrowthUltra Short Duration Fund,2,9539.16,0.08%,0.43%,1.29%,2.34%,0.59%,6.71%,7.33%,7.76%,8.16%,-,0.11%,0.40%,0.39%,0.32%,0.24%,0.29%,0.41%,0.49%,0.37%,0.42%,0.47%,0.61%,1.54%,1.76%,1.83%,2.28%,2.01%,-2.06%,2.25%,2.20%,2.11%,2.48%,2.67%,1.94%,1.66%,3.53%,3.40%,-,-,-,-,-,-,-,-,-,4/30,4/29,4/29,3/29,4/29,2/28,3/23,4/18,4/18,4/17,,,,,,-,-,-,67.99%,8,-,32.01%,-,4696.3062,0.01%,12-May-21,4696.3062,12-May-21,4500.3111,18-May-20,2.98%,6.86%,11.47%,21.05%,-
Aditya Birla Sun Life Savings Fund - Direct Plan - GrowthUltra Short Duration Fund,4,18187.57,0.08%,0.42%,1.25%,2.05%,0.57%,6.16%,6.98%,7.50%,7.61%,-,0.08%,0.29%,0.32%,0.24%,0.11%,0.21%,0.30%,0.35%,0.28%,0.27%,0.31%,0.45%,0.57%,1.12%,1.43%,1.69%,2.06%,1.72%,2.13%,2.04%,2.08%,2.22%,2.31%,1.85%,3.37%,3.96%,9.44%,8.62%,8.21%,9.64%,9.70%,9.95%,10.00%,10.26%,9.35%,5.88%,2/30,2/29,3/29,4/29,2/29,3/28,2/23,3/18,3/18,3/17,,,,,,-,-,-,97.69%,95,-,2.31%,-,2866.3543,0.01%,12-May-21,2866.3543,12-May-21,2753.7707,18-May-20,2.68%,4.29%,5.86%,11.49%,33.72%
Aditya Birla Sun Life Savings Fund - Regular Plan - GrowthUltra Short Duration Fund,4,18187.57,0.07%,0.41%,1.21%,1.97%,0.55%,6.00%,6.83%,7.36%,7.47%,8.46%,0.09%,0.31%,0.35%,0.26%,0.13%,0.23%,0.32%,0.37%,0.30%,0.30%,0.33%,0.47%,0.50%,0.98%,1.28%,1.53%,1.89%,1.57%,1.99%,1.91%,1.94%,2.06%,2.20%,1.70%,3.39%,4.06%,9.54%,8.70%,8.29%,9.74%,9.79%,10.01%,10.05%,-,-,-,4/29,4/28,4/28,6/28,4/28,3/27,3/22,4/17,4/17,0/0,,,,,,-,-,-,88.11%,14,-,11.89%,-,2715.4637,0.01%,12-May-21,2715.4637,12-May-21,2626.8818,18-May-20,2.49%,6.23%,10.65%,19.66%,-
Nippon India Ultra Short Duration Fund - GrowthUltra Short Duration Fund,2,890.84,0.07%,0.38%,1.31%,2.35%,0.53%,5.31%,2.79%,4.11%,4.88%,6.66%,0.11%,0.41%,0.45%,0.25%,0.10%,0.28%,0.47%,0.52%,0.36%,0.46%,0.62%,0.93%,0.34%,0.61%,0.74%,0.70%,1.31%,1.19%,1.26%,1.59%,1.60%,1.76%,1.85%,-3.95%,1.72%,7.14%,8.95%,8.02%,7.73%,11.10%,10.18%,15.27%,3.25%,-,-,-,3/30,3/29,2/29,2/29,3/29,4/28,23/23,16/18,16/18,17/17,,,,,,-,-,-,81.78%,2,-,18.22%,-,2579.9797,0.01%,12-May-21,2579.9797,12-May-21,2480.0126,18-May-20,2.65%,6.19%,10.43%,19.08%,50.20%
ICICI Prudential Ultra Short Term Fund - GrowthUltra Short Duration Fund,3,9539.16,0.07%,0.38%,1.14%,2.05%,0.52%,6.07%,6.70%,7.13%,7.42%,8.01%,0.12%,0.43%,0.46%,0.26%,0.11%,0.29%,0.48%,0.53%,0.37%,0.47%,0.63%,0.95%,0.44%,0.81%,0.95%,0.91%,1.52%,1.41%,1.46%,1.79%,1.82%,1.95%,2.08%,-3.74%,1.50%,6.49%,8.34%,7.40%,6.93%,9.78%,9.07%,14.95%,2.79%,9.39%,3.66%,-,2/29,2/28,2/28,2/28,2/28,4/27,22/22,15/17,15/17,0/0,,,,,,-,-,-,97.87%,21,-,2.13%,-,2319.865,0.01%,12-May-21,2319.865,12-May-21,2244.795,18-May-20,2.59%,6.31%,10.68%,19.54%,50.58%
HDFC Ultra Short Term Fund - Direct Plan - GrowthUltra Short Duration Fund,3,15278.77,0.06%,0.40%,1.17%,1.99%,0.52%,5.56%,6.56%,-,-,-,0.11%,0.39%,0.40%,0.22%,0.16%,0.23%,0.32%,0.39%,0.28%,0.27%,0.32%,0.37%,0.38%,0.72%,1.01%,1.04%,2.13%,1.44%,1.60%,1.87%,1.75%,2.15%,2.13%,1.63%,0.97%,4.01%,6.46%,1.16%,6.25%,7.92%,8.80%,9.42%,9.76%,10.03%,6.92%,4.09%,7/30,6/29,6/29,7/29,6/29,5/28,5/23,0/0,0/0,0/0,,,,,,-,-,-,83.56%,52,-,16.44%,-,2530.8685,0.01%,12-May-21,2530.8685,12-May-21,2438.526,18-May-20,2.54%,5.94%,-,-,-
Mirae Asset Ultra Short Duration Fund - Direct Plan - GrowthUltra Short Duration Fund,-,259.36,0.06%,0.34%,0.99%,1.74%,0.46%,-,-,-,-,-,0.12%,0.40%,0.42%,0.24%,0.17%,0.25%,0.33%,0.40%,0.30%,0.28%,0.34%,0.38%,0.43%,0.83%,1.12%,1.15%,2.24%,1.55%,1.71%,2.08%,1.84%,2.24%,2.23%,1.72%,1.27%,4.88%,7.31%,2.03%,7.05%,8.00%,8.87%,9.52%,9.87%,-,-,-,5/29,5/28,5/28,9/28,7/28,5/27,6/22,0/0,0/0,0/0,,,,,,-,-,-,90.61%,63,-,9.39%,-,3177.6446,0.01%,12-May-21,3177.6446,12-May-21,3058.1776,18-May-20,2.49%,6.08%,-,-,-
