Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Tax Plan - Direct Plan - GrowthELSS,5,106.05,6.05%,10.05%,24.16%,55.08%,32.23%,131.26%,43.55%,27.41%,24.32%,-,1.29%,0.61%,-1.05%,5.21%,-1.14%,4.42%,11.10%,0.46%,-1.11%,4.19%,4.12%,6.15%,-0.30%,5.27%,18.96%,7.31%,19.37%,-21.62%,4.52%,1.02%,3.72%,4.40%,2.56%,-3.83%,10.86%,11.48%,5.34%,-,-,-,-,-,-,-,-,-,1/68,1/65,1/67,1/68,1/68,1/68,1/66,1/62,3/46,4/30,19.31,0.9,0.26,-2.49,0.06,530.00%,101.27%,51,-,-,-,-1.27%,-,527.02,0.65%,07-May-21,539.62,03-Mar-21,308.86,18-May-20,59.12%,84.32%,92.16%,109.87%,-
Quant Tax Plan - GrowthELSS,5,106.05,6.00%,9.87%,23.50%,53.42%,31.24%,126.70%,41.01%,25.65%,23.24%,14.90%,1.34%,0.78%,-0.87%,5.37%,-0.97%,4.61%,11.28%,0.63%,-0.94%,4.38%,4.31%,6.34%,-0.17%,5.61%,19.34%,7.65%,19.71%,-21.38%,4.83%,1.32%,3.99%,4.70%,2.82%,-3.55%,11.71%,13.94%,5.80%,-,-,-,-,-,-,-,-,-,1/63,1/63,1/63,1/63,1/63,1/63,1/61,1/57,1/42,0/0,19.62,0.87,0.29,-1.57,0.07,530.00%,101.27%,51,-,-,-,-1.27%,-,768.5667,0.42%,07-May-21,787.4202,03-Mar-21,424.6445,18-May-20,57.16%,80.35%,86.86%,102.63%,218.21%
Sundaram Long Term Micro Cap Tax Advantage Fund - Series V - Direct Plan - GrowthELSS,-,37.1,4.12%,6.74%,16.47%,50.65%,23.93%,104.47%,15.92%,0.79%,-,-,1.80%,-0.41%,-0.81%,1.66%,-2.27%,5.59%,7.69%,1.17%,0.77%,1.44%,7.03%,4.59%,3.60%,13.15%,20.25%,14.09%,28.34%,-31.95%,5.02%,-6.99%,-0.45%,5.37%,0.37%,-4.01%,5.81%,13.53%,7.95%,0.33%,38.00%,2.65%,1.83%,34.99%,-0.67%,28.66%,-22.21%,18.88%,3/68,2/65,2/67,2/68,2/68,2/68,37/66,61/62,0/0,0/0,20.74,0.97,0.3,-1.16,0.06,41.00%,99.90%,69,-,-,-,0.10%,-,488.23,0.65%,07-May-21,500.28,03-Mar-21,288.1,18-May-20,47.25%,49.68%,41.15%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series V - Regular Plan - GrowthELSS,-,37.1,4.11%,6.72%,16.40%,50.42%,23.81%,103.83%,15.56%,0.38%,-,-,1.81%,-0.35%,-0.76%,1.69%,-2.23%,5.64%,7.73%,1.21%,0.81%,1.49%,7.12%,4.70%,3.70%,13.44%,20.55%,14.40%,28.71%,-31.78%,5.29%,-6.71%,-0.11%,5.78%,0.65%,-3.72%,6.02%,14.48%,8.65%,0.95%,38.61%,3.98%,3.19%,35.47%,-1.49%,-,-,-,3/63,2/63,2/63,2/63,2/63,2/63,36/61,55/57,0/0,0/0,19.92,0.92,0.4,1.0,0.09,41.00%,99.90%,69,-,-,-,0.10%,-,713.4535,0.41%,07-May-21,732.0924,03-Mar-21,397.6326,18-May-20,47.25%,48.62%,39.60%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI - Direct Plan - GrowthELSS,-,38.37,3.90%,7.10%,16.99%,50.67%,24.66%,105.11%,14.93%,-0.03%,-,-,2.11%,-0.65%,-0.01%,2.63%,0.48%,4.19%,12.84%,2.42%,-0.63%,2.94%,6.85%,4.01%,0.69%,1.88%,25.94%,6.79%,16.57%,-21.78%,5.51%,2.11%,4.36%,1.84%,3.15%,-2.77%,12.04%,13.43%,-0.72%,1.04%,22.26%,12.35%,2.26%,40.13%,8.13%,31.36%,-20.92%,28.17%,2/68,3/65,3/67,3/68,3/68,3/68,31/66,59/62,0/0,0/0,21.72,1.0,0.23,-3.85,0.05,-,99.79%,56,-,-,-,0.21%,-,191.0612,1.42%,07-May-21,191.0612,07-May-21,81.3329,18-May-20,47.01%,48.19%,38.75%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series VI - Regular Plan - GrowthELSS,-,38.37,3.90%,7.08%,16.92%,50.48%,24.55%,104.56%,14.61%,-0.82%,-,-,2.11%,-0.70%,-0.06%,2.60%,0.45%,4.14%,12.79%,2.37%,-0.68%,2.91%,6.78%,3.96%,0.78%,2.10%,26.21%,7.01%,16.80%,-21.64%,5.72%,1.59%,4.62%,2.07%,3.44%,-2.53%,11.86%,12.87%,-1.19%,0.87%,11.29%,-,-,-,-,-,-,-,2/63,3/63,3/63,3/63,3/63,3/63,31/61,54/57,0/0,0/0,21.03,0.96,0.22,-3.49,0.05,-,99.79%,56,-,-,-,0.21%,-,181.2285,1.41%,07-May-21,181.2285,07-May-21,78.6541,18-May-20,46.98%,49.18%,40.45%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV - Direct Plan - GrowthELSS,-,35.61,3.71%,5.97%,14.73%,47.31%,21.95%,99.72%,14.94%,-0.38%,-,-,1.95%,-1.29%,-1.28%,5.03%,0.23%,4.47%,15.49%,2.42%,-4.09%,5.71%,4.01%,5.27%,3.94%,6.96%,19.26%,16.67%,16.89%,-18.89%,7.14%,1.15%,1.89%,3.11%,1.00%,-10.58%,12.11%,9.52%,5.23%,-2.43%,29.11%,4.14%,3.78%,56.70%,5.56%,29.38%,-15.19%,23.47%,7/68,5/65,5/67,5/68,6/68,4/68,38/66,55/62,0/0,0/0,20.66,0.96,0.21,-3.65,0.05,51.00%,99.74%,50,-,-,-,0.26%,-,622.513,0.25%,07-May-21,636.986,03-Mar-21,384.313,18-May-20,44.18%,46.49%,38.28%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series IV - Regular Plan - GrowthELSS,-,35.61,3.70%,5.96%,14.70%,47.23%,21.90%,99.54%,14.80%,-0.69%,-,-,1.97%,-1.22%,-1.21%,5.10%,0.29%,4.55%,15.57%,2.50%,-4.02%,5.79%,4.09%,5.36%,4.04%,7.29%,19.58%,16.98%,17.21%,-18.68%,7.43%,1.44%,2.17%,3.42%,1.27%,-10.31%,12.45%,10.55%,6.33%,-1.50%,30.48%,5.16%,4.69%,57.84%,6.23%,-,-,-,7/63,5/63,5/63,5/63,6/63,4/63,39/61,51/57,0/0,0/0,19.25,0.9,0.53,2.35,0.11,51.00%,99.74%,50,-,-,-,0.26%,-,591.418,0.25%,07-May-21,605.67,03-Mar-21,367.222,18-May-20,44.15%,45.32%,39.31%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series III - Direct Plan - GrowthELSS,-,73.18,3.61%,5.84%,13.49%,45.56%,20.28%,95.82%,13.83%,-0.74%,-,-,1.65%,-1.43%,-0.55%,4.71%,-1.68%,6.86%,12.45%,2.07%,-4.20%,4.49%,4.17%,4.31%,3.68%,9.34%,15.30%,20.65%,16.92%,-17.88%,6.97%,0.35%,-2.08%,2.50%,-0.95%,-11.25%,9.22%,13.20%,8.35%,0.97%,26.00%,3.55%,4.11%,50.55%,9.48%,37.63%,-23.96%,24.11%,4/68,4/65,4/67,4/68,4/68,5/68,35/66,60/62,0/0,0/0,19.65,0.91,0.31,-1.03,0.07,-,99.48%,52,-,-,-,0.52%,-,278.48,0.33%,07-May-21,285.82,15-Feb-21,163.48,18-May-20,44.09%,46.32%,37.93%,-,-
Sundaram Long Term Micro Cap Tax Advantage Fund - Series III - Regular Plan - GrowthELSS,-,73.18,3.61%,5.83%,13.46%,45.46%,20.23%,95.52%,13.66%,-1.00%,-,-,1.66%,-1.37%,-0.54%,4.75%,-1.62%,6.92%,12.52%,2.13%,-4.14%,4.57%,4.25%,4.38%,3.73%,9.53%,15.46%,20.96%,17.16%,-17.72%,7.11%,0.58%,-1.94%,2.71%,-0.70%,-11.01%,9.42%,13.92%,9.20%,1.99%,27.64%,4.91%,5.08%,51.78%,10.19%,-,-,-,4/63,4/63,4/63,4/63,4/63,5/63,35/61,56/57,0/0,0/0,20.73,0.96,0.13,-4.53,0.03,12.00%,99.37%,39,-,-,-,0.63%,-,260.04,0.35%,07-May-21,266.97,15-Feb-21,151.9,18-May-20,43.99%,45.01%,38.61%,-,-
