Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Large and Mid Cap Fund - Direct Plan - GrowthLarge & Mid Cap Fund,-,12.87,3.83%,4.77%,12.19%,37.79%,16.21%,60.79%,25.87%,14.51%,16.47%,-,1.40%,-0.33%,-0.33%,4.42%,-0.88%,3.71%,11.42%,0.62%,-0.18%,5.87%,6.05%,5.50%,0.96%,9.16%,24.62%,9.62%,24.78%,-34.11%,4.91%,-4.20%,-1.25%,3.89%,1.20%,-2.12%,11.57%,12.94%,3.94%,-4.70%,37.29%,7.58%,5.00%,28.73%,1.65%,37.26%,-26.79%,14.38%,16/30,12/30,21/30,5/30,10/30,1/29,24/26,21/24,22/23,15/21,21.39,0.99,0.27,-1.77,0.06,705.00%,100.54%,32,-,-,-,-0.54%,-,456.85,0.55%,07-May-21,461.04,03-Mar-21,259.08,18-May-20,33.32%,38.66%,37.81%,42.77%,-
Quant Large and Mid Cap Fund - GrowthLarge & Mid Cap Fund,-,12.87,3.79%,4.62%,11.67%,36.96%,15.53%,59.69%,25.34%,13.96%,16.14%,14.50%,1.42%,-0.22%,-0.24%,4.51%,-0.78%,3.82%,11.53%,0.73%,-0.08%,5.97%,6.17%,5.61%,1.03%,9.37%,24.88%,9.89%,25.10%,-33.95%,5.14%,-3.55%,-1.08%,4.06%,1.37%,-1.93%,12.04%,14.29%,5.24%,-3.39%,39.50%,9.53%,6.60%,29.64%,1.53%,-,-,-,15/28,12/28,20/28,5/28,10/28,1/27,22/24,19/22,21/22,0/0,20.31,0.86,0.33,-1.30,0.08,705.00%,100.54%,32,-,-,-,-0.54%,-,423.82,0.54%,07-May-21,428.24,03-Mar-21,242.17,18-May-20,32.93%,37.95%,36.78%,40.89%,90.36%
UTI Core Equity Fund - Direct Plan - GrowthLarge & Mid Cap Fund,3,929.54,2.54%,3.16%,6.75%,37.13%,18.42%,78.67%,16.81%,8.98%,12.88%,-,1.04%,2.92%,0.54%,8.01%,-3.48%,5.20%,12.42%,0.78%,-0.93%,6.91%,3.89%,4.46%,2.02%,9.44%,22.76%,7.47%,23.84%,-30.40%,6.72%,-4.63%,1.89%,3.67%,0.30%,1.45%,12.71%,26.58%,18.81%,2.20%,-,-,-,-,-,-,-,-,6/28,7/28,9/28,9/28,6/28,2/27,2/24,1/22,1/22,0/0,20.28,0.86,0.37,3.18,0.09,92.00%,99.85%,65,-,-,-,0.14%,-,329.38,0.69%,07-May-21,329.38,07-May-21,186.847,18-May-20,32.27%,44.32%,52.11%,72.04%,-
ICICI Prudential Large & Mid Cap Fund- Direct Plan - GrowthLarge & Mid Cap Fund,2,3725.71,2.54%,1.85%,6.13%,33.24%,14.39%,70.57%,16.01%,10.44%,14.56%,-,1.03%,2.79%,0.44%,7.85%,-3.62%,5.04%,12.32%,0.73%,-1.04%,6.79%,3.74%,4.32%,1.95%,9.25%,22.52%,7.23%,23.65%,-30.52%,6.50%,-4.82%,1.68%,3.45%,0.05%,1.18%,12.14%,24.58%,16.63%,1.90%,-,-,-,-,-,-,-,-,2/30,2/30,4/30,2/30,1/30,2/29,15/26,19/24,19/23,17/21,18.68,0.85,0.53,2.20,0.12,92.00%,99.85%,65,-,-,-,0.14%,-,307.164,0.68%,07-May-21,307.164,07-May-21,175.866,18-May-20,31.45%,42.69%,49.60%,67.58%,241.76%
UTI Core Equity Fund - GrowthLarge & Mid Cap Fund,3,929.54,2.53%,3.11%,6.61%,36.79%,18.21%,77.82%,16.25%,8.44%,12.30%,11.31%,2.03%,1.77%,0.57%,3.14%,-2.83%,5.47%,10.48%,1.45%,0.72%,3.25%,5.83%,3.25%,1.48%,7.95%,20.63%,12.23%,21.70%,-24.44%,7.11%,-1.96%,-0.40%,2.94%,0.28%,-3.71%,8.79%,17.49%,8.79%,-14.94%,42.07%,0.78%,-2.50%,41.03%,5.80%,24.76%,-22.64%,4.47%,2/28,2/28,4/28,2/28,1/28,3/27,16/24,18/22,20/22,0/0,21.27,0.92,0.42,0.35,0.1,82.00%,99.49%,63,-,-,-,0.51%,-,303.8675,0.29%,07-May-21,313.5142,04-Mar-21,182.5273,18-May-20,31.22%,34.32%,33.31%,38.75%,-
ICICI Prudential Large & Mid Cap Fund- GrowthLarge & Mid Cap Fund,2,3725.71,2.52%,1.79%,5.96%,32.75%,14.10%,69.26%,15.12%,9.51%,13.43%,12.14%,2.05%,1.84%,0.67%,3.21%,-2.75%,5.59%,10.59%,1.51%,0.82%,3.34%,5.93%,3.33%,1.59%,8.24%,20.95%,12.53%,22.04%,-24.23%,7.40%,-1.69%,-0.12%,3.28%,0.52%,-3.50%,9.20%,18.41%,10.07%,-13.94%,43.78%,2.05%,-1.14%,42.47%,5.99%,-,-,-,6/30,7/30,9/30,8/30,6/30,3/29,3/26,1/24,1/23,1/21,20.25,0.92,0.28,-2.11,0.06,82.00%,99.49%,63,-,-,-,0.51%,-,279.0887,0.29%,07-May-21,288.4734,04-Mar-21,167.0142,18-May-20,30.79%,44.18%,48.13%,56.12%,-
DSP Equity Opportunities Fund - Direct Plan - GrowthLarge & Mid Cap Fund,3,5746.92,2.38%,3.08%,5.85%,31.48%,15.11%,70.69%,20.47%,12.63%,17.25%,-,-0.09%,0.83%,-0.41%,5.73%,-1.93%,5.72%,12.60%,1.56%,1.88%,4.74%,4.71%,5.85%,0.02%,8.90%,18.06%,9.02%,23.84%,-25.56%,8.67%,-1.06%,0.20%,6.64%,2.55%,-1.35%,10.20%,18.95%,9.72%,-12.23%,43.66%,9.18%,5.78%,60.54%,5.68%,-,-,-,16/28,15/28,13/28,3/28,5/28,4/27,18/24,11/22,17/22,0/0,22.35,0.96,0.24,-3.62,0.05,135.00%,99.49%,57,0.08%,1,-,0.23%,0.20%,311.1051,0.24%,07-May-21,311.1051,07-May-21,175.9897,18-May-20,30.58%,33.08%,31.57%,35.79%,95.30%
DSP Equity Opportunities Fund - Regular Plan - GrowthLarge & Mid Cap Fund,3,5746.92,2.36%,3.00%,5.60%,30.86%,14.73%,69.06%,19.34%,11.54%,16.07%,13.71%,-0.10%,0.76%,-0.48%,5.67%,-2.00%,5.64%,12.51%,1.48%,1.81%,4.65%,4.62%,5.76%,0.13%,9.23%,18.40%,9.35%,24.18%,-25.35%,8.93%,-1.27%,0.46%,6.90%,2.82%,-1.08%,9.88%,17.83%,8.76%,-13.22%,41.85%,7.95%,5.19%,59.72%,6.03%,29.71%,-28.03%,14.39%,18/30,16/30,13/30,10/30,12/30,5/29,17/26,11/24,18/23,21/21,19.85,-,0.34,-,0.07,135.00%,99.49%,57,0.08%,1,-,0.23%,0.20%,297.1303,0.24%,07-May-21,297.1303,07-May-21,169.2265,18-May-20,30.35%,35.23%,36.20%,43.11%,-
SBI Large & Midcap Fund - Direct Plan - GrowthLarge & Mid Cap Fund,3,3629.31,2.21%,2.43%,3.53%,30.71%,12.75%,71.08%,17.65%,11.93%,14.99%,-,1.17%,-0.69%,-0.31%,4.96%,-1.69%,4.88%,10.09%,-0.30%,0.01%,-,-,-,1.46%,11.17%,17.61%,9.54%,22.06%,-24.61%,-,-,-,-,-,-,9.77%,17.68%,-,-,-,-,-,-,-,-,-,-,28/28,22/28,17/28,16/28,18/28,5/27,10/24,14/22,14/22,0/0,20.98,0.91,0.34,-1.26,0.08,36.00%,99.43%,69,-,-,-,0.57%,-,57.4055,1.12%,07-May-21,57.4055,07-May-21,35.0691,18-May-20,30.13%,37.23%,41.11%,52.35%,-
SBI Large & Midcap Fund - Regular Plan - GrowthLarge & Mid Cap Fund,3,3629.31,2.20%,2.37%,3.35%,30.24%,12.47%,69.89%,16.87%,11.14%,14.23%,14.23%,1.23%,-0.61%,-0.08%,5.17%,-1.51%,5.03%,10.26%,-0.20%,0.22%,-,-,-,1.65%,11.67%,18.15%,10.06%,22.63%,-24.33%,-,-,-,-,-,-,10.54%,18.48%,-,-,-,-,-,-,-,-,-,-,30/30,23/30,17/30,16/30,18/30,6/29,12/26,15/24,15/23,9/21,19.09,0.87,0.47,1.60,0.1,36.00%,99.43%,69,-,-,-,0.57%,-,55.9652,1.11%,07-May-21,55.9652,07-May-21,34.4232,18-May-20,30.05%,43.24%,46.91%,54.36%,155.53%
