Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Top 100 Fund - Direct Plan - GrowthLarge Cap Fund,1,18445.21,3.41%,2.44%,-0.74%,25.03%,11.57%,63.04%,11.13%,10.37%,13.99%,-,3.21%,-3.64%,-1.18%,3.17%,-1.39%,-,-,-,-,-,-,-,0.52%,3.24%,20.66%,5.65%,19.22%,-22.22%,3.89%,2.18%,4.47%,5.09%,1.38%,-1.98%,6.71%,-,-,-,-,-,-,-,-,-,-,-,4/32,1/32,3/32,1/31,1/32,1/29,11/29,12/28,24/27,0/0,19.1,0.86,0.48,1.21,0.11,199.00%,175.76%,82,-,-,3.24%,6.92%,-,622.362,1.35%,10-May-21,642.33,03-Mar-21,364.976,18-May-20,31.63%,37.09%,38.16%,45.37%,-
HDFC Top 100 Fund - GrowthLarge Cap Fund,1,18445.21,3.40%,2.40%,-0.87%,24.69%,11.36%,62.11%,10.51%,9.70%,13.23%,10.90%,3.28%,-3.38%,-0.99%,3.33%,-1.22%,-,-,-,-,-,-,-,0.65%,3.56%,21.03%,5.96%,19.55%,-22.03%,4.17%,2.48%,4.74%,5.40%,1.69%,-1.62%,7.64%,-,-,-,-,-,-,-,-,-,-,-,7/35,7/35,8/35,2/34,5/35,2/32,32/32,28/31,12/30,9/27,20.48,0.92,0.33,-1.9,0.07,199.00%,175.76%,82,-,-,3.24%,6.92%,-,589.93,1.34%,10-May-21,609.442,03-Mar-21,347.882,18-May-20,31.07%,36.02%,36.54%,42.38%,93.07%
PGIM India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3,308.64,3.39%,2.52%,2.01%,20.87%,9.22%,58.26%,17.91%,12.48%,14.17%,-,3.08%,-0.96%,-0.57%,0.31%,-2.56%,6.32%,7.87%,2.11%,-0.55%,1.06%,6.68%,3.82%,0.96%,5.44%,22.55%,7.55%,23.42%,-29.18%,6.77%,-2.59%,-0.08%,4.58%,0.97%,-0.85%,5.87%,10.01%,9.01%,-5.68%,25.63%,-1.88%,2.84%,38.41%,-2.60%,24.43%,-23.53%,14.76%,7/32,7/32,8/32,3/31,5/32,2/29,28/29,25/28,9/27,0/0,20.06,0.9,0.37,-0.86,0.08,-,99.83%,47,-,1,-,0.17%,-,663.7261,1.15%,10-May-21,669.3678,03-Mar-21,368.21,18-May-20,28.02%,34.07%,-,-,-
PGIM India Large Cap Fund - GrowthLarge Cap Fund,3,308.64,3.36%,2.39%,1.63%,19.96%,8.63%,55.89%,16.28%,10.91%,12.50%,11.45%,3.08%,-0.95%,-0.56%,0.32%,-2.55%,6.33%,7.88%,2.12%,-0.55%,1.07%,6.69%,3.84%,0.24%,3.50%,16.83%,10.95%,21.69%,-24.26%,5.70%,-1.36%,1.07%,5.76%,-2.26%,0.17%,5.89%,10.17%,9.27%,-4.99%,26.49%,-0.51%,4.64%,38.60%,-3.58%,-,-,-,18/35,30/35,29/35,6/34,10/35,3/32,8/32,17/31,17/30,3/27,18.34,0.81,0.61,2.59,0.14,-,99.83%,47,-,1,-,0.17%,-,619.9229,1.15%,10-May-21,626.033,03-Mar-21,346.3501,18-May-20,26.79%,27.44%,27.88%,38.92%,-
Mahindra Manulife Large Cap Pragati Yojana - Direct Plan - GrowthLarge Cap Fund,-,108.26,3.11%,3.21%,2.42%,26.11%,13.62%,61.97%,19.51%,-,-,-,3.35%,-0.78%,-2.05%,5.44%,1.01%,5.54%,13.63%,3.88%,-5.70%,4.26%,1.50%,5.23%,0.37%,3.84%,17.18%,11.26%,21.99%,-24.11%,5.92%,-1.78%,1.35%,5.98%,-2.04%,0.39%,15.50%,13.65%,5.41%,-2.97%,26.31%,6.15%,1.77%,36.98%,3.35%,26.79%,-18.25%,22.96%,15/32,27/32,27/32,6/31,11/32,3/29,9/29,16/28,17/27,0/0,19.96,0.78,0.41,4.97,0.1,-,99.62%,57,-,-,-,0.38%,-,245.15,1.26%,10-May-21,245.15,10-May-21,146.79,18-May-20,26.71%,31.46%,-,-,-
Franklin India Bluechip Fund - Direct - GrowthLarge Cap Fund,3,5910.59,3.11%,3.69%,1.69%,28.20%,16.21%,73.10%,17.85%,12.13%,12.92%,-,3.38%,-0.72%,-1.99%,5.49%,1.06%,5.60%,13.69%,3.94%,-5.64%,4.33%,1.56%,5.30%,1.00%,0.75%,23.22%,6.56%,14.39%,-18.83%,3.62%,3.29%,5.56%,4.43%,1.96%,-2.17%,15.80%,14.48%,6.26%,-2.14%,27.44%,7.06%,2.66%,38.09%,4.12%,-,-,-,1/32,4/32,19/32,4/31,4/32,4/29,29/29,23/28,13/27,0/0,19.39,0.89,0.63,4.7,0.14,-,99.62%,57,-,-,-,0.38%,-,308.69,0.89%,10-May-21,313.86,15-Feb-21,181.8,18-May-20,26.30%,29.54%,32.57%,42.70%,-
Franklin India Bluechip Fund - GrowthLarge Cap Fund,4,5910.59,3.10%,3.63%,1.51%,27.74%,15.91%,71.85%,16.98%,11.26%,12.00%,11.26%,2.60%,-0.96%,-1.19%,2.68%,-1.18%,6.60%,11.40%,1.34%,-3.11%,3.55%,5.28%,3.89%,1.11%,1.04%,23.57%,6.89%,14.80%,-18.58%,3.91%,3.60%,5.93%,4.68%,2.33%,-1.77%,8.32%,13.71%,10.83%,0.78%,33.92%,8.40%,0.72%,42.03%,10.19%,-,-,-,14/32,6/32,5/32,5/31,3/32,5/29,20/29,14/28,18/27,0/0,20.46,0.92,0.38,-0.84,0.08,-,99.58%,40,-,-,-,0.42%,-,220.12,1.24%,10-May-21,220.12,10-May-21,133.76,18-May-20,26.18%,26.31%,26.19%,35.53%,100.37%
Mahindra Manulife Large Cap Pragati Yojana - Regular Plan - GrowthLarge Cap Fund,-,108.26,3.08%,3.06%,1.99%,25.03%,12.92%,59.15%,17.27%,-,-,-,2.57%,-0.99%,-1.25%,2.64%,-1.21%,6.56%,11.34%,1.31%,-3.16%,3.49%,5.21%,3.87%,1.03%,5.59%,22.77%,7.74%,23.64%,-29.07%,6.93%,-3.19%,0.10%,4.80%,1.16%,-0.64%,9.04%,12.99%,10.11%,-0.22%,32.75%,7.32%,-0.28%,40.90%,9.38%,26.79%,-16.41%,27.07%,12/35,15/35,22/35,12/34,11/35,6/32,30/32,22/31,13/30,19/27,22.71,1.01,0.28,-3.01,0.06,-,99.58%,40,-,-,-,0.42%,-,287.31,0.88%,10-May-21,292.53,15-Feb-21,170.35,18-May-20,25.86%,26.96%,28.06%,37.81%,-
ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,-,163.77,3.06%,-0.68%,-1.88%,-,7.97%,-,-,-,-,-,1.64%,0.16%,-1.06%,1.51%,-1.12%,5.26%,10.85%,0.46%,-,-,-,-,1.22%,4.39%,22.29%,5.70%,19.52%,-23.76%,5.52%,-2.01%,1.92%,6.14%,-0.44%,-0.37%,6.88%,16.10%,-,-,-,-,-,-,-,-,-,-,32/32,30/32,16/32,14/31,13/32,6/29,4/29,4/28,6/27,0/0,19.75,0.89,0.41,-0.21,0.09,-,99.26%,48,-,-,-,0.74%,-,345.855,0.7%,10-May-21,352.396,15-Feb-21,203.729,18-May-20,25.73%,28.43%,30.81%,38.77%,89.23%
ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,-,0.0,3.06%,-0.68%,-1.88%,-,7.97%,-,-,-,-,-,1.70%,0.32%,-0.89%,1.67%,-0.94%,5.33%,11.05%,1.36%,-,-,-,-,1.31%,4.63%,22.56%,5.90%,19.75%,-23.68%,5.80%,-1.86%,2.04%,6.38%,-0.28%,-0.21%,7.71%,16.60%,-,-,-,-,-,-,-,-,-,-,10/32,14/32,14/32,9/31,12/32,7/29,23/29,22/28,20/27,0/0,20.63,0.95,0.35,-0.76,0.08,-,99.26%,48,-,-,-,0.74%,-,309.7188,0.78%,10-May-21,313.5098,03-Mar-21,180.2826,18-May-20,25.45%,26.20%,26.92%,35.52%,89.36%
