Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
Quant Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,-,35.85,5.65%,6.90%,21.96%,49.22%,24.96%,95.42%,37.50%,20.75%,17.25%,-,0.63%,0.58%,0.32%,10.40%,-0.92%,5.69%,11.51%,-1.03%,1.05%,6.66%,4.78%,5.94%,0.85%,-,-,-,-,-,-,-,-,-,-,-,0.99%,-,-,-,-,-,-,-,-,-,-,-,9/27,3/27,3/26,3/26,2/26,1/26,1/23,2/23,1/21,0/0,18.78,0.8,0.4,3.57,0.09,653.00%,101.02%,26,-,-,-,-1.02%,-,1707.9386,0.65%,10-May-21,1719.1999,04-Mar-21,907.5022,18-May-20,48.34%,68.60%,72.16%,84.85%,-
Quant Mid Cap Fund - GrowthMid Cap Fund,1,35.85,5.59%,6.67%,21.30%,47.99%,24.06%,92.14%,35.26%,19.22%,16.32%,13.24%,0.67%,0.70%,0.44%,10.52%,-0.80%,5.83%,11.63%,-0.91%,1.17%,6.79%,4.91%,6.06%,1.12%,-,-,-,-,-,-,-,-,-,-,-,1.43%,-,-,-,-,-,-,-,-,-,-,-,10/28,3/28,4/27,3/27,2/27,1/27,1/24,2/24,2/22,19/21,18.65,0.8,0.31,1.86,0.07,653.00%,101.02%,26,-,-,-,-1.02%,-,1611.8294,0.64%,10-May-21,1624.7191,04-Mar-21,862.3686,18-May-20,46.83%,65.40%,67.93%,79.12%,132.94%
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,4,1245.66,2.40%,1.43%,6.48%,37.51%,20.27%,86.30%,28.71%,12.92%,18.31%,-,0.91%,0.27%,1.07%,6.24%,-2.70%,4.53%,11.43%,0.23%,2.81%,4.83%,4.23%,3.45%,3.25%,10.72%,13.75%,14.39%,21.21%,-19.63%,6.35%,-2.79%,-2.88%,1.98%,1.95%,-4.67%,15.72%,24.97%,1.26%,-6.79%,46.13%,2.60%,7.42%,59.99%,-0.40%,49.79%,-30.45%,13.99%,25/28,16/28,9/27,2/27,6/27,2/27,7/24,13/24,19/22,6/20,20.08,0.86,0.28,1.27,0.06,-,98.87%,72,-,-,0.09%,1.04%,-,390.62,0.98%,10-May-21,390.62,10-May-21,210.18,18-May-20,46.83%,72.19%,78.34%,87.53%,-
Edelweiss Mid Cap Fund - Regular Plan - GrowthMid Cap Fund,3,1245.66,2.37%,1.30%,6.13%,36.57%,19.67%,83.55%,26.73%,11.23%,16.91%,18.20%,0.93%,0.38%,1.19%,6.36%,-2.60%,4.67%,11.54%,0.36%,2.94%,4.94%,4.38%,3.55%,3.26%,10.83%,13.84%,14.49%,21.36%,-19.56%,6.45%,-2.68%,-2.75%,2.13%,2.04%,-4.48%,15.86%,25.75%,1.77%,-6.35%,46.63%,3.24%,8.20%,60.57%,-0.62%,-,-,-,6/27,4/27,16/26,5/26,4/26,2/26,0/0,0/0,0/0,0/0,18.5,0.8,0.51,4.69,0.12,-,98.87%,72,-,-,0.09%,1.04%,-,363.61,0.97%,10-May-21,363.61,10-May-21,197.47,18-May-20,45.20%,68.73%,73.41%,79.42%,-
Baroda Mid-cap Fund - Plan B (Direct) - GrowthMid Cap Fund,3,55.7,2.16%,1.43%,7.10%,28.68%,14.91%,78.25%,25.14%,10.38%,15.96%,-,2.13%,0.25%,0.75%,7.15%,-1.83%,5.22%,11.82%,-0.49%,1.10%,7.69%,4.62%,8.69%,-0.23%,9.89%,22.34%,10.14%,22.23%,-28.15%,4.86%,-3.20%,-1.68%,4.90%,3.44%,-4.22%,10.60%,17.49%,3.03%,-8.87%,39.70%,7.59%,6.50%,77.67%,6.55%,44.42%,-22.06%,19.11%,7/28,4/28,17/27,6/27,4/27,3/27,0/0,0/0,0/0,0/0,18.12,0.81,0.48,4.26,0.11,79.00%,98.36%,45,-,-,-,1.64%,-,608.8778,0.42%,10-May-21,635.6429,04-Mar-21,347.4057,18-May-20,41.51%,-,-,-,-
Mahindra Manulife Mid Cap Unnati Yojana - Direct Plan - GrowthMid Cap Fund,3,649.85,2.13%,4.22%,13.56%,42.40%,23.31%,77.02%,28.65%,15.33%,-,-,2.16%,0.33%,0.81%,7.21%,-1.76%,5.31%,11.91%,-0.41%,1.18%,7.78%,4.71%,8.77%,-0.14%,10.11%,22.59%,10.36%,22.49%,-28.00%,5.09%,-3.00%,-1.46%,5.18%,3.68%,-3.98%,10.92%,18.46%,4.43%,-7.96%,41.14%,8.65%,7.92%,79.69%,7.33%,-,-,-,24/27,15/27,8/26,2/26,7/26,3/26,8/23,13/23,18/21,0/0,19.08,0.82,0.3,1.62,0.07,79.00%,98.36%,45,-,-,-,1.64%,-,1370.3903,0.18%,10-May-21,1425.3745,04-Mar-21,755.4981,18-May-20,40.92%,52.48%,53.75%,54.86%,-
Mahindra Manulife Mid Cap Unnati Yojana - Regular Plan - GrowthMid Cap Fund,3,649.85,2.10%,4.08%,13.12%,41.28%,22.61%,74.16%,26.60%,13.36%,-,-,1.93%,0.31%,1.02%,7.27%,-1.89%,3.58%,13.39%,0.20%,2.63%,6.79%,4.75%,5.64%,2.69%,11.21%,20.77%,18.02%,24.37%,-31.81%,5.03%,-3.79%,-1.28%,1.74%,4.98%,-3.29%,15.30%,20.02%,0.26%,-9.76%,44.48%,5.04%,5.85%,85.81%,6.95%,-,-,-,1/27,1/27,1/26,1/26,1/26,4/26,2/23,1/23,8/21,0/0,19.36,0.89,0.39,2.86,0.09,-,98.29%,53,-,-,-,1.71%,-,577.9095,0.42%,10-May-21,604.286,04-Mar-21,332.3504,18-May-20,40.21%,-,-,-,-
Baroda Mid-cap Fund - Plan A - GrowthMid Cap Fund,3,55.7,2.08%,1.38%,6.86%,28.05%,14.53%,76.93%,24.11%,9.43%,14.97%,4.15%,1.94%,0.43%,1.03%,7.37%,-1.77%,3.70%,13.33%,0.29%,2.67%,6.92%,4.80%,5.66%,2.60%,10.97%,20.51%,17.76%,24.10%,-31.97%,4.79%,-3.27%,-1.52%,1.48%,4.73%,-3.58%,14.95%,18.94%,-0.70%,-10.78%,42.90%,4.16%,4.86%,84.32%,6.33%,40.47%,-32.60%,19.56%,1/28,1/28,1/27,1/27,1/27,5/27,2/24,1/24,6/22,18/20,19.24,0.8,0.45,1.89,0.11,-,98.29%,53,-,-,-,1.71%,-,1261.5285,0.18%,10-May-21,1314.1112,04-Mar-21,701.0437,18-May-20,40.18%,50.99%,51.61%,51.14%,155.59%
Aditya Birla Sun Life Midcap Fund - Direct Plan - GrowthMid Cap Fund,2,2697.22,2.05%,0.93%,7.28%,32.81%,14.97%,79.17%,15.89%,5.93%,12.03%,-,0.85%,0.25%,1.68%,7.41%,-2.58%,3.97%,10.38%,-0.77%,3.08%,6.01%,4.75%,5.62%,2.32%,9.58%,19.46%,12.47%,22.28%,-23.75%,-,-,-,-,-,-,13.53%,22.85%,-,-,-,-,-,-,-,-,-,-,8/27,9/27,13/26,9/26,10/26,5/26,17/23,17/23,15/21,0/0,19.09,0.81,0.49,4.45,0.11,-,98.27%,67,-,-,-,1.73%,-,101.7622,1.91%,10-May-21,101.7622,10-May-21,50.8905,18-May-20,38.56%,50.92%,54.12%,65.20%,-
Aditya Birla Sun Life Midcap Fund - Regular Plan - GrowthMid Cap Fund,2,2697.22,2.03%,0.84%,7.05%,32.22%,14.62%,77.47%,14.82%,4.97%,11.00%,13.15%,0.89%,0.34%,1.77%,7.50%,-2.49%,4.06%,10.47%,-0.68%,3.17%,6.11%,4.85%,5.71%,2.48%,10.10%,20.02%,13.11%,22.83%,-23.45%,-,-,-,-,-,-,14.29%,25.25%,-,-,-,-,-,-,-,-,-,-,9/28,9/28,14/27,10/27,11/27,6/27,18/24,18/24,15/22,14/20,19.55,0.84,0.09,-2.53,0.02,-,98.27%,67,-,-,-,1.73%,-,97.2572,1.89%,10-May-21,97.2572,10-May-21,49.4485,18-May-20,38.46%,48.83%,52.65%,-,-
