Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Hybrid Debt Fund - Direct Plan - GrowthConservative Hybrid Fund,2,2430.69,0.46%,2.37%,2.51%,9.76%,2.41%,25.14%,10.88%,9.36%,9.40%,-,0.75%,0.23%,-0.01%,0.26%,-0.30%,1.94%,2.43%,0.74%,-0.68%,-0.14%,1.85%,1.67%,0.98%,0.94%,5.47%,1.56%,4.50%,-3.44%,2.28%,1.38%,1.84%,2.45%,2.04%,0.30%,1.93%,8.68%,8.28%,2.48%,10.58%,8.79%,5.17%,17.43%,6.16%,13.57%,4.12%,1.94%,22/23,21/23,12/22,1/22,19/23,1/22,7/21,14/21,5/21,2/20,4.91,0.99,0.7,-3.09,0.03,-,24.55%,39,66.67%,54,-,8.78%,-,77.1253,0.47%,17-May-21,77.1487,11-May-21,64.4477,20-May-20,11.34%,15.71%,19.60%,26.23%,-
HDFC Hybrid Debt Fund - GrowthConservative Hybrid Fund,2,2430.69,0.45%,2.34%,2.42%,9.54%,2.36%,24.63%,10.43%,8.87%,8.84%,9.10%,0.83%,0.37%,0.12%,0.38%,-0.20%,2.06%,2.55%,0.85%,-0.56%,-0.01%,1.98%,1.79%,1.20%,1.32%,5.85%,1.94%,4.89%,-3.10%,2.68%,1.87%,2.25%,2.83%,2.54%,0.83%,2.54%,10.29%,10.02%,4.63%,13.13%,11.32%,7.31%,18.19%,6.28%,-,-,-,22/23,21/23,12/22,1/22,19/23,1/22,7/21,14/21,5/21,2/20,4.34,0.86,1.19,-0.53,0.06,-,24.55%,39,66.67%,54,-,8.78%,-,70.665,0.46%,17-May-21,70.7007,11-May-21,59.762,20-May-20,11.09%,15.21%,18.81%,24.66%,60.71%
Indiabulls Savings Income Fund - Direct Plan - GrowthConservative Hybrid Fund,-,11.5,0.36%,1.36%,-0.46%,5.83%,0.51%,15.53%,8.64%,8.03%,10.15%,-,0.44%,0.08%,0.25%,-0.05%,-0.63%,1.66%,1.85%,1.08%,-0.25%,0.32%,2.09%,1.70%,0.52%,0.47%,5.05%,2.73%,5.73%,-5.67%,2.08%,1.82%,1.41%,2.78%,2.33%,0.83%,0.99%,8.30%,8.36%,1.73%,9.83%,8.79%,7.15%,20.10%,3.48%,18.95%,0.53%,7.44%,22/23,22/23,12/22,1/22,19/23,1/22,9/21,15/21,5/21,0/0,5.97,1.23,1.0,-2.15,0.05,-,24.42%,42,62.74%,15,-,12.84%,-,69.3275,0.45%,17-May-21,69.3275,17-May-21,58.6672,20-May-20,10.76%,18.04%,24.18%,33.69%,-
BOI AXA Conservative Hybrid - Direct Plan - GrowthConservative Hybrid Fund,1,56.37,0.33%,0.93%,1.86%,3.99%,1.48%,16.23%,3.28%,1.51%,5.05%,-,0.48%,0.16%,0.33%,0.02%,-0.56%,1.74%,1.93%,1.15%,-0.18%,0.40%,2.17%,1.78%,0.64%,0.70%,5.30%,2.97%,5.97%,-5.46%,2.31%,2.03%,1.62%,2.95%,2.53%,1.04%,1.34%,9.31%,9.26%,2.61%,10.79%,9.61%,8.49%,20.74%,4.33%,-,-,-,22/23,22/23,12/22,1/22,19/23,1/22,9/21,15/21,5/21,0/0,6.28,1.22,0.69,-3.71,0.04,-,24.42%,42,62.74%,15,-,12.84%,-,65.1028,0.44%,17-May-21,65.1028,17-May-21,55.5209,20-May-20,10.04%,16.57%,21.89%,29.46%,67.50%
ICICI Prudential Regular Savings Fund - Direct Plan - GrowthConservative Hybrid Fund,3,3204.81,0.32%,1.25%,1.01%,5.44%,1.36%,18.96%,10.95%,9.87%,10.79%,-,0.63%,0.61%,0.61%,0.51%,-1.13%,1.81%,3.52%,1.53%,-0.48%,0.61%,2.06%,2.38%,1.25%,1.09%,7.29%,2.81%,6.29%,-3.69%,2.33%,1.57%,-3.98%,2.02%,2.16%,-0.14%,1.85%,13.17%,2.02%,3.32%,12.10%,4.05%,6.15%,20.65%,5.45%,13.08%,-0.32%,3.52%,1/23,1/23,2/22,2/22,2/23,2/22,5/21,5/21,4/21,5/20,5.62,1.12,0.81,-2.84,0.04,-,24.39%,24,61.21%,11,-,14.40%,-,57.52,0.4%,17-May-21,57.52,17-May-21,45.6226,22-May-20,10.02%,15.95%,20.54%,27.58%,-
Indiabulls Savings Income Fund - GrowthConservative Hybrid Fund,-,11.5,0.32%,1.21%,-0.88%,4.78%,0.28%,13.37%,6.79%,6.35%,8.48%,-,0.68%,0.70%,0.71%,0.59%,-1.05%,1.90%,3.62%,1.61%,-0.39%,0.70%,2.15%,2.46%,1.39%,1.38%,7.59%,3.09%,6.48%,-3.47%,2.58%,1.85%,-3.71%,2.10%,2.45%,0.15%,2.79%,14.78%,2.93%,4.49%,13.58%,5.62%,7.64%,22.85%,5.66%,-,-,-,1/23,1/23,2/22,2/22,3/23,2/22,7/21,6/21,7/21,0/0,6.6,0.52,-0.43,-6.27,-0.06,-,24.39%,24,61.21%,11,-,14.40%,-,55.2066,0.4%,17-May-21,55.2066,17-May-21,43.9653,22-May-20,9.66%,15.20%,19.38%,25.22%,60.52%
BOI AXA Conservative Hybrid - Regular Plan - GrowthConservative Hybrid Fund,1,56.37,0.32%,0.89%,1.70%,3.65%,1.40%,15.49%,2.65%,0.90%,4.42%,6.65%,0.78%,0.62%,0.89%,-0.30%,-0.57%,1.37%,2.02%,0.18%,1.05%,0.87%,3.73%,1.43%,1.40%,0.35%,3.73%,6.29%,2.98%,-2.63%,2.83%,0.08%,-11.79%,2.11%,1.18%,-1.76%,1.76%,11.36%,-7.36%,-2.55%,14.35%,8.39%,7.09%,15.66%,5.12%,12.26%,1.82%,1.37%,11/23,10/23,9/22,4/22,10/23,3/22,3/21,6/21,7/21,4/20,5.79,1.09,0.49,-4.33,0.03,-,24.38%,47,52.25%,51,-,21.64%,1.71%,46.3725,0.47%,17-May-21,46.3725,17-May-21,39.4291,20-May-20,8.89%,13.04%,14.61%,21.36%,-
ICICI Prudential Regular Savings Fund - GrowthConservative Hybrid Fund,3,3204.81,0.31%,1.17%,0.79%,4.97%,1.24%,17.97%,10.15%,9.10%,9.95%,10.27%,0.79%,0.68%,0.95%,-0.25%,-0.51%,1.42%,2.08%,0.23%,1.10%,0.92%,3.79%,1.48%,1.47%,0.52%,3.90%,6.46%,3.14%,-2.49%,2.97%,-,-11.68%,2.25%,1.32%,-1.61%,1.69%,12.04%,-6.85%,-1.96%,15.06%,8.96%,7.52%,16.01%,5.58%,-,-,-,5/23,2/23,5/22,3/22,2/23,3/22,1/21,2/21,1/21,0/0,4.48,0.85,0.76,-2.19,0.04,-,24.38%,47,52.25%,51,-,21.64%,1.71%,55.0734,0.39%,17-May-21,55.0734,17-May-21,46.2892,20-May-20,8.51%,12.28%,13.45%,19.26%,53.55%
Kotak Debt Hybrid - Direct Plan - GrowthConservative Hybrid Fund,4,498.67,0.29%,1.85%,2.05%,9.48%,2.47%,24.30%,14.59%,11.51%,11.00%,-,0.37%,0.31%,-0.58%,0.27%,-0.76%,1.30%,2.55%,0.87%,-0.16%,-0.61%,1.94%,1.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.49%,-2.04%,15.52%,12.77%,5.26%,27.57%,6.11%,16.75%,-0.64%,7.57%,5/23,2/23,5/22,3/22,3/23,4/22,1/21,2/21,2/21,3/20,5.57,1.16,0.64,-4.04,0.03,-,24.29%,37,72.75%,23,-,2.96%,-,43.1538,0.48%,17-May-21,43.1538,17-May-21,34.6117,20-May-20,8.42%,13.54%,16.73%,21.89%,-
Kotak Debt Hybrid - GrowthConservative Hybrid Fund,4,498.67,0.26%,1.75%,1.76%,8.85%,2.31%,22.86%,13.29%,10.23%,9.64%,9.67%,0.41%,0.38%,-0.50%,0.33%,-0.70%,1.37%,2.62%,0.94%,-0.09%,-0.54%,2.02%,1.35%,-,-,-,-,-,-,-,-,-,-,-,1.96%,-,-,-,-,-,-,-,-,-,-,-,-,11/23,12/23,9/22,4/22,10/23,4/22,3/21,5/21,9/21,0/0,4.67,0.04,0.56,2.04,0.64,-,24.29%,37,72.75%,23,-,2.96%,-,43.3004,0.46%,17-May-21,43.3602,15-Feb-21,37.4433,20-May-20,8.19%,14.41%,17.14%,24.86%,-
