Scheme Name,Crisil Rank,AuM (Cr),1W_RTN(%),1M_RTN(%),3M_RTN(%),6M_RTN(%),YTD_RTN(%),1Y_RTN(%),2Y_RTN(%),3Y_RTN(%),5Y_RTN(%),10Y_RTN(%),MTD,Apr'21,Mar'21,Feb'21,Jan'21,Dec'20,Nov'20,Oct'20,Sep'20,Aug'20,Jul'20,Jun'20,QTD,Q1'21,Q4'20,Q3'20,Q2'20,Q1'20,Q4'19,Q3'19,Q2'19,Q1'19,Q4'18,Q3'18,YTD,2020_RTN(%),2019_RTN(%),2018_RTN(%),2017_RTN(%),2016_RTN(%),2015_RTN(%),2014_RTN(%),2013_RTN(%),2012_RTN(%),2011_RTN(%),2010_RTN(%),1W_Rank,1M_Rank,3M_Rank,6M_Rank,YTD_Rank,1Y_Rank,2Y_Rank,3Y_Rank,5Y_Rank,10Y_Rank,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,Turnover ratio(%),% Equity Holding,No of stocks in portfolio,% Debt Holding,No of instruments in portfolio,% MF Holding,% Cash Holding,% Other Holding,NAV,1D Change(%),NAV Date,52W High,52WH as on,52W Low,52WL as on,1Y_SIP_RTN(%),2Y_SIP_RTN(%),3Y_SIP_RTN(%),5Y_SIP_RTN(%),10Y_SIP_RTN(%)
HDFC Balanced Advantage Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,4,39146.35,1.29%,5.88%,1.15%,24.77%,4.34%,58.84%,13.39%,10.83%,14.76%,-,0.53%,0.06%,-0.55%,1.07%,-1.05%,2.86%,3.14%,1.02%,-0.24%,0.90%,4.43%,3.00%,0.60%,1.62%,7.68%,5.48%,13.46%,-12.47%,3.42%,2.41%,2.40%,-,-,-,2.73%,11.20%,10.73%,-,-,-,-,-,-,-,-,-,1/23,1/23,7/23,1/22,1/23,1/22,10/19,6/15,1/12,0/0,13.47,0.94,0.47,-1.68,0.07,-,77.82%,109,15.41%,11,-,5.39%,0.87%,258.892,1.19%,17-May-21,260.969,03-Mar-21,159.737,22-May-20,26.70%,29.21%,30.72%,41.76%,-
ITI Balanced Advantage Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,192.26,0.52%,2.15%,2.41%,11.09%,2.33%,21.12%,-,-,-,-,0.63%,0.21%,-0.39%,1.19%,-0.91%,3.01%,3.29%,1.16%,-0.09%,1.05%,4.59%,3.15%,0.84%,2.09%,8.16%,5.96%,13.98%,-12.04%,3.90%,2.69%,2.85%,-,-,-,3.46%,13.29%,12.39%,-,-,-,-,-,-,-,-,-,1/23,1/23,7/23,1/22,1/23,1/22,10/19,6/15,1/12,0/0,13.19,1.19,0.5,-2.9,0.06,-,77.82%,109,15.41%,11,-,5.39%,0.87%,119.2146,0.77%,17-May-21,119.2146,17-May-21,85.6386,20-May-20,16.24%,26.85%,32.81%,46.17%,-
ITI Balanced Advantage Fund - GrowthDynamic Asset Allocation or Balanced Advantage,-,192.26,0.48%,1.85%,1.76%,9.84%,1.93%,18.51%,-,-,-,-,0.30%,0.37%,0.62%,1.38%,-1.00%,2.98%,2.95%,0.74%,0.20%,0.76%,4.62%,4.69%,0.67%,2.45%,7.29%,6.21%,19.22%,-15.68%,3.91%,0.96%,1.43%,2.39%,1.09%,-0.87%,2.89%,12.70%,8.95%,1.52%,17.26%,3.38%,1.54%,3.95%,-,-,-,-,13/23,16/23,14/23,11/22,14/23,2/22,1/19,0/0,0/0,0/0,7.3,-,0.25,-,0.04,-,74.52%,75,13.56%,35,0.05%,10.73%,1.14%,110.995,0.76%,17-May-21,110.995,17-May-21,80.8335,20-May-20,15.83%,22.66%,26.84%,36.31%,-
ICICI Prudential Balanced Advantage Fund - GrowthDynamic Asset Allocation or Balanced Advantage,2,30900.09,0.29%,2.15%,0.65%,10.57%,1.88%,39.63%,13.10%,10.44%,11.37%,12.57%,0.39%,0.45%,0.74%,1.56%,-0.87%,3.10%,3.09%,0.81%,0.32%,0.89%,4.75%,4.70%,0.84%,2.83%,7.66%,6.55%,19.55%,-15.42%,4.21%,1.32%,1.77%,2.77%,1.41%,-0.47%,3.93%,14.23%,10.58%,3.05%,18.62%,4.59%,3.03%,4.24%,-,-,-,-,10/23,16/23,14/23,12/22,15/23,2/22,1/19,0/0,0/0,0/0,13.1,-,0.58,-,0.08,-,74.52%,75,13.56%,35,0.05%,10.73%,1.14%,72.49,0.66%,17-May-21,72.55,11-May-21,50.39,22-May-20,15.41%,20.50%,24.32%,35.38%,-
ICICI Prudential Balanced Advantage Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,30900.09,0.29%,2.21%,0.80%,10.91%,1.96%,40.45%,13.72%,11.21%,12.43%,-,0.95%,-1.09%,0.63%,0.64%,-2.72%,2.72%,4.58%,2.12%,-0.44%,0.27%,2.28%,3.02%,-0.16%,1.92%,10.06%,2.65%,8.12%,-9.52%,1.89%,0.72%,1.00%,1.96%,0.28%,0.19%,2.24%,9.96%,6.16%,2.98%,4.20%,-,-,-,-,-,-,-,14/23,4/23,5/23,5/22,3/23,3/22,5/19,4/15,4/12,0/0,12.27,-,0.4,-,0.09,-,72.02%,49,15.15%,3,-,12.83%,-,67.1,0.66%,17-May-21,67.17,11-May-21,47.18,22-May-20,15.30%,24.85%,29.76%,41.01%,84.80%
DSP Dynamic Asset Allocation Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,3376.43,0.26%,1.72%,0.94%,7.01%,1.82%,28.46%,13.25%,11.26%,10.83%,-,1.05%,-1.04%,0.75%,0.61%,-2.66%,2.82%,4.70%,2.19%,-0.42%,0.43%,2.36%,3.07%,-,2.28%,10.44%,2.88%,8.46%,-9.34%,2.17%,1.14%,1.33%,2.37%,0.73%,0.65%,2.74%,11.29%,7.66%,4.78%,4.90%,-,-,-,-,-,-,-,3/23,5/23,9/23,6/22,6/23,3/22,7/19,3/15,5/12,1/8,10.93,-,0.22,-,0.05,-,72.02%,49,15.15%,3,-,12.83%,-,38.49,1.09%,17-May-21,38.68,10-May-21,28.93,26-May-20,15.06%,21.17%,24.62%,32.29%,80.40%
DSP Dynamic Asset Allocation Fund - Regular Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,3376.43,0.24%,1.61%,0.61%,6.25%,1.65%,26.48%,11.46%,9.46%,9.39%,-,0.43%,-0.90%,0.58%,0.36%,0.70%,1.64%,2.10%,0.39%,0.35%,0.40%,2.38%,2.64%,-0.47%,2.63%,4.30%,3.26%,10.12%,-9.03%,2.31%,0.99%,-8.12%,1.16%,1.63%,-1.62%,2.33%,6.89%,-3.41%,0.13%,13.20%,4.70%,5.70%,18.50%,-,-,-,-,3/23,5/23,11/23,7/22,6/23,4/22,8/19,5/15,5/12,0/0,10.35,0.47,0.47,0.84,0.1,-,71.00%,48,13.29%,6,14.65%,38.13%,-,48.98,0.73%,17-May-21,48.98,17-May-21,34.68,20-May-20,14.97%,21.20%,25.68%,36.98%,-
Nippon India Balanced Advantage Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,3310.28,0.19%,2.53%,2.03%,13.13%,1.73%,38.08%,12.44%,10.54%,13.27%,-,0.44%,-0.84%,0.64%,0.40%,0.75%,1.69%,2.15%,0.44%,0.39%,0.45%,2.43%,2.69%,-0.41%,2.78%,4.45%,3.41%,10.28%,-8.89%,2.47%,1.14%,-7.99%,1.32%,1.79%,-1.44%,2.55%,7.54%,-2.82%,0.80%,13.93%,5.22%,6.12%,18.80%,-,-,-,-,15/23,4/23,5/23,5/22,3/23,4/22,5/19,4/15,4/12,7/8,13.29,0.58,0.18,-2.5,0.04,-,71.00%,48,13.29%,6,14.65%,38.13%,-,34.33,1.05%,17-May-21,34.51,10-May-21,26.14,26-May-20,14.59%,20.45%,24.48%,34.14%,89.09%
Kotak Balanced Advantage Fund - Direct Plan - GrowthDynamic Asset Allocation or Balanced Advantage,-,8114.06,0.18%,1.04%,1.09%,9.12%,0.91%,36.96%,14.49%,-,-,-,0.48%,-,-0.21%,1.34%,-1.20%,2.77%,7.09%,1.19%,-0.32%,3.51%,6.59%,3.33%,0.48%,2.05%,12.43%,10.69%,16.11%,-11.62%,4.58%,0.75%,0.95%,4.25%,-,-,3.05%,25.83%,10.66%,1.20%,-,-,-,-,-,-,-,-,18/23,18/23,17/23,15/22,18/23,5/22,3/19,2/15,0/0,0/0,13.21,0.89,0.22,-4.71,0.03,593.00%,71.00%,71,-,-,10.91%,45.63%,-,45.07,0.73%,17-May-21,45.07,17-May-21,32.09,20-May-20,14.48%,18.72%,21.67%,31.00%,83.64%
Nippon India Balanced Advantage Fund - GrowthDynamic Asset Allocation or Balanced Advantage,-,3310.28,0.16%,2.38%,1.62%,12.33%,1.46%,36.18%,10.94%,9.08%,12.09%,11.04%,0.53%,0.07%,-0.07%,1.44%,-1.17%,2.83%,7.19%,1.24%,-0.23%,3.66%,6.69%,3.43%,0.60%,2.33%,12.70%,11.03%,16.48%,-11.24%,4.89%,1.11%,1.31%,4.83%,-,-,3.50%,27.48%,12.51%,1.40%,-,-,-,-,-,-,-,-,22/23,8/23,17/23,2/22,7/23,5/22,2/19,1/15,3/12,0/0,12.99,-,0.6,-,0.14,593.00%,71.00%,71,-,-,10.91%,45.63%,-,34.55,0.84%,17-May-21,34.74,15-Feb-21,24.34,22-May-20,14.35%,22.58%,-,-,-
